condition,cue_index,value,cue_start_sec,cue_start_lsl,content_start_sec,pre_taskgamma,rec_taskgamma,pre_tasktheta,upd_tasktheta,maint_tasktheta,rec_visualgamma,upd_visualgamma,maint_visualgamma,fp1_hf,artifact_hf,DR_gamma,WMU_theta,MAINT_theta,visual_search_upd,visual_search_maint,contrast_pre_badge_0_1,DR_gamma_z,WMU_theta_z,MAINT_theta_z,visual_search_upd_z,visual_search_maint_z,fp1_hf_z,artifact_hf_z,artifact_score,OCM_score,OCM_event_vs_target_control_null,prior_sum,new_sum,prior_units,carry_required,high_carry_load,hard9_pattern,large_sum_load,large_sum_load_z,carry_required_z,high_carry_load_z,hard9_pattern_z,arithmetic_compute_load,compute_stall_score,cue_visibility_burden,squint_proxy,latent_guess_risk
CONTROL_1,1,8,4.234568,1389.7325145,3.0,0.9051457491446815,0.8312921220907462,1.7726750319218014,1.9124143129046673,2.249753106277104,1.2694986558669776,1.663276624244588,1.634943316301747,0.977119429056024,1.1324786370880708,-0.07385362705393528,0.13973928098286592,0.4770780743553027,0.39377796837761037,0.3654446604347694,0.9999999960784314,-0.4114611928649662,0.03427493096297797,0.40965389631817645,1.8003230534532144,1.3800992153093488,0.5312860544239418,1.1913765604018627,0.8613313074129023,-0.24120998697974047,False,0,8,0,0,0,0,0.0,-8.222869258161928,-2.0009189065497472,-0.6744907594765952,0.0,-3.5468566568632607,-0.7467451981227374,0.41346945247280953,0.7623177315162142,0.08803035774970339
CONTROL_1,2,9,7.234568,1392.7325145,6.0,0.8366485704878249,0.8775356582190533,2.249753106277104,2.0302899075627203,2.500475020319387,1.4281928851372907,1.6814409960665133,1.3991731710738484,0.9504057083087537,1.1966036489266991,0.0408870877312284,-0.2194631987143838,0.2507219140422827,0.2532481109292226,-0.02901971406344228,0.9999667556721963,0.17367708505783744,-0.3146941199282898,0.1945212038516906,1.181507268098513,-0.08167866284243143,0.32475760536676757,1.6294926313295337,0.9771251183481506,-0.21292759684747295,False,8,17,8,1,8,1,2.1972245773362196,-4.993481859174842,0.0,4.721435316336167,4.191004191006287,0.06129080702378986,-0.2349534430842664,0.07423174536854762,0.7814148644537358,0.4542685050789565
CONTROL_1,3,1,10.234568,1395.7325145,9.0,0.7050157356936828,0.9026956966702147,2.500475020319387,2.55103979677228,2.452251291420172,1.3486627950220398,1.5312652125798298,1.4461537894029344,0.8191245856357624,1.0567963414348585,0.19767996097653184,0.050564776452893145,-0.04822372889921489,0.18260241755779005,0.09749099438089459,0.9999974793060752,0.9732669430529373,-0.05235905395759417,-0.08960175077959899,0.870422698460874,0.3871356760658332,-0.6901997235896662,0.6742986050197489,0.33714930250987446,0.28301294498024254,False,17,18,7,0,0,0,2.8903717578961645,-3.9747235612599967,-2.0009189065497472,-0.6744907594765952,0.0,-2.0600056629475847,-0.5246371872105295,-0.119358692019766,-0.2126253085763709,0.13423320007210923
CONTROL_1,4,7,13.234568,1398.7325145,12.0,0.8204218948709976,0.6645474107692977,2.452251291420172,2.295119200031783,2.319276453212877,1.4397960673745827,1.4515925432021306,1.1964990257758008,0.8992995407060153,1.0474212772808151,-0.1558744841016999,-0.15713209138838913,-0.13297483820729505,0.011796475827547948,-0.24329704159878185,0.9999962906388105,-0.8297394224937671,-0.25413878249607813,-0.17015062698316832,0.1182877792756858,-0.8757322642078006,-0.07035311814890415,0.6102461213773198,0.3051230606886599,-0.5286060195303037,False,18,25,8,1,6,0,2.9444389791664403,-3.8952578549004975,0.0,3.3724537973829762,0.0,-0.52022679986943,-0.3050637340801958,0.06902903611234708,0.1678566156852742,0.42217920534633707
CONTROL_1,5,7,16.234568,1401.7325145,15.0,0.7176740010206444,0.615706353434953,2.319276453212877,2.175620897634653,2.053106596697112,1.1727265384375563,1.2325293756100082,1.5659047438078213,1.0261861318369538,1.181620433498174,-0.10196764758569143,-0.14365555557822374,-0.2661698565157651,0.05980283717245194,0.39317820537026504,0.9999850140556245,-0.5548330516706187,-0.24104618381764087,-0.2967414070714972,0.3296812492262181,1.4828722034176058,0.9106293185677161,1.5271240346588972,1.2188766766133066,-0.6214753109322646,False,25,32,5,1,3,0,3.258096538021482,-3.434257291457171,0.0,1.3489815189531904,0.0,-0.8647446722717121,-0.5901128562346272,-0.17072822113222408,1.1264024691996295,0.2894098212875748
CONTROL_1,6,3,19.234568,1404.7325145,18.0,0.4707860960568607,0.7091793942962157,2.053106596697112,3.0947281964035107,2.2315063745694697,1.0613165418473456,1.245811640346822,1.3174720385795027,1.1457657846778238,1.0765719392020061,0.23839329823935496,1.041621599706399,0.17839977787235783,0.18449509849947643,0.2561554967321571,0.9999840566251731,1.180890994367798,0.910463249723565,0.12578503224651774,0.8787570187585068,0.9751032457102957,1.8351205369070323,0.8094098033738619,1.322265170140447,0.5972456700577593,False,32,35,2,0,0,0,3.4965075614664802,-3.0838508911126516,-2.0009189065497472,-0.6744907594765952,0.0,-1.7482002283960136,-0.25769543263008915,-0.2808510820199598,1.4761217801704227,0.1716366889055145
CONTROL_1,7,8,22.234568,1407.7325145,21.0,0.8966348515950225,0.9515144191535255,2.2315063745694697,2.395490916995997,1.7850950487426165,1.2318618208495713,1.4895097299586217,1.6302051841587255,0.8701530727824744,1.1835419638267397,0.054879567558502984,0.16398454242652738,-0.44641132582685317,0.25764790910905044,0.3983433633091542,0.9998141019582134,0.24503393136414692,0.0578294617717194,-0.46804592351756225,1.2008815463870417,1.5020128764424712,-0.2956895612708778,1.5402523490807043,0.7701261745403521,-0.12648906235723634,False,35,43,5,1,4,0,3.58351893845611,-2.9559652633451505,0.0,2.023472278429786,0.0,-0.5287197725633561,-0.3799426548559085,-0.1266253106241916,0.34689010735217585,0.327541755903193
CONTROL_1,8,4,25.234568,1410.7325145,24.0,0.731631587382079,0.6955588316954976,1.7850950487426165,2.3278353283067035,1.394780182541268,0.9735634261409398,1.2353046128484753,1.2165398815407678,0.9364969037993797,0.9670572808173795,-0.036072755686581415,0.542740279564087,-0.3903148662013485,0.26174118670753543,0.24297645539982793,0.9999642947608788,-0.2187917114894248,0.42579471139894426,-0.4147309071275348,1.2189060775277751,0.9262652965308469,0.21722620415400387,0.06118176466095591,0.13920398440747989,-0.02798577834319516,False,43,47,3,0,0,0,3.784189633918261,-2.6610279947765028,-2.0009189065497472,-0.6744907594765952,0.0,-1.6002122146783615,-0.32327436296579826,0.11455186973708718,0.1626106503314371,0.257288654957011
CONTROL_1,9,9,28.234568,1413.7325145,27.0,0.6207034452370823,0.939565380254256,1.394780182541268,2.6237833491413456,3.188296706706132,1.6026083765496995,1.4576173122286231,1.3807839467207235,0.8577223462629263,1.0754880850624096,0.31886193501717364,1.2290031666000776,1.793516524164864,-0.14499106432107634,-0.221824429828976,0.9999630596492243,1.5912534331858685,1.0925064461082872,1.6608190856476739,-0.5721178509053317,-0.796160594621233,-0.3917936829327207,0.8020046754295005,0.40100233771475025,1.3254673013042473,False,47,56,7,1,7,1,3.8712010109078907,-2.5331423670090016,0.0,4.046944556859572,4.191004191006287,0.7537869394126854,0.9511799021717896,0.06842119070318962,0.026035742494056657,0.7004034504279296
CONTROL_1,10,5,31.234568,1416.7325145,30.0,0.6856588633861666,3.1996393217511683,3.188296706706132,3.964103603572086,9.562595273775202,4.679899141927927,1.3162309284167297,1.5852198428951607,1.3849885774349604,1.4397326967218735,2.5139804583650016,0.7758068968659537,6.3742985670690695,-3.3636682135111973,-3.0946792990327663,0.9999333002599864,12.785604758198518,0.6522214228816197,6.0144711935882365,-14.745392228635565,-11.442180784111791,3.6845938032735592,3.2906033289222925,3.487598566097926,5.880504997930117,False,56,61,6,1,2,0,4.04305126783455,-2.280564155406954,0.0,0.6744907594765952,0.0,-0.629574764523285,1.2091841899607956,-4.098637517895516,3.5466971372506158,0.018902384551336974
