anchor_id,scene_label,condition,window_start_sec,window_end_sec,NIP_density_residualized_CET_mean,n_rows
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTROL_1,28.007354,58.007354,-0.00020068542635666084,30
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,TARGET_1,28.007354,58.007354,0.5524101855235997,30
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTEXTUAL_OVERRIDE_1,28.007354,58.007354,0.07846281956258724,30
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTROL_1,161.007354,191.007354,0.0017461998741276291,30
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,TARGET_1,161.007354,191.007354,1.5518936303927935,30
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTEXTUAL_OVERRIDE_1,161.007354,191.007354,0.0020589981775209674,30
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTROL_1,166.007354,196.007354,0.0009844882744556407,30
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,TARGET_1,166.007354,196.007354,1.1461798563992296,30
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTEXTUAL_OVERRIDE_1,166.007354,196.007354,0.003346721988060883,30
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTROL_1,263.007354,328.007354,0.005933310012595831,40
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,TARGET_1,263.007354,328.007354,0.9480022994650615,37
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTEXTUAL_OVERRIDE_1,263.007354,328.007354,0.0012375374223977172,37
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,CONTROL_1,271.007354,311.007354,0.006432186631426294,32
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,TARGET_1,271.007354,311.007354,0.7749209295477141,29
CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,Late payload / terminal release,CONTEXTUAL_OVERRIDE_1,271.007354,311.007354,0.0008513400777926358,29
