cue_index,value,start_sec,end_sec,duration_sec,interval_sec,position
1,8,3.0,3.85,0.85,3.0,upper_right
2,9,6.0,6.85,0.85,3.0,upper_right
3,1,9.0,9.85,0.85,3.0,upper_right
4,7,12.0,12.85,0.85,3.0,upper_right
5,7,15.0,15.85,0.85,3.0,upper_right
6,3,18.0,18.85,0.85,3.0,upper_right
7,8,21.0,21.85,0.85,3.0,upper_right
8,4,24.0,24.85,0.85,3.0,upper_right
9,9,27.0,27.85,0.85,3.0,upper_right
10,5,30.0,30.85,0.85,3.0,upper_right
11,1,33.0,33.85,0.85,3.0,upper_right
12,4,36.0,36.85,0.85,3.0,upper_right
13,10,39.0,39.85,0.85,3.0,upper_right
14,10,42.0,42.85,0.85,3.0,upper_right
15,6,45.0,45.85,0.85,3.0,upper_right
16,6,48.0,48.85,0.85,3.0,upper_right
17,4,51.0,51.85,0.85,3.0,upper_right
18,6,54.0,54.85,0.85,3.0,upper_right
19,3,57.0,57.85,0.85,3.0,upper_right
20,4,60.0,60.85,0.85,3.0,upper_right
21,7,63.0,63.85,0.85,3.0,upper_right
22,5,66.0,66.85,0.85,3.0,upper_right
23,9,69.0,69.85,0.85,3.0,upper_right
24,3,72.0,72.85,0.85,3.0,upper_right
25,5,75.0,75.85,0.85,3.0,upper_right
26,3,78.0,78.85,0.85,3.0,upper_right
27,2,81.0,81.85,0.85,3.0,upper_right
28,9,84.0,84.85,0.85,3.0,upper_right
29,1,87.0,87.85,0.85,3.0,upper_right
30,5,90.0,90.85,0.85,3.0,upper_right
31,5,93.0,93.85,0.85,3.0,upper_right
32,8,96.0,96.85,0.85,3.0,upper_right
33,7,99.0,99.85,0.85,3.0,upper_right
34,1,102.0,102.85,0.85,3.0,upper_right
35,2,105.0,105.85,0.85,3.0,upper_right
36,6,108.0,108.85,0.85,3.0,upper_right
37,9,111.0,111.85,0.85,3.0,upper_right
38,7,114.0,114.85,0.85,3.0,upper_right
39,10,117.0,117.85,0.85,3.0,upper_right
40,2,120.0,120.85,0.85,3.0,upper_right
41,2,123.0,123.85,0.85,3.0,upper_right
42,5,126.0,126.85,0.85,3.0,upper_right
43,4,129.0,129.85,0.85,3.0,upper_right
44,5,132.0,132.85,0.85,3.0,upper_right
45,7,135.0,135.85,0.85,3.0,upper_right
46,10,138.0,138.85,0.85,3.0,upper_right
47,2,141.0,141.85,0.85,3.0,upper_right
48,9,144.0,144.85,0.85,3.0,upper_right
49,3,147.0,147.85,0.85,3.0,upper_right
50,1,150.0,150.85,0.85,3.0,upper_right
51,5,153.0,153.85,0.85,3.0,upper_right
52,7,156.0,156.85,0.85,3.0,upper_right
53,10,159.0,159.85,0.85,3.0,upper_right
54,6,162.0,162.85,0.85,3.0,upper_right
55,9,165.0,165.85,0.85,3.0,upper_right
56,9,168.0,168.85,0.85,3.0,upper_right
57,2,171.0,171.85,0.85,3.0,upper_right
58,9,174.0,174.85,0.85,3.0,upper_right
59,1,177.0,177.85,0.85,3.0,upper_right
