condition,anchor_id,rendered_time_sec,mean_luminance_window,mean_visual_change_window,cue_frequency_hz,cut_rate_per_sec
control,DEMO_A1_LANTERN_START,30.0,56.062,0.07544,0.333333,0.022222
control,DEMO_A2_BRIDGE_APPEARS,60.0,56.062,0.07544,0.333333,0.022222
control,DEMO_A3_OTHER_LIGHT,105.0,56.062,0.07544,0.333333,0.022222
control,DEMO_A4_CENTER_MEETING,150.0,56.062,0.07544,0.333333,0.022222
control,DEMO_A5_AFTERGLOW,168.0,56.062,0.07544,0.333333,0.022222
target,DEMO_A1_LANTERN_START,30.0,66.062,0.07544,0.333333,0.022222
target,DEMO_A2_BRIDGE_APPEARS,60.0,66.062,0.07544,0.333333,0.022222
target,DEMO_A3_OTHER_LIGHT,105.0,66.062,0.07544,0.333333,0.022222
target,DEMO_A4_CENTER_MEETING,150.0,66.062,0.07544,0.333333,0.022222
target,DEMO_A5_AFTERGLOW,168.0,66.062,0.07544,0.333333,0.022222
override,DEMO_A1_LANTERN_START,30.0,66.062,0.07544,0.333333,0.022222
override,DEMO_A2_BRIDGE_APPEARS,60.0,66.062,0.07544,0.333333,0.022222
override,DEMO_A3_OTHER_LIGHT,105.0,66.062,0.07544,0.333333,0.022222
override,DEMO_A4_CENTER_MEETING,150.0,66.062,0.07544,0.333333,0.022222
override,DEMO_A5_AFTERGLOW,168.0,66.062,0.07544,0.333333,0.022222
