condition,time_sec,dominant_visual_freq_hz,dominant_cue_freq_hz,dominant_audio_freq_hz
control,0,0.0222,0.333333,0.0167
control,5,0.0222,0.333333,0.0167
control,10,0.0222,0.333333,0.0167
control,15,0.0222,0.333333,0.0167
control,20,0.0222,0.333333,0.0167
control,25,0.0222,0.333333,0.0167
control,30,0.0222,0.333333,0.0167
control,35,0.0222,0.333333,0.0167
control,40,0.0222,0.333333,0.0167
control,45,0.0222,0.333333,0.0167
control,50,0.0222,0.333333,0.0167
control,55,0.0222,0.333333,0.0167
control,60,0.0222,0.333333,0.0167
control,65,0.0222,0.333333,0.0167
control,70,0.0222,0.333333,0.0167
control,75,0.0222,0.333333,0.0167
control,80,0.0222,0.333333,0.0167
control,85,0.0222,0.333333,0.0167
control,90,0.0222,0.333333,0.0167
control,95,0.0222,0.333333,0.0167
control,100,0.0222,0.333333,0.0167
control,105,0.0222,0.333333,0.0167
control,110,0.0222,0.333333,0.0167
control,115,0.0222,0.333333,0.0167
control,120,0.0222,0.333333,0.0167
control,125,0.0222,0.333333,0.0167
control,130,0.0222,0.333333,0.0167
control,135,0.0222,0.333333,0.0167
control,140,0.0222,0.333333,0.0167
control,145,0.0222,0.333333,0.0167
control,150,0.0222,0.333333,0.0167
control,155,0.0222,0.333333,0.0167
control,160,0.0222,0.333333,0.0167
control,165,0.0222,0.333333,0.0167
control,170,0.0222,0.333333,0.0167
control,175,0.0222,0.333333,0.0167
target,0,0.0222,0.333333,0.0167
target,5,0.0222,0.333333,0.0167
target,10,0.0222,0.333333,0.0167
target,15,0.0222,0.333333,0.0167
target,20,0.0222,0.333333,0.0167
target,25,0.0222,0.333333,0.0167
target,30,0.0222,0.333333,0.0167
target,35,0.0222,0.333333,0.0167
target,40,0.0222,0.333333,0.0167
target,45,0.0222,0.333333,0.0167
target,50,0.0222,0.333333,0.0167
target,55,0.0222,0.333333,0.0167
target,60,0.0222,0.333333,0.0167
target,65,0.0222,0.333333,0.0167
target,70,0.0222,0.333333,0.0167
target,75,0.0222,0.333333,0.0167
target,80,0.0222,0.333333,0.0167
target,85,0.0222,0.333333,0.0167
target,90,0.0222,0.333333,0.0167
target,95,0.0222,0.333333,0.0167
target,100,0.0222,0.333333,0.0167
target,105,0.0222,0.333333,0.0167
target,110,0.0222,0.333333,0.0167
target,115,0.0222,0.333333,0.0167
target,120,0.0222,0.333333,0.0167
target,125,0.0222,0.333333,0.0167
target,130,0.0222,0.333333,0.0167
target,135,0.0222,0.333333,0.0167
target,140,0.0222,0.333333,0.0167
target,145,0.0222,0.333333,0.0167
target,150,0.0222,0.333333,0.0167
target,155,0.0222,0.333333,0.0167
target,160,0.0222,0.333333,0.0167
target,165,0.0222,0.333333,0.0167
target,170,0.0222,0.333333,0.0167
target,175,0.0222,0.333333,0.0167
override,0,0.0222,0.333333,0.0167
override,5,0.0222,0.333333,0.0167
override,10,0.0222,0.333333,0.0167
override,15,0.0222,0.333333,0.0167
override,20,0.0222,0.333333,0.0167
override,25,0.0222,0.333333,0.0167
override,30,0.0222,0.333333,0.0167
override,35,0.0222,0.333333,0.0167
override,40,0.0222,0.333333,0.0167
override,45,0.0222,0.333333,0.0167
override,50,0.0222,0.333333,0.0167
override,55,0.0222,0.333333,0.0167
override,60,0.0222,0.333333,0.0167
override,65,0.0222,0.333333,0.0167
override,70,0.0222,0.333333,0.0167
override,75,0.0222,0.333333,0.0167
override,80,0.0222,0.333333,0.0167
override,85,0.0222,0.333333,0.0167
override,90,0.0222,0.333333,0.0167
override,95,0.0222,0.333333,0.0167
override,100,0.0222,0.333333,0.0167
override,105,0.0222,0.333333,0.0167
override,110,0.0222,0.333333,0.0167
override,115,0.0222,0.333333,0.0167
override,120,0.0222,0.333333,0.0167
override,125,0.0222,0.333333,0.0167
override,130,0.0222,0.333333,0.0167
override,135,0.0222,0.333333,0.0167
override,140,0.0222,0.333333,0.0167
override,145,0.0222,0.333333,0.0167
override,150,0.0222,0.333333,0.0167
override,155,0.0222,0.333333,0.0167
override,160,0.0222,0.333333,0.0167
override,165,0.0222,0.333333,0.0167
override,170,0.0222,0.333333,0.0167
override,175,0.0222,0.333333,0.0167
