condition,time_sec,luminance_mean,visual_change,cut_event,flash_proxy,audio_rms_proxy,audio_derivative_proxy,cue_on,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse
control,0.0,55.0,0.05,1,0,0.07,0,0,0,0.0,1.0,0
control,0.25,310.471,0.05418,0,1,0.07,0,0,0,0.5,0.866025,1
control,0.5,310.942,0.05832,0,1,0.07,0,0,0,0.866025,0.5,1
control,0.75,311.412,0.06236,0,1,0.07,0,0,0,1.0,0.0,1
control,1.0,56.882,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,1.25,57.349,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,1.5,57.816,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,1.75,58.28,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,2.0,58.742,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,2.25,59.202,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,2.5,59.659,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,2.75,60.112,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,3.0,60.562,0.08804,0,0,0.07,0,1,8,0.0,1.0,0
control,3.25,61.009,0.08913,0,0,0.07,0,1,8,0.5,0.866025,0
control,3.5,61.451,0.08978,0,0,0.07,0,1,8,0.866025,0.5,0
control,3.75,61.888,0.09,0,0,0.07,0,1,8,1.0,0.0,0
control,4.0,62.321,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,4.25,62.749,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,4.5,63.172,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,4.75,63.589,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,5.0,64.0,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,5.25,64.405,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,5.5,64.804,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,5.75,65.195,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,6.0,65.58,0.07351,0,0,0.07,0,1,9,0.0,1.0,0
control,6.25,65.958,0.07,0,0,0.07,0,1,9,0.5,0.866025,0
control,6.5,66.328,0.06627,0,0,0.07,0,1,9,0.866025,0.5,0
control,6.75,66.69,0.06236,0,0,0.07,0,1,9,1.0,0.0,0
control,7.0,67.044,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,7.25,67.39,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,7.5,67.728,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,7.75,68.057,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,8.0,68.377,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,8.25,68.687,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,8.5,68.989,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,8.75,69.28,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,9.0,69.562,0.07351,0,0,0.07,0,1,1,0.0,1.0,0
control,9.25,69.834,0.07677,0,0,0.07,0,1,1,0.5,0.866025,0
control,9.5,70.096,0.07973,0,0,0.07,0,1,1,0.866025,0.5,0
control,9.75,70.348,0.08236,0,0,0.07,0,1,1,1.0,0.0,0
control,10.0,70.588,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,10.25,70.819,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,10.5,71.038,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,10.75,71.247,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,11.0,71.444,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,11.25,71.63,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,11.5,71.804,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,11.75,71.968,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,12.0,72.119,0.08804,0,0,0.07,0,1,7,0.0,1.0,0
control,12.25,72.259,0.08654,0,0,0.07,0,1,7,0.5,0.866025,0
control,12.5,72.387,0.08464,0,0,0.07,0,1,7,0.866025,0.5,0
control,12.75,72.503,0.08236,0,0,0.07,0,1,7,1.0,0.0,0
control,13.0,72.607,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,13.25,72.699,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,13.5,72.778,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,13.75,72.846,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,14.0,72.901,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,14.25,72.945,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,14.5,72.975,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,14.75,72.994,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,15.0,73.0,0.05,0,0,0.07,0,1,7,0.0,1.0,0
control,15.25,72.994,0.05418,0,0,0.07,0,1,7,0.5,0.866025,0
control,15.5,72.975,0.05832,0,0,0.07,0,1,7,0.866025,0.5,0
control,15.75,72.945,0.06236,0,0,0.07,0,1,7,1.0,0.0,0
control,16.0,72.901,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,16.25,72.846,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,16.5,72.778,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,16.75,72.699,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,17.0,72.607,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,17.25,72.503,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,17.5,72.387,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,17.75,72.259,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,18.0,72.119,0.08804,0,0,0.07,0,1,3,0.0,1.0,0
control,18.25,71.968,0.08913,0,0,0.07,0,1,3,0.5,0.866025,0
control,18.5,71.804,0.08978,0,0,0.07,0,1,3,0.866025,0.5,0
control,18.75,71.63,0.09,0,0,0.07,0,1,3,1.0,0.0,0
control,19.0,71.444,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,19.25,71.247,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,19.5,71.038,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,19.75,70.819,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,20.0,70.588,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,20.25,70.348,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,20.5,70.096,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,20.75,69.834,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,21.0,69.562,0.07351,0,0,0.07,0,1,8,0.0,1.0,0
control,21.25,69.28,0.07,0,0,0.07,0,1,8,0.5,0.866025,0
control,21.5,68.989,0.06627,0,0,0.07,0,1,8,0.866025,0.5,0
control,21.75,68.687,0.06236,0,0,0.07,0,1,8,1.0,0.0,0
control,22.0,68.377,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,22.25,68.057,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,22.5,67.728,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,22.75,67.39,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,23.0,67.044,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,23.25,66.69,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,23.5,66.328,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
