shot_index,shuffled_index,start_sec,end_sec,duration_sec,start_frame,end_frame,mean_change
0,52,0.0,2.0,2.0,0,24,0.0
1,9,2.0,4.0,2.0,24,48,0.0
2,40,4.0,6.0,2.0,48,72,0.0
3,17,6.0,8.0,2.0,72,96,0.0
4,29,8.0,10.0,2.0,96,120,0.0
5,2,10.0,12.0,2.0,120,144,0.0
6,69,12.0,14.0,2.0,144,168,0.0
7,53,14.0,16.0,2.0,168,192,0.0
8,86,16.0,18.0,2.0,192,216,0.0
9,34,18.0,20.0,2.0,216,240,0.0
10,56,20.0,22.0,2.0,240,264,0.0
11,59,22.0,24.0,2.0,264,288,0.0
12,50,24.0,26.0,2.0,288,312,0.0
13,4,26.0,28.0,2.0,312,336,0.0
14,44,28.0,30.0,2.0,336,360,0.0
15,85,30.0,32.0,2.0,360,384,0.0
16,5,32.0,34.0,2.0,384,408,0.0
17,65,34.0,36.0,2.0,408,432,0.0
18,49,36.0,38.0,2.0,432,456,0.0
19,54,38.0,40.0,2.0,456,480,0.0
20,14,40.0,42.0,2.0,480,504,0.0
21,79,42.0,44.0,2.0,504,528,0.0
22,64,44.0,46.0,2.0,528,552,0.0
23,72,46.0,48.0,2.0,552,576,0.0
24,88,48.0,50.0,2.0,576,600,0.0
25,74,50.0,52.0,2.0,600,624,0.0
26,19,52.0,54.0,2.0,624,648,0.0
27,18,54.0,56.0,2.0,648,672,0.0
28,30,56.0,58.0,2.0,672,696,0.0
29,76,58.0,60.0,2.0,696,720,0.0
30,33,60.0,62.0,2.0,720,744,0.0
31,68,62.0,64.0,2.0,744,768,0.0
32,26,64.0,66.0,2.0,768,792,0.0
33,38,66.0,68.0,2.0,792,816,0.0
34,77,68.0,70.0,2.0,816,840,0.0
35,63,70.0,72.0,2.0,840,864,0.0
36,71,72.0,74.0,2.0,864,888,0.0
37,78,74.0,76.0,2.0,888,912,0.0
38,60,76.0,78.0,2.0,912,936,0.0
39,83,78.0,80.0,2.0,936,960,0.0
40,61,80.0,82.0,2.0,960,984,0.0
41,15,82.0,84.0,2.0,984,1008,0.0
42,3,84.0,86.0,2.0,1008,1032,0.0
43,81,86.0,88.0,2.0,1032,1056,0.0
44,66,88.0,90.0,2.0,1056,1080,0.0
45,39,90.0,92.0,2.0,1080,1104,0.0
46,51,92.0,94.0,2.0,1104,1128,0.0
47,28,94.0,96.0,2.0,1128,1152,0.0
48,22,96.0,98.0,2.0,1152,1176,0.0
49,82,98.0,100.0,2.0,1176,1200,0.0
50,13,100.0,102.0,2.0,1200,1224,0.0
51,25,102.0,104.0,2.0,1224,1248,0.0
52,1,104.0,106.0,2.0,1248,1272,0.0
53,12,106.0,108.0,2.0,1272,1296,0.0
54,31,108.0,110.0,2.0,1296,1320,0.0
55,43,110.0,112.0,2.0,1320,1344,0.0
56,21,112.0,114.0,2.0,1344,1368,0.0
57,89,114.0,116.0,2.0,1368,1392,0.0
58,87,116.0,118.0,2.0,1392,1416,0.0
59,70,118.0,120.0,2.0,1416,1440,0.0
60,47,120.0,122.0,2.0,1440,1464,0.0
61,62,122.0,124.0,2.0,1464,1488,0.0
62,24,124.0,126.0,2.0,1488,1512,0.0
63,55,126.0,128.0,2.0,1512,1536,0.0
64,58,128.0,130.0,2.0,1536,1560,0.0
65,67,130.0,132.0,2.0,1560,1584,0.0
66,36,132.0,134.0,2.0,1584,1608,0.0
67,42,134.0,136.0,2.0,1608,1632,0.0
68,0,136.0,138.0,2.0,1632,1656,0.0
69,27,138.0,140.0,2.0,1656,1680,0.0
70,16,140.0,142.0,2.0,1680,1704,0.0
71,48,142.0,144.0,2.0,1704,1728,0.0
72,37,144.0,146.0,2.0,1728,1752,0.0
73,23,146.0,148.0,2.0,1752,1776,0.0
74,8,148.0,150.0,2.0,1776,1800,0.0
75,11,150.0,152.0,2.0,1800,1824,0.0
76,46,152.0,154.0,2.0,1824,1848,0.0
77,20,154.0,156.0,2.0,1848,1872,0.0
78,10,156.0,158.0,2.0,1872,1896,0.0
79,41,158.0,160.0,2.0,1896,1920,0.0
80,73,160.0,162.0,2.0,1920,1944,0.0
81,84,162.0,164.0,2.0,1944,1968,0.0
82,7,164.0,166.0,2.0,1968,1992,0.0
83,32,166.0,168.0,2.0,1992,2016,0.0
84,57,168.0,170.0,2.0,2016,2040,0.0
85,75,170.0,172.0,2.0,2040,2064,0.0
86,35,172.0,174.0,2.0,2064,2088,0.0
87,80,174.0,176.0,2.0,2088,2112,0.0
88,45,176.0,178.0,2.0,2112,2136,0.0
89,6,178.0,179.91666666666666,1.9166666666666572,2136,2159,0.0
