cue_index,value,start_sec,end_sec,duration_sec,interval_sec,position,badge_x1,badge_y1,badge_x2,badge_y2,pre_badge_background_luminance,contrast_pre_badge_0_1,contrast_protected_badge,content_start_sec,content_end_sec
1,8,4.25,5.1,0.85,3.0,upper_right,564,28,612,75,22.800325393676758,0.8358509783651878,True,3.0,3.85
2,9,7.25,8.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,6.0,6.85
3,1,10.25,11.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,9.0,9.85
4,7,13.25,14.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,12.0,12.85
5,7,16.25,17.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,15.0,15.85
6,3,19.25,20.1,0.85,3.0,upper_right,564,28,612,75,22.3572940826416,0.8387834394189632,True,18.0,18.85
7,8,22.25,23.1,0.85,3.0,upper_right,564,28,612,75,22.583356857299805,0.8372859415519466,True,21.0,21.85
8,4,25.25,26.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,24.0,24.85
9,9,28.25,29.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,27.0,27.85
10,5,31.25,32.1,0.85,3.0,upper_right,564,28,612,75,22.3572940826416,0.8387834394189632,True,30.0,30.85
11,1,34.25,35.1,0.85,3.0,upper_right,564,28,612,74,22.344070434570312,0.8388711118359592,True,33.0,33.85
12,4,37.25,38.1,0.85,3.0,upper_right,564,28,612,74,22.333200454711914,0.8389431857594671,True,36.0,36.85
13,10,40.25,41.1,0.85,3.0,upper_right,549,28,612,75,22.357295989990234,0.838783426773898,True,39.0,39.85
14,10,43.25,44.1,0.85,3.0,upper_right,549,28,612,75,22.500349044799805,0.83783552315399,True,42.0,42.85
15,6,46.25,47.1,0.85,3.0,upper_right,564,28,612,75,37.41853713989258,0.7440754756663779,True,45.0,45.85
16,6,49.25,50.1,0.85,3.0,upper_right,564,28,612,75,37.23945999145508,0.7451442021887391,True,48.0,48.85
17,4,52.25,53.1,0.85,3.0,upper_right,564,28,612,74,37.205360412597656,0.7453478558179963,True,51.0,51.85
18,6,55.25,56.1,0.85,3.0,upper_right,564,28,612,75,37.23945999145508,0.7451442021887391,True,54.0,54.85
19,3,58.25,59.1,0.85,3.0,upper_right,564,28,612,75,37.44956588745117,0.7438904301618365,True,57.0,57.85
20,4,61.25,62.1,0.85,3.0,upper_right,564,28,612,74,37.22574234008789,0.7452261226912844,True,60.0,60.85
21,7,64.25,65.1,0.85,3.0,upper_right,564,28,612,74,37.205360412597656,0.7453478558179963,True,63.0,63.85
22,5,67.25,68.1,0.85,3.0,upper_right,564,28,612,75,37.23945999145508,0.7451442021887391,True,66.0,66.85
23,9,70.25,71.1,0.85,3.0,upper_right,564,28,612,74,37.205360412597656,0.7453478558179963,True,69.0,69.85
24,3,73.25,74.1,0.85,3.0,upper_right,564,28,612,75,37.23945999145508,0.7451442021887391,True,72.0,72.85
25,5,76.25,77.1,0.85,3.0,upper_right,564,28,612,75,37.23945999145508,0.7451442021887391,True,75.0,75.85
26,3,79.25,80.1,0.85,3.0,upper_right,564,28,612,75,37.23945999145508,0.7451442021887391,True,78.0,78.85
27,2,82.25,83.1,0.85,3.0,upper_right,564,28,612,74,37.48027038574219,0.7437073570250436,True,81.0,81.85
28,9,85.25,86.1,0.85,3.0,upper_right,564,28,612,74,37.205360412597656,0.7453478558179963,True,84.0,84.85
29,1,88.25,89.1,0.85,3.0,upper_right,564,28,612,74,37.314510345458984,0.7446961447537548,True,87.0,87.85
30,5,91.25,92.1,0.85,3.0,upper_right,564,28,612,75,32.17738342285156,0.775905863983549,True,90.0,90.85
31,5,94.25,95.1,0.85,3.0,upper_right,564,28,612,75,32.19923400878906,0.7757707501706703,True,93.0,93.85
32,8,97.25,98.1,0.85,3.0,upper_right,564,28,612,75,32.418853759765625,0.7744138651804009,True,96.0,96.85
33,7,100.25,101.1,0.85,3.0,upper_right,564,28,612,74,32.16959762573242,0.7759540126832228,True,99.0,99.85
34,1,103.25,104.1,0.85,3.0,upper_right,564,28,612,74,32.33898162841797,0.7749071021787656,True,102.0,102.85
