anchor_id,scene_label,target_window_start,target_window_end,reference_window,target_rows,reference_rows,cosine_similarity,euclidean_distance,target_vector_json,reference_vector_json
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,28.007354,38.007354,WASHOUT_2_first30,10,30,0.9234805556800554,1.1374187522876829,"[1.222092115637523, 1.2302963131948446, -0.09706303779265206, 0.2853670724984597, -1.5705830747605436, 0.09516546820133974, 1.2745291178804485, -0.5859852235614961]","[1.1377434819319598, 1.237896343164501, -0.16872643475575486, 0.5491520982874122, -0.6081297454809685, 0.15532722421035527, 0.9250490879921553, -0.18628703232313654]"
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,28.007354,38.007354,WASHOUT_2_first45,10,45,0.9296803947824633,1.2284104343507187,"[1.222092115637523, 1.2302963131948446, -0.09706303779265206, 0.2853670724984597, -1.5705830747605436, 0.09516546820133974, 1.2745291178804485, -0.5859852235614961]","[0.9581831558274383, 1.0753561893580816, -0.09131712109708516, 0.53605217241037, -0.5606385758067948, 0.1493749549997163, 0.7093925253809422, -0.48520897787444417]"
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,28.007354,38.007354,WASHOUT_2_first60,10,60,0.9574428196703026,1.2453337594123388,"[1.222092115637523, 1.2302963131948446, -0.09706303779265206, 0.2853670724984597, -1.5705830747605436, 0.09516546820133974, 1.2745291178804485, -0.5859852235614961]","[0.8275210011532869, 0.9420807197501956, -0.11959408228753031, 0.4144360365970323, -0.67657590244227, 0.17070151651357696, 0.5906320360985846, -0.43676928285245864]"
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,28.007354,38.007354,BASELINE_2_first30,10,30,0.667833758763924,3.8865319256506257,"[1.222092115637523, 1.2302963131948446, -0.09706303779265206, 0.2853670724984597, -1.5705830747605436, 0.09516546820133974, 1.2745291178804485, -0.5859852235614961]","[2.39752927331812, 2.0568049705881277, -0.0006003486822357592, 0.39143579150886043, -0.24461388390625877, 0.03171793089791841, 3.5739177274491354, 1.8574545342916615]"
CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,28.007354,38.007354,BASELINE_2_all,10,119,0.7546392677055477,2.176083807103001,"[1.222092115637523, 1.2302963131948446, -0.09706303779265206, 0.2853670724984597, -1.5705830747605436, 0.09516546820133974, 1.2745291178804485, -0.5859852235614961]","[1.4563341949020385, 1.2548907763289305, 0.3467019768089793, -0.005104616633712348, -0.8996858439633546, 0.28315293463556945, 2.1821825931149768, 1.1716518530035658]"
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,161.007354,173.007354,WASHOUT_2_first30,12,30,0.6993404346833889,4.116272021463378,"[1.7556555001958165, 1.7907479010756042, 1.223415768125523, 0.154121507452578, -2.4809374308183627, 3.281164798220224, 1.8459478655426302, 0.0029283018848369965]","[1.1377434819319598, 1.237896343164501, -0.16872643475575486, 0.5491520982874122, -0.6081297454809685, 0.15532722421035527, 0.9250490879921553, -0.18628703232313654]"
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,161.007354,173.007354,WASHOUT_2_first45,12,45,0.6873577174929048,4.248274049995358,"[1.7556555001958165, 1.7907479010756042, 1.223415768125523, 0.154121507452578, -2.4809374308183627, 3.281164798220224, 1.8459478655426302, 0.0029283018848369965]","[0.9581831558274383, 1.0753561893580816, -0.09131712109708516, 0.53605217241037, -0.5606385758067948, 0.1493749549997163, 0.7093925253809422, -0.48520897787444417]"
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,161.007354,173.007354,WASHOUT_2_first60,12,60,0.7212975907678661,4.260629401270138,"[1.7556555001958165, 1.7907479010756042, 1.223415768125523, 0.154121507452578, -2.4809374308183627, 3.281164798220224, 1.8459478655426302, 0.0029283018848369965]","[0.8275210011532869, 0.9420807197501956, -0.11959408228753031, 0.4144360365970323, -0.67657590244227, 0.17070151651357696, 0.5906320360985846, -0.43676928285245864]"
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,161.007354,173.007354,BASELINE_2_first30,12,30,0.5599346543029005,4.901277095701555,"[1.7556555001958165, 1.7907479010756042, 1.223415768125523, 0.154121507452578, -2.4809374308183627, 3.281164798220224, 1.8459478655426302, 0.0029283018848369965]","[2.39752927331812, 2.0568049705881277, -0.0006003486822357592, 0.39143579150886043, -0.24461388390625877, 0.03171793089791841, 3.5739177274491354, 1.8574545342916615]"
CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,161.007354,173.007354,BASELINE_2_all,12,119,0.7111481180886804,3.760068666728275,"[1.7556555001958165, 1.7907479010756042, 1.223415768125523, 0.154121507452578, -2.4809374308183627, 3.281164798220224, 1.8459478655426302, 0.0029283018848369965]","[1.4563341949020385, 1.2548907763289305, 0.3467019768089793, -0.005104616633712348, -0.8996858439633546, 0.28315293463556945, 2.1821825931149768, 1.1716518530035658]"
