eta_E,zeta_E,K,K_loop,loss,delta_loss
2.0,120.0,15.491933384829668,240.0,25.082945511352882,22.67262072501212
2.0,125.0,15.811388300841896,250.0,23.93614426640506,21.525819480064296
2.0,130.0,16.1245154965971,260.0,22.88966340331316,20.4793386169724
2.0,135.0,16.431676725154983,270.0,21.943162167590714,19.53283738124995
2.0,140.0,16.73320053068151,280.0,21.096328848341074,18.68600406200031
2.0,145.0,17.029386365926403,290.0,20.348877296193308,17.938552509852546
2.0,150.0,17.320508075688775,300.0,19.70054396722375,17.29021918088299
2.0,155.0,17.60681686165901,310.0,19.15108539831628,16.740760611975517
2.0,160.0,17.88854381999832,320.0,18.700276038930816,16.289951252590054
2.0,165.0,18.16590212458495,330.0,18.347906379251377,15.937581592910615
2.0,170.0,18.439088914585774,340.0,18.093781326321672,15.68345653998091
2.0,175.0,18.708286933869708,350.0,17.937718788879693,15.52739400253893
2.0,180.0,18.973665961010276,360.0,17.87954843878149,15.469223652440729
2.0,185.0,19.235384061671343,370.0,17.919110622606986,15.508785836266224
2.0,190.0,19.493588689617926,380.0,18.056255401603547,15.645930615262785
2.0,195.0,19.748417658131498,390.0,18.290841701796897,15.880516915456134
2.0,200.0,20.0,400.0,18.622736559076444,16.21241177273568
2.0,205.0,20.248456731316587,410.0,19.05181444648874,16.64148966014798
2.0,210.0,20.493901531919196,420.0,19.57795667296179,17.167631886621027
2.0,215.0,20.73644135332772,430.0,20.201050844321642,17.79072605798088
2.0,220.0,20.97617696340303,440.0,20.920990378820026,18.510665592479263
2.0,225.0,21.213203435596427,450.0,21.737674070520104,19.32734928417934
2.0,230.0,21.447610589527216,460.0,22.651005694831944,20.240680908491182
2.0,235.0,21.6794833886788,470.0,23.66089365128021,21.25056886493945
2.0,240.0,21.908902300206645,480.0,24.767250639254854,22.35692585291409
2.25,120.0,16.431676725154983,270.0,21.36470457823807,18.954379791897306
2.25,125.0,16.77050983124842,281.25,20.2348891737291,17.82456438738834
2.25,130.0,17.10263137648707,292.5,19.2057061596133,16.795381373272537
2.25,135.0,17.428425057933374,303.75,18.27680433438099,15.866479548040228
2.25,140.0,17.74823934929885,315.0,17.44786236341254,15.037537577071777
2.25,145.0,18.062391868188442,326.25,16.71858520205221,14.308260415711448
2.25,150.0,18.371173070873837,337.5,16.088701058656877,13.678376272316115
