generator,trial,seed,fold_condition,winning_model
full_reciprocal_positive_control,1,930001,doublet_EY,zeta_only
full_reciprocal_positive_control,1,930001,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,1,930001,counterphase,full_reciprocal
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,standard_ping
full_reciprocal_positive_control,1,930001,recovery_probe,eta_only
full_reciprocal_positive_control,1,930001,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,2,930002,doublet_EY,colored_noise_ar
full_reciprocal_positive_control,2,930002,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,2,930002,counterphase,full_reciprocal
full_reciprocal_positive_control,2,930002,lagged_E_to_Y,colored_noise_ar
full_reciprocal_positive_control,2,930002,recovery_probe,eta_only
full_reciprocal_positive_control,2,930002,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,3,930003,doublet_EY,colored_noise_ar
full_reciprocal_positive_control,3,930003,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,3,930003,counterphase,full_reciprocal
full_reciprocal_positive_control,3,930003,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,3,930003,recovery_probe,full_reciprocal
full_reciprocal_positive_control,3,930003,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,4,930004,doublet_EY,full_reciprocal
full_reciprocal_positive_control,4,930004,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,4,930004,counterphase,full_reciprocal
full_reciprocal_positive_control,4,930004,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,4,930004,recovery_probe,full_reciprocal
full_reciprocal_positive_control,4,930004,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,5,930005,doublet_EY,colored_noise_ar
full_reciprocal_positive_control,5,930005,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,5,930005,counterphase,full_reciprocal
full_reciprocal_positive_control,5,930005,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,5,930005,recovery_probe,eta_only
full_reciprocal_positive_control,5,930005,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,6,930006,doublet_EY,full_reciprocal
full_reciprocal_positive_control,6,930006,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,6,930006,counterphase,full_reciprocal
full_reciprocal_positive_control,6,930006,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,6,930006,recovery_probe,eta_only
full_reciprocal_positive_control,6,930006,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,7,930007,doublet_EY,full_reciprocal
full_reciprocal_positive_control,7,930007,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,7,930007,counterphase,full_reciprocal
full_reciprocal_positive_control,7,930007,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,7,930007,recovery_probe,eta_only
full_reciprocal_positive_control,7,930007,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,8,930008,doublet_EY,full_reciprocal
full_reciprocal_positive_control,8,930008,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,8,930008,counterphase,full_reciprocal
full_reciprocal_positive_control,8,930008,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,8,930008,recovery_probe,eta_only
full_reciprocal_positive_control,8,930008,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,9,930009,doublet_EY,full_reciprocal
full_reciprocal_positive_control,9,930009,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,9,930009,counterphase,full_reciprocal
full_reciprocal_positive_control,9,930009,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,9,930009,recovery_probe,eta_only
full_reciprocal_positive_control,9,930009,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,10,930010,doublet_EY,colored_noise_ar
full_reciprocal_positive_control,10,930010,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,10,930010,counterphase,full_reciprocal
full_reciprocal_positive_control,10,930010,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,10,930010,recovery_probe,eta_only
full_reciprocal_positive_control,10,930010,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,11,930011,doublet_EY,colored_noise_ar
full_reciprocal_positive_control,11,930011,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,11,930011,counterphase,full_reciprocal
full_reciprocal_positive_control,11,930011,lagged_E_to_Y,colored_noise_ar
full_reciprocal_positive_control,11,930011,recovery_probe,eta_only
full_reciprocal_positive_control,11,930011,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,12,930012,doublet_EY,full_reciprocal
full_reciprocal_positive_control,12,930012,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,12,930012,counterphase,full_reciprocal
full_reciprocal_positive_control,12,930012,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,12,930012,recovery_probe,eta_only
full_reciprocal_positive_control,12,930012,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,13,930013,doublet_EY,colored_noise_ar
full_reciprocal_positive_control,13,930013,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,13,930013,counterphase,full_reciprocal
full_reciprocal_positive_control,13,930013,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,13,930013,recovery_probe,eta_only
full_reciprocal_positive_control,13,930013,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,14,930014,doublet_EY,zeta_only
full_reciprocal_positive_control,14,930014,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,14,930014,counterphase,full_reciprocal
full_reciprocal_positive_control,14,930014,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,14,930014,recovery_probe,eta_only
full_reciprocal_positive_control,14,930014,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,15,930015,doublet_EY,full_reciprocal
full_reciprocal_positive_control,15,930015,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,15,930015,counterphase,full_reciprocal
full_reciprocal_positive_control,15,930015,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,15,930015,recovery_probe,eta_only
full_reciprocal_positive_control,15,930015,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,16,930016,doublet_EY,zeta_only
full_reciprocal_positive_control,16,930016,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,16,930016,counterphase,full_reciprocal
full_reciprocal_positive_control,16,930016,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,16,930016,recovery_probe,eta_only
full_reciprocal_positive_control,16,930016,lagged_Y_to_E,eta_only
full_reciprocal_positive_control,17,930017,doublet_EY,full_reciprocal
full_reciprocal_positive_control,17,930017,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,17,930017,counterphase,full_reciprocal
full_reciprocal_positive_control,17,930017,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,17,930017,recovery_probe,eta_only
full_reciprocal_positive_control,17,930017,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,18,930018,doublet_EY,full_reciprocal
full_reciprocal_positive_control,18,930018,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,18,930018,counterphase,full_reciprocal
full_reciprocal_positive_control,18,930018,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,18,930018,recovery_probe,eta_only
full_reciprocal_positive_control,18,930018,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,19,930019,doublet_EY,full_reciprocal
full_reciprocal_positive_control,19,930019,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,19,930019,counterphase,full_reciprocal
full_reciprocal_positive_control,19,930019,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,19,930019,recovery_probe,eta_only
full_reciprocal_positive_control,19,930019,lagged_Y_to_E,full_reciprocal
full_reciprocal_positive_control,20,930020,doublet_EY,full_reciprocal
full_reciprocal_positive_control,20,930020,orthogonal_trap,full_reciprocal
full_reciprocal_positive_control,20,930020,counterphase,full_reciprocal
full_reciprocal_positive_control,20,930020,lagged_E_to_Y,eta_only
full_reciprocal_positive_control,20,930020,recovery_probe,eta_only
full_reciprocal_positive_control,20,930020,lagged_Y_to_E,full_reciprocal
standard_ping_null,1,940001,doublet_EY,eta_only
standard_ping_null,1,940001,orthogonal_trap,standard_ping
standard_ping_null,1,940001,counterphase,full_reciprocal
standard_ping_null,1,940001,lagged_E_to_Y,standard_ping
standard_ping_null,1,940001,recovery_probe,eta_only
standard_ping_null,1,940001,lagged_Y_to_E,eta_only
standard_ping_null,2,940002,doublet_EY,eta_only
standard_ping_null,2,940002,orthogonal_trap,eta_only
standard_ping_null,2,940002,counterphase,full_reciprocal
standard_ping_null,2,940002,lagged_E_to_Y,standard_ping
standard_ping_null,2,940002,recovery_probe,eta_only
standard_ping_null,2,940002,lagged_Y_to_E,full_reciprocal
standard_ping_null,3,940003,doublet_EY,full_reciprocal
standard_ping_null,3,940003,orthogonal_trap,eta_only
standard_ping_null,3,940003,counterphase,eta_only
standard_ping_null,3,940003,lagged_E_to_Y,eta_only
standard_ping_null,3,940003,recovery_probe,eta_only
standard_ping_null,3,940003,lagged_Y_to_E,eta_only
standard_ping_null,4,940004,doublet_EY,eta_only
standard_ping_null,4,940004,orthogonal_trap,full_reciprocal
standard_ping_null,4,940004,counterphase,eta_only
standard_ping_null,4,940004,lagged_E_to_Y,full_reciprocal
standard_ping_null,4,940004,recovery_probe,eta_only
standard_ping_null,4,940004,lagged_Y_to_E,eta_only
standard_ping_null,5,940005,doublet_EY,eta_only
standard_ping_null,5,940005,orthogonal_trap,eta_only
standard_ping_null,5,940005,counterphase,eta_only
standard_ping_null,5,940005,lagged_E_to_Y,full_reciprocal
standard_ping_null,5,940005,recovery_probe,eta_only
standard_ping_null,5,940005,lagged_Y_to_E,eta_only
standard_ping_null,6,940006,doublet_EY,eta_only
standard_ping_null,6,940006,orthogonal_trap,eta_only
standard_ping_null,6,940006,counterphase,eta_only
standard_ping_null,6,940006,lagged_E_to_Y,eta_only
standard_ping_null,6,940006,recovery_probe,eta_only
standard_ping_null,6,940006,lagged_Y_to_E,standard_ping
standard_ping_null,7,940007,doublet_EY,eta_only
standard_ping_null,7,940007,orthogonal_trap,eta_only
standard_ping_null,7,940007,counterphase,eta_only
standard_ping_null,7,940007,lagged_E_to_Y,standard_ping
standard_ping_null,7,940007,recovery_probe,eta_only
standard_ping_null,7,940007,lagged_Y_to_E,eta_only
standard_ping_null,8,940008,doublet_EY,full_reciprocal
standard_ping_null,8,940008,orthogonal_trap,full_reciprocal
standard_ping_null,8,940008,counterphase,full_reciprocal
standard_ping_null,8,940008,lagged_E_to_Y,eta_only
standard_ping_null,8,940008,recovery_probe,full_reciprocal
standard_ping_null,8,940008,lagged_Y_to_E,zeta_only
standard_ping_null,9,940009,doublet_EY,eta_only
standard_ping_null,9,940009,orthogonal_trap,eta_only
standard_ping_null,9,940009,counterphase,eta_only
standard_ping_null,9,940009,lagged_E_to_Y,eta_only
standard_ping_null,9,940009,recovery_probe,eta_only
standard_ping_null,9,940009,lagged_Y_to_E,standard_ping
standard_ping_null,10,940010,doublet_EY,eta_only
standard_ping_null,10,940010,orthogonal_trap,eta_only
standard_ping_null,10,940010,counterphase,eta_only
standard_ping_null,10,940010,lagged_E_to_Y,eta_only
standard_ping_null,10,940010,recovery_probe,full_reciprocal
standard_ping_null,10,940010,lagged_Y_to_E,eta_only
standard_ping_null,11,940011,doublet_EY,full_reciprocal
standard_ping_null,11,940011,orthogonal_trap,eta_only
standard_ping_null,11,940011,counterphase,zeta_only
standard_ping_null,11,940011,lagged_E_to_Y,eta_only
standard_ping_null,11,940011,recovery_probe,standard_ping
standard_ping_null,11,940011,lagged_Y_to_E,eta_only
standard_ping_null,12,940012,doublet_EY,eta_only
standard_ping_null,12,940012,orthogonal_trap,eta_only
standard_ping_null,12,940012,counterphase,full_reciprocal
standard_ping_null,12,940012,lagged_E_to_Y,eta_only
standard_ping_null,12,940012,recovery_probe,full_reciprocal
standard_ping_null,12,940012,lagged_Y_to_E,eta_only
standard_ping_null,13,940013,doublet_EY,eta_only
standard_ping_null,13,940013,orthogonal_trap,eta_only
standard_ping_null,13,940013,counterphase,eta_only
standard_ping_null,13,940013,lagged_E_to_Y,full_reciprocal
standard_ping_null,13,940013,recovery_probe,full_reciprocal
