trial_id,fold,generator,generator_type,winning_model,penalized_loss
1,0,full_reciprocal_positive,positive,eta_only,1.1272008032964103
1,1,full_reciprocal_positive,positive,full_reciprocal,1.0234960077610198
1,2,full_reciprocal_positive,positive,full_reciprocal,0.911180459462323
1,3,full_reciprocal_positive,positive,full_reciprocal,1.1036865650725505
1,4,full_reciprocal_positive,positive,full_reciprocal,1.1315493823539324
1,5,full_reciprocal_positive,positive,full_reciprocal,1.080640729346275
2,0,full_reciprocal_positive,positive,full_reciprocal,0.8533825128618769
2,1,full_reciprocal_positive,positive,full_reciprocal,1.1240770914224822
2,2,full_reciprocal_positive,positive,full_reciprocal,0.821186036193672
2,3,full_reciprocal_positive,positive,eta_only,1.1460056877105418
2,4,full_reciprocal_positive,positive,full_reciprocal,0.8608486284284267
2,5,full_reciprocal_positive,positive,eta_only,1.1025502876127635
3,0,full_reciprocal_positive,positive,full_reciprocal,1.0759960004695917
3,1,full_reciprocal_positive,positive,full_reciprocal,1.0602906693487
3,2,full_reciprocal_positive,positive,full_reciprocal,1.0292696675381032
3,3,full_reciprocal_positive,positive,full_reciprocal,1.0893120826375062
3,4,full_reciprocal_positive,positive,full_reciprocal,1.0107562504504854
3,5,full_reciprocal_positive,positive,full_reciprocal,1.044732163346082
4,0,full_reciprocal_positive,positive,full_reciprocal,1.0047355068613903
4,1,full_reciprocal_positive,positive,full_reciprocal,1.1262988356279406
4,2,full_reciprocal_positive,positive,full_reciprocal,0.9803764166115345
4,3,full_reciprocal_positive,positive,full_reciprocal,1.1020804796021415
4,4,full_reciprocal_positive,positive,full_reciprocal,1.0313761150920484
4,5,full_reciprocal_positive,positive,full_reciprocal,0.9200224954015288
5,0,full_reciprocal_positive,positive,full_reciprocal,0.9443525709678918
5,1,full_reciprocal_positive,positive,full_reciprocal,1.0621904441532737
5,2,full_reciprocal_positive,positive,full_reciprocal,1.106793653406346
5,3,full_reciprocal_positive,positive,full_reciprocal,1.0097227701694218
5,4,full_reciprocal_positive,positive,full_reciprocal,1.0006645293511816
5,5,full_reciprocal_positive,positive,full_reciprocal,1.2117962607273525
6,0,full_reciprocal_positive,positive,full_reciprocal,1.037833101014083
6,1,full_reciprocal_positive,positive,full_reciprocal,1.060631512845357
6,2,full_reciprocal_positive,positive,full_reciprocal,1.064648817423799
6,3,full_reciprocal_positive,positive,full_reciprocal,1.097220854643956
6,4,full_reciprocal_positive,positive,full_reciprocal,1.033727617200395
6,5,full_reciprocal_positive,positive,full_reciprocal,0.966567787877878
7,0,full_reciprocal_positive,positive,full_reciprocal,0.8990166919722044
7,1,full_reciprocal_positive,positive,full_reciprocal,1.0278078041487582
7,2,full_reciprocal_positive,positive,full_reciprocal,1.0118264973617266
7,3,full_reciprocal_positive,positive,full_reciprocal,0.979489767428358
7,4,full_reciprocal_positive,positive,full_reciprocal,1.1049918262035707
7,5,full_reciprocal_positive,positive,full_reciprocal,1.0577211546080614
8,0,full_reciprocal_positive,positive,full_reciprocal,0.8921561154658689
8,1,full_reciprocal_positive,positive,full_reciprocal,0.937806923729484
8,2,full_reciprocal_positive,positive,full_reciprocal,1.0348596632984104
8,3,full_reciprocal_positive,positive,full_reciprocal,0.9646259713138682
8,4,full_reciprocal_positive,positive,eta_only,1.1164170459094074
8,5,full_reciprocal_positive,positive,full_reciprocal,1.0554550760254182
9,0,full_reciprocal_positive,positive,full_reciprocal,1.05445018498733
9,1,full_reciprocal_positive,positive,full_reciprocal,1.0219667804483465
9,2,full_reciprocal_positive,positive,full_reciprocal,0.9632537794948589
9,3,full_reciprocal_positive,positive,full_reciprocal,0.9918073767376595
9,4,full_reciprocal_positive,positive,full_reciprocal,1.0998057191541073
9,5,full_reciprocal_positive,positive,full_reciprocal,1.019506827430483
10,0,full_reciprocal_positive,positive,full_reciprocal,1.10696690766123
10,1,full_reciprocal_positive,positive,full_reciprocal,1.1429916006540175
10,2,full_reciprocal_positive,positive,full_reciprocal,0.9077666363217688
10,3,full_reciprocal_positive,positive,full_reciprocal,1.0548274101753656
10,4,full_reciprocal_positive,positive,full_reciprocal,0.9721221132250433
10,5,full_reciprocal_positive,positive,full_reciprocal,0.9386105395766502
11,0,full_reciprocal_positive,positive,full_reciprocal,1.1473856002932723
11,1,full_reciprocal_positive,positive,full_reciprocal,1.1172135758266144
11,2,full_reciprocal_positive,positive,full_reciprocal,0.8414831086460998
11,3,full_reciprocal_positive,positive,zeta_only,0.8996830259089695
11,4,full_reciprocal_positive,positive,full_reciprocal,1.0586903285580964
11,5,full_reciprocal_positive,positive,full_reciprocal,1.0356545877872676
12,0,full_reciprocal_positive,positive,full_reciprocal,1.149824834942629
12,1,full_reciprocal_positive,positive,full_reciprocal,1.099869292896261
12,2,full_reciprocal_positive,positive,full_reciprocal,1.0899013073953319
12,3,full_reciprocal_positive,positive,full_reciprocal,1.1415738838035636
12,4,full_reciprocal_positive,positive,full_reciprocal,0.9609132190614299
12,5,full_reciprocal_positive,positive,full_reciprocal,1.0077065259195963
13,0,full_reciprocal_positive,positive,full_reciprocal,0.9782109191280475
13,1,full_reciprocal_positive,positive,full_reciprocal,1.0836566833024037
13,2,full_reciprocal_positive,positive,full_reciprocal,0.9785990919624243
13,3,full_reciprocal_positive,positive,full_reciprocal,0.9792480032855272
13,4,full_reciprocal_positive,positive,full_reciprocal,0.9929343868907328
13,5,full_reciprocal_positive,positive,zeta_only,1.0568806866958478
14,0,full_reciprocal_positive,positive,full_reciprocal,0.978996391211005
14,1,full_reciprocal_positive,positive,full_reciprocal,1.1050153856406244
14,2,full_reciprocal_positive,positive,full_reciprocal,1.01646816648554
14,3,full_reciprocal_positive,positive,full_reciprocal,0.8316340730998221
14,4,full_reciprocal_positive,positive,full_reciprocal,1.1264971251789475
14,5,full_reciprocal_positive,positive,full_reciprocal,1.0611551558886272
15,0,full_reciprocal_positive,positive,full_reciprocal,1.1683892673781147
15,1,full_reciprocal_positive,positive,full_reciprocal,0.9652079724663243
15,2,full_reciprocal_positive,positive,full_reciprocal,1.0553950683995919
15,3,full_reciprocal_positive,positive,full_reciprocal,1.0051616287151162
15,4,full_reciprocal_positive,positive,zeta_only,1.1340431663893176
15,5,full_reciprocal_positive,positive,full_reciprocal,1.0279657182184736
16,0,full_reciprocal_positive,positive,full_reciprocal,1.0587438363156347
16,1,full_reciprocal_positive,positive,full_reciprocal,1.0787926748878767
16,2,full_reciprocal_positive,positive,full_reciprocal,1.1007196809290867
16,3,full_reciprocal_positive,positive,full_reciprocal,1.1584225591273554
16,4,full_reciprocal_positive,positive,full_reciprocal,1.0722633803756063
16,5,full_reciprocal_positive,positive,replay_only_basis,1.0530885666941927
17,0,full_reciprocal_positive,positive,zeta_only,1.0000455495918295
17,1,full_reciprocal_positive,positive,full_reciprocal,1.0610011939471657
17,2,full_reciprocal_positive,positive,full_reciprocal,1.1737932734516545
17,3,full_reciprocal_positive,positive,full_reciprocal,1.019508712179282
17,4,full_reciprocal_positive,positive,full_reciprocal,0.9983767748195799
17,5,full_reciprocal_positive,positive,full_reciprocal,1.117927956022325
18,0,full_reciprocal_positive,positive,full_reciprocal,1.064662817327475
18,1,full_reciprocal_positive,positive,full_reciprocal,1.015454530746692
18,2,full_reciprocal_positive,positive,full_reciprocal,1.046699031173195
18,3,full_reciprocal_positive,positive,eta_only,1.016187539718036
18,4,full_reciprocal_positive,positive,full_reciprocal,1.086600460338633
18,5,full_reciprocal_positive,positive,full_reciprocal,1.049885463303407
