phase,phase_time,time,feature_state_lz_proxy,complexity_z
BASELINE_1,1.0,343590.1347761,,
BASELINE_1,2.0,343591.1347761,,
BASELINE_1,3.0,343592.1347761,,
BASELINE_1,4.0,343593.1347761,,
BASELINE_1,5.0,343594.1347761,,
BASELINE_1,6.0,343595.1347761,,
BASELINE_1,7.0,343596.1347761,,
BASELINE_1,8.0,343597.1347761,,
BASELINE_1,9.0,343598.1347761,,
BASELINE_1,10.0,343599.1347761,2.421602132908372,-5.622668822489455
BASELINE_1,11.0,343600.1347761,2.6072454549474884,-4.8644242227144145
BASELINE_1,12.0,343601.1347761,2.775329788499991,-4.177897840709049
BASELINE_1,13.0,343602.1347761,2.635861099806367,-4.74754601807448
BASELINE_1,14.0,343603.1347761,2.7906361396558914,-4.115380331440513
BASELINE_1,15.0,343604.1347761,2.666666666622222,-4.621723260624527
BASELINE_1,16.0,343605.1347761,2.5546642757538316,-5.079187645042061
BASELINE_1,17.0,343606.1347761,2.698186765624364,-4.492982056307396
BASELINE_1,18.0,343607.1347761,2.5959557026584448,-4.910536270333135
BASELINE_1,19.0,343608.1347761,2.7296387967816345,-4.364518869401423
BASELINE_1,20.0,343609.1347761,2.8550063248291897,-3.8524657016113375
BASELINE_1,21.0,343610.1347761,2.972954412460213,-3.3707166167658693
BASELINE_1,22.0,343611.1347761,3.084246788268337,-2.9161522293926283
BASELINE_1,23.0,343612.1347761,2.990192935309019,-3.3003073140522954
BASELINE_1,24.0,343613.1347761,3.0959041265841107,-2.8685388074359603
BASELINE_1,25.0,343614.1347761,3.1962990084149827,-2.4584843214616567
BASELINE_1,26.0,343615.1347761,3.2918451938957727,-2.068233929612667
BASELINE_1,27.0,343616.1347761,3.204903281467769,-2.4233408888533434
BASELINE_1,28.0,343617.1347761,3.2964871039432007,-2.049274436820558
BASELINE_1,29.0,343618.1347761,3.384062479847074,-1.691580149070258
BASELINE_1,30.0,343619.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,31.0,343620.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,32.0,343621.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,33.0,343622.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,34.0,343623.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,35.0,343624.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,36.0,343625.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,37.0,343626.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,38.0,343627.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,39.0,343628.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,40.0,343629.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,41.0,343630.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,42.0,343631.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,43.0,343632.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,44.0,343633.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,45.0,343634.1347761,3.7982171714360344,0.0
BASELINE_1,46.0,343635.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,47.0,343636.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,48.0,343637.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,49.0,343638.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,50.0,343639.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,51.0,343640.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,52.0,343641.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,53.0,343642.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,54.0,343643.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,55.0,343644.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,56.0,343645.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,57.0,343646.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,58.0,343647.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,59.0,343648.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,60.0,343649.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,61.0,343650.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,62.0,343651.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,63.0,343652.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,64.0,343653.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,65.0,343654.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,66.0,343655.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,67.0,343656.1347761,3.3027975403791605,-2.0234999877467477
BASELINE_1,68.0,343657.1347761,3.4679374173981183,-1.3489999918311657
BASELINE_1,69.0,343658.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,70.0,343659.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,71.0,343660.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,72.0,343661.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,73.0,343662.1347761,3.7982171714360344,0.0
BASELINE_1,74.0,343663.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,75.0,343664.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,76.0,343665.1347761,3.7982171714360344,0.0
BASELINE_1,77.0,343666.1347761,3.7982171714360344,0.0
BASELINE_1,78.0,343667.1347761,3.633077294417076,-0.6744999959155837
BASELINE_1,79.0,343668.1347761,3.7982171714360344,0.0
BASELINE_1,80.0,343669.1347761,3.7982171714360344,0.0
BASELINE_1,81.0,343670.1347761,3.7982171714360344,0.0
BASELINE_1,82.0,343671.1347761,3.633077294417076,-0.6744999959155837
