phase,phase_time,time,blink_sentinel_z,ptp_median_z,blink_proxy_event
BASELINE_1,1.0,343590.1347761,2.809803081823283,0.3992554536592,1
BASELINE_1,2.0,343591.1347761,2.3994213191065,0.4624470371229748,1
BASELINE_1,3.0,343592.1347761,2.372857817504627,0.5242686951310837,1
BASELINE_1,4.0,343593.1347761,1.0895200771904865,-0.1426858496194202,0
BASELINE_1,5.0,343594.1347761,1.533923219216524,-0.2971856804145779,1
BASELINE_1,6.0,343595.1347761,2.961866967425966,1.1845124156229956,1
BASELINE_1,7.0,343596.1347761,1.4214628391779316,0.8525257669814417,0
BASELINE_1,8.0,343597.1347761,2.149692635223685,1.390055548197984,1
BASELINE_1,9.0,343598.1347761,1.4158634567507626,0.4069258292281484,0
BASELINE_1,10.0,343599.1347761,1.479487240282861,0.3805472205642042,0
BASELINE_1,11.0,343600.1347761,1.8012760698453265,0.1816364583670869,1
BASELINE_1,12.0,343601.1347761,2.0825038837035144,1.269055524470672,1
BASELINE_1,13.0,343602.1347761,1.7833181694063938,2.245070079950508,1
BASELINE_1,14.0,343603.1347761,1.0330956811241272,1.7513960180569763,0
BASELINE_1,15.0,343604.1347761,1.06871962319615,0.7314533242873104,0
BASELINE_1,16.0,343605.1347761,2.130447893530461,0.6427823343309317,1
BASELINE_1,17.0,343606.1347761,2.0094978659627034,-0.1647857043271217,1
BASELINE_1,18.0,343607.1347761,1.47098971739899,-0.7516931510866499,0
BASELINE_1,19.0,343608.1347761,0.5578800476986217,-0.7588746986295677,0
BASELINE_1,20.0,343609.1347761,1.0500491262479337,-0.7483075643878458,0
BASELINE_1,21.0,343610.1347761,1.3258389454927004,-0.1743872523445858,0
BASELINE_1,22.0,343611.1347761,1.0842812555864676,0.3656892625384365,0
BASELINE_1,23.0,343612.1347761,2.383109045375882,0.7143322735484384,1
BASELINE_1,24.0,343613.1347761,1.6659153720405249,0.0692663615190796,1
BASELINE_1,25.0,343614.1347761,0.0361306507540018,-0.521781036176954,0
BASELINE_1,26.0,343615.1347761,0.6202090814267435,0.0014459990927688,0
BASELINE_1,27.0,343616.1347761,0.7205565014226167,0.0486179036047156,0
BASELINE_1,28.0,343617.1347761,1.9831022736677848,0.4063042330962824,1
BASELINE_1,29.0,343618.1347761,0.5272969613944021,0.6945015464677428,0
BASELINE_1,30.0,343619.1347761,1.147082879110919,0.4821359437269825,0
BASELINE_1,31.0,343620.1347761,0.7442153972005535,-0.2259736963755614,0
BASELINE_1,32.0,343621.1347761,1.6410115174061743,-0.7545235257065057,1
BASELINE_1,33.0,343622.1347761,1.8023745475924715,0.0116691432420988,1
BASELINE_1,34.0,343623.1347761,1.8087465122603328,1.54454934407924,1
BASELINE_1,35.0,343624.1347761,1.9678414443294283,0.6069349457553589,1
BASELINE_1,36.0,343625.1347761,0.8966115583883097,0.1820468325123965,0
BASELINE_1,37.0,343626.1347761,0.3860946843042557,-0.1664453056500649,0
BASELINE_1,38.0,343627.1347761,0.4122809546194877,-0.3078916176760369,0
BASELINE_1,39.0,343628.1347761,0.9583334085659015,0.3239759376504973,0
BASELINE_1,40.0,343629.1347761,0.9732259854280708,0.5671467584020339,0
BASELINE_1,41.0,343630.1347761,1.2476119832892882,0.447667532977928,0
BASELINE_1,42.0,343631.1347761,0.4441337193006475,0.8543905553770397,0
BASELINE_1,43.0,343632.1347761,0.5083623018230644,0.8857419330959118,0
BASELINE_1,44.0,343633.1347761,0.4222880174996198,0.7215138210913561,0
BASELINE_1,45.0,343634.1347761,0.2871147421679522,-0.0500016419184697,0
