time_lsl,condition,condition_offset_sec,lz_complexity_proxy,window_sec,neural_channels_used,lz_complexity_z
1251.2144613,BASELINE_1,1.0,0.8009868421052632,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-4.834111007778523
1252.2144613,BASELINE_1,2.0,0.8067434210526315,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-4.596085005489724
1253.2144613,BASELINE_1,3.0,0.8264802631578947,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-3.7799958547852612
1254.2144613,BASELINE_1,4.0,0.8355263157894737,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-3.405954994045715
1255.2144613,BASELINE_1,5.0,0.8322368421052632,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-3.541969852496458
1256.2144613,BASELINE_1,6.0,0.8388157894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-3.269940135594972
1257.2144613,BASELINE_1,7.0,0.8355263157894737,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-3.405954994045715
1258.2144613,BASELINE_1,8.0,0.8273026315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-3.7459921401725746
1259.2144613,BASELINE_1,9.0,0.7832512315270936,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-5.567452202726003
1260.2144613,BASELINE_1,10.0,0.7763157894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-5.854222446159101
1261.2144613,BASELINE_1,11.0,0.7705592105263158,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-6.0922484484479
1262.2144613,BASELINE_1,12.0,0.6932565789473685,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-9.288597622040374
1263.2144613,BASELINE_1,13.0,0.6233552631578947,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-12.178913364118682
1264.2144613,BASELINE_1,14.0,0.6554276315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-10.852768494223929
1265.2144613,BASELINE_1,15.0,0.7023026315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-8.914556761300833
1266.2144613,BASELINE_1,16.0,0.7368421052631579,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-7.486400747568025
1267.2144613,BASELINE_1,17.0,0.7606907894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-6.5002930238001335
1268.2144613,BASELINE_1,18.0,0.8536184210526315,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-2.6578732725666265
1269.2144613,BASELINE_1,19.0,0.9350328947368421,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.7084944740892821
1270.2144613,BASELINE_1,20.0,0.9523026315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.4225724809556834
1271.2144613,BASELINE_1,21.0,0.9523026315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.4225724809556834
1272.2144613,BASELINE_1,22.0,0.959703947368421,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.7286059124698563
1273.2144613,BASELINE_1,23.0,0.944078947368421,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.082535334828824
1274.2144613,BASELINE_1,24.0,0.9473684210526315,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.2185501932795668
1275.2144613,BASELINE_1,25.0,0.9481907894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.2525539078922536
1276.2144613,BASELINE_1,26.0,0.9506578947368421,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.3545650517303143
1277.2144613,BASELINE_1,27.0,0.9481907894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.2525539078922536
1278.2144613,BASELINE_1,28.0,0.9302134646962233,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.5092181892737216
1279.2144613,BASELINE_1,29.0,0.9144736842105263,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.14159839122786683
1280.2144613,BASELINE_1,30.0,0.9120065789473685,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.24360953506592287
1281.2144613,BASELINE_1,31.0,0.9070723684210527,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.4476318227420395
1282.2144613,BASELINE_1,32.0,0.8980263157894737,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.821672683481586
1283.2144613,BASELINE_1,33.0,0.8955592105263158,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.923683827319642
1284.2144613,BASELINE_1,34.0,0.9169407894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.039587247389810794
1285.2144613,BASELINE_1,35.0,0.9226973684210527,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.19843875489899274
1286.2144613,BASELINE_1,36.0,0.9144736842105263,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.14159839122786683
1287.2144613,BASELINE_1,37.0,0.9210526315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.13043132567361898
1288.2144613,BASELINE_1,38.0,0.9177631578947368,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",-0.0055835327771239195
1289.2144613,BASELINE_1,39.0,0.9235197368421053,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.2324424695116796
1290.2144613,BASELINE_1,40.0,0.9350328947368421,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.7084944740892821
1291.2144613,BASELINE_1,41.0,0.9261083743842364,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.3394787928491463
1292.2144613,BASELINE_1,42.0,0.9366776315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.7765019033146513
1293.2144613,BASELINE_1,43.0,0.9325657894736842,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",0.6064833302512215
1294.2144613,BASELINE_1,44.0,0.9432565789473685,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.0485316202161417
1295.2144613,BASELINE_1,45.0,0.946546052631579,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.1845464786668847
1296.2144613,BASELINE_1,46.0,0.9449013157894737,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.1165390494415108
1297.2144613,BASELINE_1,47.0,0.9490131578947368,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.2865576225049407
1298.2144613,BASELINE_1,48.0,0.9498355263157895,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.3205613371176275
1299.2144613,BASELINE_1,49.0,0.9523026315789473,6.0,"Fz,Cz,Pz,F3,F4,C3,C4,P3,P4,T5,T6,O1,O2",1.4225724809556834
