condition,anchor_source,anchor_metric,anchor_time_lsl,condition_offset_sec,peak_score,K_HT_topo_local,eta_E_from_topo_proxy,zeta_topo_from_E_proxy,K_sign,theta_delta_0_10,theta_delta_10_30,K_percentile_by_condition,theta_10_30_percentile_by_condition,MR_score,ENC_score,mred_quadrant,event_lock_candidate,artifact_score_nearest,artifact_z_nearest,NIP_density_nearest,A_sem_nearest,R_int_nearest,BIT_attention_gate,BIT_resonance_gate,BIT_k_gate,BIT_artifact_gate,BIT_mred_gate,BIT_eventlock_gate,BIT_pass_event_only,BIT_pass_praycg_strict
CONTROL_1,physiology_exploratory,meaninggamma_score,1394.2144613,8.716514800000141,0.6886671812648095,0.5766102257539725,-0.7025361725947536,0.4732558484726342,-1.0,-0.3853186270504378,2.672227347778545,56.060606060606055,80.3030303030303,-0.1403365735830645,1.4239824357533797,MR_LOW_ENC_HIGH,False,1.5552100050104192,2.5109275165283518,0.04437395998733792,0.052968761703120926,1.265503221005587,False,True,False,False,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1403.2144613,17.71651480000014,0.6394971070630604,0.163363361076691,-0.0996600014890597,0.2677863470150858,-1.0,0.2441682631647953,3.281814485090284,10.606060606060606,86.36363636363636,-0.3770817667685812,2.012257535961465,MR_LOW_ENC_HIGH,False,1.4766377899510676,2.3499940291399235,0.30933179216085865,0.29649366660143395,1.4842175166455993,False,True,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1414.2144613,28.71651480000014,-0.0277668143644265,0.3111433739961974,0.2775716982093492,0.3487754688474102,1.0,5.557914722896958,0.774271462305221,30.303030303030305,66.66666666666666,-0.59649767548917,2.629208535794843,MR_LOW_ENC_HIGH,False,1.41649907541564,2.2268164777633617,0.0,0.0,0.0,False,False,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1430.2144613,44.71651480000014,-0.1536240112768366,0.5156057456123208,0.4479151648802521,-0.5935259749008737,-1.0,-4.108837382629801,-3.666114977359676,46.96969696969697,13.636363636363637,-0.5460464957768855,-3.608495016197949,MR_LOW_ENC_LOW,False,1.072698169199333,1.5226352508131236,0.0,0.0,0.0,False,False,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1456.2144613,70.71651480000014,-0.1129205781887048,0.3886604013969301,-0.592982694990937,0.2547408362672902,-1.0,0.9434871865385772,1.04646443643046,34.84848484848485,71.21212121212122,-0.5939930867768467,1.0107607653418929,MR_LOW_ENC_HIGH,False,0.9828990001545932,1.338706448143675,0.0,0.0,0.7005741498269376,False,True,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1470.2144613,84.71651480000014,-0.1294814505645991,0.5840031134045006,-0.6657918932011225,0.5122616240133802,-1.0,0.5314962480563525,2.3063265067510943,60.60606060606061,75.75757575757575,-0.4997562524996938,1.568354218389938,MR_LOW_ENC_HIGH,False,0.6884416487518252,0.7355918686118204,0.0,0.0,2.8926279114827516,False,True,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1492.2144613,106.71651480000014,0.699969318207585,0.2914781503259782,0.4174285408845724,-0.2035306736271935,-1.0,2.189975749515177,-0.594504932845662,21.21212121212121,27.27272727272727,-0.2836042121435711,0.5572673425023645,MR_LOW_ENC_LOW,False,3.5296603403818416,6.555043848320063,0.0,0.0,6.180730387930547,False,False,False,False,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1552.2144613,166.71651480000014,-0.1366223564114355,0.3060150488228956,-0.1525387127363292,0.6139111077195836,-1.0,0.1539601802174639,0.2691053400293842,25.75757575757576,56.060606060606055,-0.6474974305801318,0.2656547665267665,MR_LOW_ENC_LOW,False,0.7220911395046316,0.8045135592069393,0.0028731002490968954,0.0480429534313038,0.0674730670689069,False,True,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1561.2144613,175.71651480000014,-0.1791016241785274,1.0727373098626254,-0.9724659097573988,1.1833477394167822,-1.0,0.5862764730994828,0.4533096331802552,83.33333333333334,62.121212121212125,-0.2676167408683941,0.5364467445604992,MR_LOW_ENC_LOW,False,0.7070241990327389,0.7736530918956397,0.0,0.0,0.1255541615415017,False,True,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1572.2144613,186.7165148000001,-0.1635567563128666,0.9489275589524914,-0.8659199234207773,1.0398923593099625,-1.0,-0.5551811044546616,-0.4426910509949949,77.27272727272727,34.84848484848485,-0.3251032350376786,-0.4113072798469223,MR_LOW_ENC_LOW,False,0.8205473680673611,1.0061739579336821,0.0,0.0,0.4595099394637725,False,False,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1605.2144613,219.7165148000001,0.1404326926421511,0.7970222218006683,0.7876509792499672,-0.8065049606730368,-1.0,0.1748987082138174,-0.1286947288918222,68.18181818181817,46.96969696969697,-0.2691294662613622,0.0476548630478191,MR_LOW_ENC_LOW,False,0.1525911084989947,-0.3619500054045916,0.014331053269693842,0.30971858804113805,0.04627120819687559,False,False,False,True,False,False,False,False
CONTROL_1,physiology_exploratory,meaninggamma_score,1615.2144613,229.7165148000001,0.3978746412753948,1.1406827743764398,-1.0871638839711266,1.1968362920651332,-1.0,-0.4098128399301212,4.7633948941647,89.39393939393939,98.48484848484848,0.0239009977876059,2.602854051212801,MR_LOW_ENC_HIGH,False,0.0051473507621457,-0.6639478313322632,1.8325469782802009,0.5562894296315684,3.294232966989685,True,True,False,True,False,False,False,False
