condition,anchor_id,anchor_time_sec,C_pre,C_peak,C_post,C_strike,C_settle,blink_rate_pre,blink_rate_hold,blink_rate_release,blink_suppression,blink_release,ACG_candidate,OCU_candidate
CONTROL_1,FOD_BLIND_A1,26.53,0.059794705707972524,0.059794705707972524,0.05979470570797254,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,False,False
TARGET_1,FOD_BLIND_A1,26.53,0.06976048999263461,0.21301863908465213,0.05979470570797254,0.1432581490920175,-0.15322393337667958,0.12,0.0,0.0,0.12,0.0,True,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A1,26.53,0.22389795359540826,0.22796731551164523,0.08869548013349257,0.004069361916236969,-0.13927183537815266,0.2,0.0,0.0,0.2,0.0,True,False
CONTROL_1,FOD_BLIND_A2,78.0,0.0651097906597923,0.09965784284662087,0.09218350463312432,0.03454805218682856,-0.007474338213496551,0.0,0.0,0.0,0.0,0.0,True,False
TARGET_1,FOD_BLIND_A2,78.0,0.059794705707972524,0.059794705707972524,0.05979470570797254,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,False,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A2,78.0,0.0876989017050264,0.11336079623803125,0.10464073498895192,0.025661894533004853,-0.008720061249079328,0.0,0.0,0.0,0.0,0.0,True,False
CONTROL_1,FOD_BLIND_A3,94.0,0.11826064017799012,0.0797262742772967,0.06427930863607048,-0.038534365900693424,-0.015446965641226218,0.0,0.0,0.0,0.0,0.0,False,False
TARGET_1,FOD_BLIND_A3,94.0,0.059794705707972524,0.059794705707972524,0.05979470570797254,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,False,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A3,94.0,0.10231538532253076,0.10962362713128296,0.13154835255753955,0.007308241808752197,0.02192472542625659,0.0,0.0,0.0,0.0,0.0,False,False
CONTROL_1,FOD_BLIND_A4,100.0,0.11360994084514783,0.07100621302821737,0.05979470570797254,-0.04260372781693046,-0.011211507320244833,0.0,0.0,0.0,0.0,0.0,False,False
TARGET_1,FOD_BLIND_A4,100.0,0.059794705707972524,0.059794705707972524,0.05979470570797254,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,False,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A4,100.0,0.09766468598968843,0.1270637496294416,0.1355346662714044,0.029399063639753184,0.008470916641962783,0.0,0.0,0.0,0.0,0.0,False,False
CONTROL_1,FOD_BLIND_A5,105.0,0.09168521541889126,0.07100621302821737,0.05979470570797254,-0.020679002390673884,-0.011211507320244833,0.0,0.0,0.0,0.0,0.0,False,False
TARGET_1,FOD_BLIND_A5,105.0,0.059794705707972524,0.059794705707972524,0.06976048999263461,0.0,0.009965784284662084,0.0,0.0,0.0,0.0,0.0,False,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A5,105.0,0.10497292779844065,0.13204664177177267,0.14251071527066786,0.02707371397333201,0.010464073498895193,0.0,0.0,0.0,0.0,0.0,False,False
CONTROL_1,FOD_BLIND_A6,150.0,0.059794705707972524,0.059794705707972524,0.05979470570797254,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,False,False
TARGET_1,FOD_BLIND_A6,150.0,0.1840348164567599,0.23170448461839355,0.14500216134183339,0.04766966816163365,-0.08670232327656016,0.0,0.0,0.0,0.0,0.0,True,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A6,150.0,0.1162674833210577,0.059794705707972524,0.06128957335067185,-0.056472777613085175,0.0014948676426993282,0.0,0.0,0.0,0.0,0.0,False,False
CONTROL_1,FOD_BLIND_A7,165.0,0.059794705707972524,0.059794705707972524,0.06178786256490495,0.0,0.0019931568569324237,0.0,0.0,0.0,0.0,0.0,False,False
TARGET_1,FOD_BLIND_A7,165.0,0.16941833283925545,0.12457230355827609,0.20130884255017417,-0.04484602928097936,0.07673653899189808,0.0,0.0,0.0,0.0,0.0,False,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A7,165.0,0.059794705707972524,0.0635318748147208,0.09517323991852294,0.0037371691067482823,0.03164136510380214,0.0,0.0,0.0,0.0,0.0,False,False
