cue_index,value,cue_start_sec,prior_sum,new_sum,prior_units_digit,carry_required,high_carry_load,hard9_pattern,arithmetic_compute_load,DR_gamma,WMU_theta,MAINT_theta,target_DR_gamma,target_WMU_theta,override_minus_target_WMU,compute_stall_score,latent_guess_risk
1,8,4.251251,0,8,0,0,0,0,0.0,0.9399138237327652,-0.9232412909422096,0.15817208128148585,1.2847875608613861,1.045143531983196,-1.9683848229254057,-0.3825346048303619,0.14111890173713498
2,9,7.251251,8,17,8,1,8,1,2.4741792409672536,1.021190096186632,0.1034850288397774,0.3418255010454241,0.98070088010571,-0.10636267109463571,0.2098476999344131,0.8412000751844142,0.8949165003473497
3,1,10.251251,17,18,7,0,0,0,0.492219649114766,-2.8343328770314393,-3.2516964809549385,-2.3243661081845284,-1.600090388603746,-1.289175097652704,-1.9625213833022344,-2.6649763822910417,0.045593804252786745
4,7,13.251251,18,25,8,1,6,0,1.8014270974679274,-0.2703821569011604,-1.331538055363996,-1.9621711900572745,0.040600819566865454,-0.0287547767518731,-1.302783278612123,-1.1964978483436535,0.42666139535486636
5,7,16.251251,25,32,5,1,3,0,1.4048418228021518,-0.8065130262820612,-2.7592117932281495,0.10045986419767705,-0.40103818985412754,-0.34481353250827174,-2.414398260719878,-0.9781655088146983,0.35509395577839337
6,3,19.251251,32,35,2,0,0,0,0.5954423407059823,-1.5046056400357015,-6.034066438792652,-6.031609811695354,-0.33239941394778894,0.349578646636036,-6.383645085428688,-5.883977540067508,0.004100035336161628
7,8,22.251251,35,43,5,1,4,0,1.6102600572622783,0.9623097760156665,0.20182009419115576,-0.7926988964533139,0.5149584843045444,-0.33648008805972807,0.5383001822508838,0.10712561318449049,0.6266829188844266
8,4,25.251251,43,47,3,0,0,0,0.6444335365173798,-1.014721283423369,-2.504030965377237,-2.6198097337408175,0.35930158191182016,0.5904111766324402,-3.0944421420096773,-2.4008119654296824,0.06615380580344417
9,9,28.251251,47,56,7,1,7,1,2.6092512530736762,-0.182716579362467,0.44862545153821354,-2.1310396610172724,-0.7580019796008837,1.1823122927480116,-0.7336868412097981,-0.18889429147111036,0.8145704767308669
10,5,31.251251,56,61,6,1,2,0,1.3885167179515545,0.7405969399777799,0.1616807515917711,-1.6716637084347306,1.1869635731536214,1.3216643461658002,-1.159983594574029,-0.4078622989335911,0.4600677822610066
11,1,34.251251,61,62,1,0,0,0,0.7028357626684781,-1.1707170513367748,-1.6306789991595312,-2.372462755159304,-2.7604731776971625,-0.8293159301133665,-0.8013630690461647,-1.825861936492298,0.10742797055742466
12,4,37.251251,62,66,2,0,0,0,0.7055605617818607,-0.45743266599203514,-0.1775817851189101,-2.300845729994692,0.724915905670574,1.3920739625146403,-1.5696557476335504,-1.062823617111336,0.18189126092421173
13,10,40.251251,66,76,6,1,7,0,2.1660436439008475,0.6035369561322713,-1.3047252046691762,-2.734269427536044,0.22887867530175765,-0.0637763979837549,-1.2409488066854213,-1.4779864051273983,0.47922777508266035
14,10,43.251251,76,86,6,1,7,0,2.189734041036963,-1.4149779269993707,-1.1366655578821634,-0.7636732380820623,-0.8320234658958414,3.4977129988736118,-4.634378556755776,-0.40273588772287217,0.691148075489725
15,6,46.251251,86,92,6,1,3,0,1.610527679921343,2.19590586964968,0.4736748494545505,0.3716351352298752,2.0329302053069163,2.355011570690632,-1.8813367212360812,0.8252869123225486,0.7489204118948971
