condition,anchor_id,anchor_time_sec,blink_rate_hold,blink_rate_release,blink_suppression,blink_release,ORI,OCU_candidate
CONTROL_1,FOD_BLIND_A1,26.53,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A1,26.53,0.0,0.0,0.12,0.0,0.12,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A1,26.53,0.0,0.0,0.2,0.0,0.2,False
CONTROL_1,FOD_BLIND_A2,78.0,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A2,78.0,0.0,0.0,0.0,0.0,0.0,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A2,78.0,0.0,0.0,0.0,0.0,0.0,False
CONTROL_1,FOD_BLIND_A3,94.0,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A3,94.0,0.0,0.0,0.0,0.0,0.0,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A3,94.0,0.0,0.0,0.0,0.0,0.0,False
CONTROL_1,FOD_BLIND_A4,100.0,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A4,100.0,0.0,0.0,0.0,0.0,0.0,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A4,100.0,0.0,0.0,0.0,0.0,0.0,False
CONTROL_1,FOD_BLIND_A5,105.0,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A5,105.0,0.0,0.0,0.0,0.0,0.0,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A5,105.0,0.0,0.0,0.0,0.0,0.0,False
CONTROL_1,FOD_BLIND_A6,150.0,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A6,150.0,0.0,0.0,0.0,0.0,0.0,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A6,150.0,0.0,0.0,0.0,0.0,0.0,False
CONTROL_1,FOD_BLIND_A7,165.0,0.0,0.0,0.0,0.0,0.0,False
TARGET_1,FOD_BLIND_A7,165.0,0.0,0.0,0.0,0.0,0.0,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A7,165.0,0.0,0.0,0.0,0.0,0.0,False
