condition,regressor,window_center_sec,dominant_freq_hz,dominant_power
control,luminance_mean,16.0,0.09375,4350.365492191605
control,luminance_mean,20.0,0.09375,6655.01544973127
control,luminance_mean,24.0,0.09375,5608.478314271682
control,luminance_mean,28.0,0.0625,4763.634264495776
control,luminance_mean,32.0,0.0625,5170.213440289798
control,luminance_mean,36.0,0.0625,3861.3396690180657
control,luminance_mean,40.0,0.03125,1800.0629524010094
control,luminance_mean,44.0,0.03125,1795.8660255277898
control,luminance_mean,48.0,0.03125,1383.6614428782984
control,luminance_mean,52.0,0.03125,1619.1376299759672
control,luminance_mean,56.0,0.03125,1443.1033687946929
control,luminance_mean,60.0,0.03125,809.8328186645031
control,luminance_mean,64.0,0.03125,293.7868645577141
control,luminance_mean,68.0,0.03125,168.4240990608386
control,luminance_mean,72.0,0.03125,162.56155394861742
control,luminance_mean,76.0,0.0625,180.83573186654715
control,luminance_mean,80.0,0.0625,72.57460291810467
control,luminance_mean,84.0,0.09375,170.1729584547535
control,luminance_mean,88.0,0.125,311.96713637319647
control,luminance_mean,92.0,0.09375,360.735739271992
control,luminance_mean,96.0,0.03125,1112.411589264114
control,luminance_mean,100.0,0.03125,1426.4130219015838
control,luminance_mean,104.0,0.03125,1198.590518912301
control,luminance_mean,108.0,0.03125,1758.1144302370035
control,luminance_mean,112.0,0.03125,1157.1659361391069
control,luminance_mean,116.0,0.03125,1163.9512265654744
control,luminance_mean,120.0,0.0625,1349.183969301337
control,luminance_mean,124.0,0.15625,678.1409305911184
control,luminance_mean,128.0,0.15625,261.3282138306552
control,luminance_mean,132.0,0.09375,416.9791171370439
control,luminance_mean,136.0,0.03125,373.89365341837146
control,luminance_mean,140.0,0.03125,355.18664994556264
control,luminance_mean,144.0,0.03125,300.2204845557326
control,luminance_mean,148.0,0.0625,616.1359525429358
control,luminance_mean,152.0,0.0625,1418.3856558479486
control,luminance_mean,156.0,0.03125,2130.388977376929
control,luminance_mean,160.0,0.03125,3690.833838975738
control,luminance_mean,164.0,0.03125,3355.7440057994977
control,luminance_mean,168.0,0.03125,2259.95859743482
control,luminance_mean,172.0,0.03125,2223.6184339757037
control,luminance_mean,176.0,0.03125,2448.9916627482366
control,luminance_mean,180.0,0.03125,1647.9694753940146
control,luminance_mean,184.0,0.09375,1047.3321461486853
control,luminance_mean,188.0,0.09375,1002.3216955409736
control,luminance_mean,192.0,0.09375,865.9437185336767
control,luminance_mean,196.0,0.09375,454.6620580398704
control,luminance_mean,200.0,0.03125,627.5978018178935
control,luminance_mean,204.0,0.03125,725.0843106081884
control,luminance_mean,208.0,0.09375,582.5919916110129
control,luminance_mean,212.0,0.09375,494.99550342612616
control,luminance_mean,216.0,0.125,658.15875304453
control,luminance_mean,220.0,0.125,678.7313120441975
control,luminance_mean,224.0,0.09375,777.9799455049789
control,luminance_mean,228.0,0.09375,906.1773326157784
control,luminance_mean,232.0,0.09375,534.1098602839819
control,luminance_mean,236.0,0.0625,408.0005811651173
control,luminance_mean,240.0,0.0625,509.9336530376979
control,luminance_mean,244.0,0.03125,587.0488501312627
control,luminance_mean,248.0,0.03125,1001.3986800561888
control,luminance_mean,252.0,0.03125,1592.1242600698845
control,luminance_mean,256.0,0.03125,1489.8195319320598
control,luminance_mean,260.0,0.03125,2044.8966108452823
control,luminance_mean,264.0,0.03125,5116.901112980646
control,luminance_mean,268.0,0.03125,7911.371408982869
control,luminance_mean,272.0,0.03125,7691.150807092865
control,luminance_mean,276.0,0.03125,6722.836117488074
control,luminance_mean,280.0,0.03125,5488.859159776976
control,luminance_mean,284.0,0.03125,6227.815076474547
control,visual_change_mean_abs,16.0,0.09375,443.32662333105264
control,visual_change_mean_abs,20.0,0.09375,820.1124659406692
control,visual_change_mean_abs,24.0,0.0625,837.4725713592854
control,visual_change_mean_abs,28.0,0.0625,701.9711707198643
control,visual_change_mean_abs,32.0,0.03125,902.2799274036562
control,visual_change_mean_abs,36.0,0.03125,1060.9635057674438
control,visual_change_mean_abs,40.0,0.03125,481.5357452968909
control,visual_change_mean_abs,44.0,0.6875,109.62151920347506
control,visual_change_mean_abs,48.0,0.03125,165.96605931413657
control,visual_change_mean_abs,52.0,0.03125,203.15375610142047
control,visual_change_mean_abs,56.0,0.03125,169.70271684251716
control,visual_change_mean_abs,60.0,0.03125,130.22605000919475
control,visual_change_mean_abs,64.0,0.03125,155.49253776905314
control,visual_change_mean_abs,68.0,0.03125,169.57366366160682
control,visual_change_mean_abs,72.0,0.03125,175.66671841467397
control,visual_change_mean_abs,76.0,0.46875,136.4880150262932
control,visual_change_mean_abs,80.0,0.03125,120.15479533858743
control,visual_change_mean_abs,84.0,0.0625,165.72207792694925
control,visual_change_mean_abs,88.0,0.09375,203.5721050610641
control,visual_change_mean_abs,92.0,0.0625,241.6885405501909
control,visual_change_mean_abs,96.0,0.0625,440.3221323620634
control,visual_change_mean_abs,100.0,0.03125,542.8678348951306
control,visual_change_mean_abs,104.0,0.03125,441.9693444333209
control,visual_change_mean_abs,108.0,0.03125,461.1418270631671
control,visual_change_mean_abs,112.0,0.0625,426.0712099432334
control,visual_change_mean_abs,116.0,0.0625,301.97120262324074
control,visual_change_mean_abs,120.0,0.0625,228.57932281335115
control,visual_change_mean_abs,124.0,0.0625,134.31321180464226
control,visual_change_mean_abs,128.0,0.03125,139.13163187832038
control,visual_change_mean_abs,132.0,0.03125,64.26044759726216
control,visual_change_mean_abs,136.0,0.03125,54.76069789766968
control,visual_change_mean_abs,140.0,0.03125,66.60233665733257
control,visual_change_mean_abs,144.0,0.03125,89.41971091137017
control,visual_change_mean_abs,148.0,0.03125,111.00216190453622
control,visual_change_mean_abs,152.0,0.0625,177.03976188412028
control,visual_change_mean_abs,156.0,0.03125,320.7561371564665
control,visual_change_mean_abs,160.0,0.03125,443.7581694480604
control,visual_change_mean_abs,164.0,0.03125,528.5088827971795
