condition,regressor,window_center_sec,dominant_freq_hz,dominant_power
override,luminance_mean,16.0,0.03125,5221.799076203811
override,luminance_mean,20.0,0.03125,10545.951475966896
override,luminance_mean,24.0,0.03125,9859.627432323532
override,luminance_mean,28.0,0.03125,8788.345747408064
override,luminance_mean,32.0,0.0625,11838.835115809812
override,luminance_mean,36.0,0.0625,8760.767737850225
override,luminance_mean,40.0,0.125,11344.83409130393
override,luminance_mean,44.0,0.03125,13670.609177202155
override,luminance_mean,48.0,0.03125,20140.858910005943
override,luminance_mean,52.0,0.03125,25773.013941493995
override,luminance_mean,56.0,0.03125,22195.443523213802
override,luminance_mean,60.0,0.03125,15763.54931342223
override,luminance_mean,64.0,0.125,3802.6638216523106
override,luminance_mean,68.0,0.03125,793.6615978983482
override,luminance_mean,72.0,0.03125,1566.4447622155585
override,luminance_mean,76.0,0.03125,3866.650148611593
override,luminance_mean,80.0,0.03125,4274.442618828476
override,luminance_mean,84.0,0.03125,3476.30380421508
override,luminance_mean,88.0,0.0625,2582.597497055765
override,luminance_mean,92.0,0.0625,1697.0379271518293
override,luminance_mean,96.0,0.0625,3710.8710183526496
override,luminance_mean,100.0,0.0625,10095.421450776365
override,luminance_mean,104.0,0.03125,16568.68624911468
override,luminance_mean,108.0,0.03125,22272.792120773804
override,luminance_mean,112.0,0.03125,22622.491771505895
override,luminance_mean,116.0,0.03125,14779.953529947423
override,luminance_mean,120.0,0.09375,8178.725196973215
override,luminance_mean,124.0,0.03125,6448.321802359582
override,luminance_mean,128.0,0.03125,3985.5113164105005
override,luminance_mean,132.0,0.0625,8618.668415590402
override,luminance_mean,136.0,0.0625,8534.68563614023
override,luminance_mean,140.0,0.0625,5659.501583175058
override,luminance_mean,144.0,0.0625,5313.304976256071
override,luminance_mean,148.0,0.0625,6365.65366879643
override,luminance_mean,152.0,0.0625,4370.855308568235
override,luminance_mean,156.0,0.09375,2405.4174788748483
override,luminance_mean,160.0,0.09375,3761.421854873342
override,luminance_mean,164.0,0.09375,3826.2091074805217
override,luminance_mean,168.0,0.09375,3510.1755749294252
override,luminance_mean,172.0,0.03125,2436.2713052675713
override,luminance_mean,176.0,0.03125,2982.202872811515
override,luminance_mean,180.0,0.03125,4222.0720027900015
override,luminance_mean,184.0,0.03125,4691.861888831219
override,visual_change_mean_abs,16.0,0.0625,499.4112943895986
override,visual_change_mean_abs,20.0,0.03125,420.9286180239908
override,visual_change_mean_abs,24.0,0.03125,681.6449696465287
override,visual_change_mean_abs,28.0,0.03125,742.3217738130446
override,visual_change_mean_abs,32.0,0.03125,376.09588929373183
override,visual_change_mean_abs,36.0,0.25,206.887236733406
override,visual_change_mean_abs,40.0,0.03125,292.8276376819923
override,visual_change_mean_abs,44.0,0.03125,631.8646947329312
override,visual_change_mean_abs,48.0,0.03125,586.3472785557766
override,visual_change_mean_abs,52.0,0.03125,510.38687160202863
override,visual_change_mean_abs,56.0,0.03125,613.1765159621823
override,visual_change_mean_abs,60.0,0.03125,712.7637679966516
override,visual_change_mean_abs,64.0,0.03125,693.4731170511384
override,visual_change_mean_abs,68.0,0.0625,299.6823232559809
override,visual_change_mean_abs,72.0,0.0625,62.59098767202987
override,visual_change_mean_abs,76.0,0.03125,51.99675414770459
override,visual_change_mean_abs,80.0,0.21875,57.95927272147635
override,visual_change_mean_abs,84.0,0.15625,72.99824726237229
override,visual_change_mean_abs,88.0,0.15625,92.3125715626432
override,visual_change_mean_abs,92.0,0.15625,86.63168582433494
override,visual_change_mean_abs,96.0,0.1875,110.28105304156327
override,visual_change_mean_abs,100.0,0.03125,244.25311922439553
override,visual_change_mean_abs,104.0,0.03125,229.71348924093323
override,visual_change_mean_abs,108.0,0.21875,242.55153850561956
override,visual_change_mean_abs,112.0,0.21875,271.31462126303785
override,visual_change_mean_abs,116.0,0.0625,245.95802537606258
override,visual_change_mean_abs,120.0,0.25,207.93622792769386
override,visual_change_mean_abs,124.0,0.46875,209.5274532583081
override,visual_change_mean_abs,128.0,0.03125,186.3052992908435
override,visual_change_mean_abs,132.0,0.03125,188.27228224289055
override,visual_change_mean_abs,136.0,0.09375,203.53833249333275
override,visual_change_mean_abs,140.0,0.09375,175.24386497458994
override,visual_change_mean_abs,144.0,0.25,214.6503458924708
override,visual_change_mean_abs,148.0,0.0625,231.93443990153636
override,visual_change_mean_abs,152.0,0.0625,281.2221421772718
override,visual_change_mean_abs,156.0,0.28125,214.9760260488331
override,visual_change_mean_abs,160.0,0.28125,333.5634292924946
override,visual_change_mean_abs,164.0,0.28125,296.2690603442316
override,visual_change_mean_abs,168.0,0.28125,198.61740231066088
override,visual_change_mean_abs,172.0,0.1875,163.31445051083193
override,visual_change_mean_abs,176.0,0.1875,196.07209910100013
override,visual_change_mean_abs,180.0,0.1875,263.2268394427794
override,visual_change_mean_abs,184.0,0.1875,159.65082795163
override,audio_rms,16.0,0.28125,0.0002900119271857422
override,audio_rms,20.0,0.25,0.00019545675837255079
override,audio_rms,24.0,0.15625,0.00017727043601404634
override,audio_rms,28.0,0.15625,0.00019609148611038327
override,audio_rms,32.0,0.15625,8.670970602468911e-05
override,audio_rms,36.0,0.1875,4.419766849248857e-05
override,audio_rms,40.0,0.21875,3.3831059783778495e-05
override,audio_rms,44.0,0.21875,3.600112245931542e-05
override,audio_rms,48.0,0.21875,3.272162139341666e-05
override,audio_rms,52.0,0.15625,1.1455020557533917e-05
override,audio_rms,56.0,0.40625,1.3598361888686108e-05
override,audio_rms,60.0,0.03125,0.00012722823982607679
override,audio_rms,64.0,0.03125,0.0013093304464701161
override,audio_rms,68.0,0.03125,0.00208284333277975
override,audio_rms,72.0,0.03125,0.0019671830589203174
override,audio_rms,76.0,0.03125,0.001178484302023444
override,audio_rms,80.0,0.0625,0.0010165928400930322
override,audio_rms,84.0,0.03125,0.0005033328208486238
override,audio_rms,88.0,0.03125,0.0006385666671997771
override,audio_rms,92.0,0.0625,0.0004090537792303909
override,audio_rms,96.0,0.03125,0.0012236524455445036
override,audio_rms,100.0,0.03125,0.002017741001683361
override,audio_rms,104.0,0.03125,0.0018662141464735878
override,audio_rms,108.0,0.03125,0.0015384056328485583
override,audio_rms,112.0,0.0625,0.0011313030786830327
override,audio_rms,116.0,0.0625,0.000844600027717739
override,audio_rms,120.0,0.03125,0.0025536864497166614
override,audio_rms,124.0,0.03125,0.004998704436150392
override,audio_rms,128.0,0.03125,0.011793664221279221
override,audio_rms,132.0,0.03125,0.016327224498468604
override,audio_rms,136.0,0.03125,0.014199868243369402
override,audio_rms,140.0,0.03125,0.006658502195910271
override,audio_rms,144.0,0.03125,0.0038845090907114474
override,audio_rms,148.0,0.03125,0.003981529885339327
override,audio_rms,152.0,0.09375,0.0064587447603472415
override,audio_rms,156.0,0.09375,0.007636880478150611
override,audio_rms,160.0,0.0625,0.01085741960575904
override,audio_rms,164.0,0.0625,0.017684772219903114
override,audio_rms,168.0,0.03125,0.02376399695868842
override,audio_rms,172.0,0.03125,0.03253931608356674
override,audio_rms,176.0,0.03125,0.03120492397439051
override,audio_rms,180.0,0.03125,0.009993515801705315
override,audio_rms,184.0,0.03125,0.004722083499783338
override,cue_on,16.0,0.34375,2.1047782325274054
override,cue_on,20.0,0.34375,2.248323542161756
override,cue_on,24.0,0.34375,2.2515465315161864
