condition,stimulus_file,time_sec,luminance_mean,luminance_std,visual_change_mean_abs,optical_flow_proxy_p90_absdiff,histogram_delta,edge_density,cut_score_z,cut_event,flash_event,audio_rms,audio_dbfs,audio_rms_derivative,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz,als_start_pulse_regressor,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,audio_rms_z,audio_derivative_z
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,0.0,252.358154296875,4.57763671875e-05,0.0,0.0,0.0,0.0,-3.639582546018934,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,7.962569196363418,-2.374121843354202,-2.3984113607576503,-1.8546765885578365,0.0,0.0
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,0.25,252.358154296875,4.57763671875e-05,0.0,0.0,0.0,0.0,-3.639582546018934,0.0,0.0,0.0,-240.0,,0.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,0.3333333333333333,1.0,7.962569196363418,-2.374121843354202,-2.3984113607576503,-1.8546765885578365,-1.2502200946836814,0.0
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,0.5,252.358154296875,4.57763671875e-05,0.0,0.0,0.0,0.0,-3.639582546018934,0.0,0.0,0.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.3333333333333333,1.0,7.962569196363418,-2.374121843354202,-2.3984113607576503,-1.8546765885578365,-1.2502200946836814,-0.0093414452721408
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,0.75,101.85175107421878,1.8475341796875008e-05,150.50640322265622,150.5064305236816,0.5963999999999998,0.0,23.299038553155192,1.0,1.0,0.0,-240.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.3333333333333333,0.0,0.9582161971259788,12.90968787094697,5.183939092821398,14.39668525732503,-1.2502200946836814,-0.0093414452721408
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,1.0,0.0,0.0,51.68295000000015,51.68295937500014,0.2048000000000005,0.0,5.610970105072411,0.0,0.0,3.045486285181636e-06,-110.32686418650506,3.045486285181636e-06,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.3333333333333333,0.0,-3.781818796992452,2.8742420558558743,0.2053199821212796,3.725938612711146,-1.2500365505807365,-0.0080880990043271
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,1.25,115.40868426513671,33.82323656463623,115.40868426513671,160.95753302001953,0.9939998815059662,0.1305142708333333,27.63327900677289,1.0,1.0,0.0043398822702175,-47.25044103027535,0.0043368367839324,0.0,0.0,0.0,0.0,0.5000000000000003,-0.8660254037844385,0.3333333333333333,0.0,1.589136501000289,9.345541452809734,5.710454282091271,25.23092325905812,-0.9886658719473976,1.7754501079542715
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,1.5,116.8095263244629,29.225948674011228,31.94501716918945,67.13427850952148,0.0896250343799591,0.019905986111111,1.3470054201541757,0.0,0.0,0.0089051235498833,-41.0072010139762,0.0045652412796658,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.3333333333333333,0.0,1.6543296892607475,0.8698701282809215,0.9837406531875454,0.5875247262617613,-0.7135298059990649,1.8694482072634784
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,1.75,117.2786751159668,29.19294242706299,32.77570689163208,67.00049611816407,0.1032680108964443,0.0641181111111111,1.7004502642558108,0.0,0.0,0.0092159336554723,-40.709213206046726,0.0003108101055889,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.3333333333333333,0.0,1.676163203812269,0.9542260319341132,0.977000841657498,0.959283525765926,-0.6947980316042179,0.118570043850041
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,2.0,116.974855078125,30.08029995117187,31.376612692260743,64.81077348632813,0.1160245864033698,0.073746111111111,1.812043857520532,0.0,0.0,0.0095715815337145,-40.38032593610099,0.0003556478782421,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.3333333333333333,0.0,1.6620238532748877,0.8121490899721172,0.8666849944678257,1.3068886975925096,-0.6733639929438159,0.1370226815405685
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,2.25,116.98552884216308,34.86513932189941,42.66884174575806,83.40659128723144,0.1032054042071104,0.0490049444444444,2.6944644428024267,0.0,1.0,0.0096800019147012,-40.28249113486848,0.0001084203809867,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210294e-16,0.3333333333333333,0.0,1.6625205950051565,1.9588662821212943,1.8035220920373327,0.9575775499739442,-0.6668297584388027,0.0352781218970916
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,2.5,117.13437545776368,29.410874938964845,43.12913681030273,81.77443911743164,0.138976190328598,0.0991245833333333,3.4483665291459964,0.0,0.0,0.0092454541436476,-40.68143502125841,-0.0004345477710536,0.0,0.0,0.0,0.0,-0.866025403784439,0.4999999999999993,0.3333333333333333,0.0,1.6694477038595608,2.0056088925903337,1.7212960389581968,1.9322991944608328,-0.6930189030798213,-0.1881762112295211
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,2.75,116.06812524108886,33.67353161773682,31.81458970413208,65.62022307739258,0.1040083085179329,0.0134564652777777,1.6184056822996973,0.0,0.0,0.0102076127071315,-39.8215163216592,0.0009621585634839,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.3333333333333333,0.0,1.6198259419730907,0.8566253193241459,0.9074641854472516,0.9794559679531452,-0.6350319302653522,0.3866274515359839
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,3.0,115.80493464355467,32.51108977661132,28.8500539855957,60.66415693359375,0.0794090277791023,0.0741194999999999,0.833564184534677,0.0,0.0,0.0196821765119418,-34.11853755377,0.0094745638048102,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.3333333333333333,0.0,1.607577427546217,0.5555789927679972,0.6577829575910902,0.3091477646748209,-0.064022852729194,3.889841828578634
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,3.25,115.9951127532959,34.06957900543213,33.08185702514648,68.2379254486084,0.0499443370528519,0.0981936041666668,0.6764321131488136,0.0,0.0,0.0273899502205586,-31.24817514062507,0.0077077737086168,0.0,0.0,0.0,0.0,0.4999999999999993,0.866025403784439,0.3333333333333333,0.0,1.6164280450935946,0.9853153429830236,1.0393411869325808,-0.4937384705185457,0.4005060528632985,3.162733063108606
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Field of dreams\1.8prep\Fieldofdreams1_8_MediaPrep_v1_7A_20260817_210857\stimulus_control_cued_phase_scrambled_Fieldofdreams1_8_v1_7A.mp4,3.5,115.86744865112304,31.867858532714845,28.22902998199463,58.83060492553711,0.0746826808199286,0.0207950833333333,0.6775952023959773,0.0,0.0,0.0297255944717963,-30.53738902607877,0.0023356442512377,0.0,0.0,0.0,0.0,0.8660254037844384,0.5000000000000004,0.3333333333333333,0.0,1.6104867401537206,0.4925144819178471,0.5654105994694119,0.1803590747976921,0.5412696908341323,0.9518748371564084
