condition,anchor_id,anchor_time_sec,C_pre,C_peak,C_post,C_strike,C_settle,CSI,ACG_candidate
CONTROL_1,FOD_BLIND_A1,26.53,0.0597947057079725,0.0597947057079725,0.0597947057079725,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,False
TARGET_1,FOD_BLIND_A1,26.53,0.0697604899926346,0.2130186390846521,0.0597947057079725,0.1432581490920175,-0.1532239333766795,0.296482082468697,True
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A1,26.53,0.2238979535954082,0.2279673155116452,0.0886954801334925,0.0040693619162369,-0.1392718353781526,0.14334119729438952,True
CONTROL_1,FOD_BLIND_A2,78.0,0.0651097906597923,0.0996578428466208,0.0921835046331243,0.0345480521868285,-0.0074743382134965,0.042022390400325,True
TARGET_1,FOD_BLIND_A2,78.0,0.0597947057079725,0.0597947057079725,0.0597947057079725,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A2,78.0,0.0876989017050264,0.1133607962380312,0.1046407349889519,0.0256618945330048,-0.0087200612490793,0.0343819557820841,True
CONTROL_1,FOD_BLIND_A3,94.0,0.1182606401779901,0.0797262742772967,0.0642793086360704,-0.0385343659006934,-0.0154469656412262,-0.023087400259467202,False
TARGET_1,FOD_BLIND_A3,94.0,0.0597947057079725,0.0597947057079725,0.0597947057079725,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A3,94.0,0.1023153853225307,0.1096236271312829,0.1315483525575395,0.0073082418087521,0.0219247254262565,-0.014616483617504401,False
CONTROL_1,FOD_BLIND_A4,100.0,0.1136099408451478,0.0710062130282173,0.0597947057079725,-0.0426037278169304,-0.0112115073202448,-0.0313922204966856,False
TARGET_1,FOD_BLIND_A4,100.0,0.0597947057079725,0.0597947057079725,0.0597947057079725,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A4,100.0,0.0976646859896884,0.1270637496294416,0.1355346662714044,0.0293990636397531,0.0084709166419627,0.0209281469977904,False
CONTROL_1,FOD_BLIND_A5,105.0,0.0916852154188912,0.0710062130282173,0.0597947057079725,-0.0206790023906738,-0.0112115073202448,-0.009467495070429,False
TARGET_1,FOD_BLIND_A5,105.0,0.0597947057079725,0.0597947057079725,0.0697604899926346,0.0,0.009965784284662,-0.009965784284662,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A5,105.0,0.1049729277984406,0.1320466417717726,0.1425107152706678,0.027073713973332,0.0104640734988951,0.0166096404744369,False
CONTROL_1,FOD_BLIND_A6,150.0,0.0597947057079725,0.0597947057079725,0.0597947057079725,0.0,1.3877787807814457e-17,-1.3877787807814457e-17,False
TARGET_1,FOD_BLIND_A6,150.0,0.1840348164567599,0.2317044846183935,0.1450021613418333,0.0476696681616336,-0.0867023232765601,0.1343719914381937,True
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A6,150.0,0.1162674833210577,0.0597947057079725,0.0612895733506718,-0.0564727776130851,0.0014948676426993,-0.0579676452557844,False
CONTROL_1,FOD_BLIND_A7,165.0,0.0597947057079725,0.0597947057079725,0.0617878625649049,0.0,0.0019931568569324,-0.0019931568569324,False
TARGET_1,FOD_BLIND_A7,165.0,0.1694183328392554,0.124572303558276,0.2013088425501741,-0.0448460292809793,0.076736538991898,-0.1215825682728773,False
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A7,165.0,0.0597947057079725,0.0635318748147208,0.0951732399185229,0.0037371691067482,0.0316413651038021,-0.027904195997053897,False
