sensitivity,anchor_id,anchor_time_sec_used,original_anchor_time_sec,offset_applied_sec,A_MRED_pass,base_gate_pass,specificity_gate_pass,claim_level,notes,target_MR,target_ENC,target_CII,target_artifact,target_peak_mr,target_peak_tsp,target_peak_nip,target_theta_carry,target_theta_pre,target_peak_time,control_MR,control_ENC,control_CII,control_artifact,control_peak_mr,control_peak_tsp,control_peak_nip,control_theta_carry,control_theta_pre,control_peak_time,override_MR,override_ENC,override_CII,override_artifact,override_peak_mr,override_peak_tsp,override_peak_nip,override_theta_carry,override_theta_pre,override_peak_time,target_minus_control_MR,target_minus_override_MR,target_minus_control_ENC,target_minus_override_ENC,target_minus_control_CII,target_minus_override_CII,IAQ_target_vs_override
runner_registered_time,FOD_BLIND_A1,26.53,26.53,0.0,False,False,False,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.04323950080724262,0.6664084708887538,0.003442573408293661,0.07163650890018394,0.05578967940613721,0.0881273270620613,0.0,0.13851371460311634,-0.5278947562856374,27.0,-0.00559969238068013,0.2711280908795577,0.0003833399750623898,0.2009457980529236,0.03192437637828464,0.05454929169647685,0.0,-0.20430507131962558,-0.47543316219918325,27.0,0.92795117316176,0.16542151940163544,0.0685307840710447,0.49871701384082284,1.592680205201133,0.645146206862772,0.6628200555218124,0.3011618556545329,0.13574033625289747,32.0,0.04883919318792275,-0.8847116723545174,0.3952803800091961,0.5009869514871184,0.0030592334332312713,-0.06508821066275103,-18.90135709202237
runner_registered_time,FOD_BLIND_A2,78.0,78.0,0.0,False,False,False,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,-0.14335174679581006,-0.3172922897417683,0.012170824629622918,0.06107371186848601,-0.2927486489015689,-0.035093862153713205,0.0,-0.3167274237649122,0.0005648659768561289,78.0,-0.041680728856206065,0.013671230519088196,0.0,0.3308696607688644,0.03876473033467184,0.022468277909245216,0.0,-0.3460858619467747,-0.3597570924658629,78.0,-0.1531714967802626,-0.5997759042599313,0.0,0.437928187662536,-0.09958058533551149,-0.06438406278387698,0.0,-0.05680240450817022,0.5429734997517611,78.0,-0.101671017939604,0.009819749984452536,-0.3309635202608565,0.282483614518163,0.012170824629622918,0.012170824629622918,0.9999178430489735
runner_registered_time,FOD_BLIND_A3,94.0,94.0,0.0,False,False,False,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.4087826255437179,0.16092277638994779,0.013443423731502611,0.03181813440312303,0.7547420735732143,0.2831235574876419,0.0,-0.08932086742099453,-0.25024364381094233,94.0,-0.05611971815327745,0.06197414636112775,0.0,0.4598458506151315,0.049352086997485695,0.04027154292688642,0.0,-0.1963716996852306,-0.25834584604635835,94.0,-0.019304723008394475,0.13081436575629965,0.0,0.5311890664114655,0.24249840206877135,-0.025165676384024796,0.0,0.06630200746614553,-0.06451235829015411,94.0,0.46490234369699535,0.4280873485521124,0.09894863002882004,0.030108410633648136,0.013443423731502611,0.013443423731502611,0.9999256197201181
runner_registered_time,FOD_BLIND_A4,100.0,100.0,0.0,False,False,True,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.37197156634892986,0.6658034893463416,0.04369770647649781,0.29501488615020993,0.27569199198617816,0.5759373392170627,0.45161405548837735,0.2589261167213151,-0.4068773726250265,106.0,-0.427585738583928,0.07628945711685514,0.0,0.49623421799568856,-0.4011498041214337,-0.41969743334054205,0.0,-0.2733436732667103,-0.3496331303835654,100.0,0.017540111648816373,0.24871686700303658,0.0,0.5378137905839985,0.24249840206877135,0.07025877234526885,0.0,0.28542564609542204,0.03670877909238546,100.0,0.7995573049328579,0.3544314547001135,0.5895140322294865,0.417086622343305,0.04369770647649781,0.04369770647649781,0.9999771160274381
runner_registered_time,FOD_BLIND_A5,105.0,105.0,0.0,False,False,True,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.3669001953842837,0.4087997130283747,0.03951235371550268,0.426331442881134,0.3286718429400247,0.5759373392170627,0.45161405548837735,0.06256694388953354,-0.34623276913884116,106.0,-0.4443771418413658,-0.02798330622482617,0.0,0.5091741125452048,-0.5432175991088529,-0.313138199221959,0.0,-0.21928382215716158,-0.1913005159323354,105.0,-0.11005811248106623,0.25358354458644783,0.0,0.5951623203244055,-0.047822893385731646,0.07025877234526885,0.0,0.19685425632115386,-0.056729288265293956,105.0,0.8112773372256494,0.47695830786534993,0.43678301925320084,0.15521616844192687,0.03951235371550268,0.03951235371550268,0.9999746921001138
runner_registered_time,FOD_BLIND_A6,150.0,150.0,0.0,True,True,True,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,1.1968629279969627,0.37276796524292644,0.14996950882432972,0.8844833419377598,1.2948348574017055,1.1780811724576001,1.9229659222039615,0.06327860687485005,-0.3094893583680764,154.0,-0.620024204476433,-0.24604033039815387,0.0,0.7105224153860618,-0.7630067465685659,-0.43179255692948576,0.0,-0.20641854589814654,0.03962178450000733,150.0,-0.14194673527399276,-0.2951063432718227,0.0018846730345792415,0.2326584675165971,-0.2389726331283377,0.00043502870165437746,0.0,0.037010113829094776,0.3321164571009175,150.0,1.8168871324733957,1.3388096632709554,0.6188082956410803,0.6678743085147492,0.14996950882432972,0.14808483578975049,0.9874263743627886
runner_registered_time,FOD_BLIND_A7,165.0,165.0,0.0,False,False,False,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.5276034480416159,-0.490544149158793,0.18137502640626138,1.282077482635195,0.9373706079685022,0.7432348074629108,0.5588838919804482,-0.03352336416242143,0.4570207849963716,166.0,-0.6954568400135392,-0.5617763130604378,0.0,0.6586529497998692,-0.7763810742644802,-0.6329345508694333,0.0,-0.39378980999464824,0.1679865030657896,165.0,-0.08595715456106294,-0.46580789485042706,0.0,0.4954722587345251,-0.029579536028400827,0.06242277899300602,0.0,-0.1878572939971939,0.2779506008532332,165.0,1.223060288055155,0.6135606026026788,0.07123216390164483,-0.024736254308365957,0.18137502640626138,0.18137502640626138,0.9999944865921929
content_offset_plus_1p251s,FOD_BLIND_A1,27.781251251251252,26.53,1.2512512512512513,False,False,False,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.1533590801369538,0.6630137920119278,0.003442573408293661,0.07178783626721798,0.18416556870914666,0.23512604976684676,0.0,0.10479894268512768,-0.5582148493268001,28.0,-0.04637039839951914,0.3296867247504239,0.0007231873733081841,0.2024371057914522,-0.06925673479954861,0.05454929169647685,0.0,-0.1553480828660137,-0.4850348076164376,28.0,0.9337213381052961,0.13968104216765828,0.0685307840710447,0.4698661891231418,1.592680205201133,0.645146206862772,0.6628200555218124,0.30011738392706466,0.16043634175940638,32.0,0.19972947853647294,-0.7803622579683424,0.3333270672615039,0.5233327498442695,0.002719386034985477,-0.06508821066275103,-18.90135709202237
content_offset_plus_1p251s,FOD_BLIND_A2,79.25125125125125,78.0,1.2512512512512513,False,False,False,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,-0.012867384932077603,0.051159981892631934,0.012521816527111547,0.06093687329191269,0.033393836469475545,-0.035093862153713205,0.0,-0.23707169335186112,-0.28823167524449306,80.0,-0.046930806686932044,0.084626389012389,0.0,0.3571200499224943,0.03876473033467184,0.022468277909245216,0.0,-0.2640553880712274,-0.3486817770836164,80.0,-0.1538512195282868,-0.5037858013207513,0.0,0.4413268014026569,-0.09958058533551149,-0.06438406278387698,0.0,0.029346819106174614,0.533132620426926,80.0,0.03406342175485444,0.1409838345962092,-0.03346640711975707,0.5549457832133833,0.012521816527111547,0.012521816527111547,0.9999201457597151
content_offset_plus_1p251s,FOD_BLIND_A3,95.25125125125125,94.0,1.2512512512512513,False,False,True,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.3924931816619931,0.47151778480118284,0.023873991207709486,0.11326535381174706,0.7547420735732143,0.2831235574876419,0.0,0.09586173822246634,-0.3756560465787165,96.0,-0.397116079109678,0.09561664821501797,0.0,0.46550934352964385,-0.4011498041214337,-0.3588857218879394,0.0,-0.14527376332010755,-0.24089041153512553,96.0,-0.029354487446711403,0.22045550143238443,0.0,0.547348142359485,0.24249840206877135,-0.042210549505807354,0.0,0.3156444797124534,0.09518897828006898,96.0,0.7896092607716712,0.4218476691087045,0.37590113658616486,0.25106228336879843,0.023873991207709486,0.023873991207709486,0.9999581151678214
content_offset_plus_1p251s,FOD_BLIND_A4,101.25125125125125,100.0,1.2512512512512513,False,False,True,runner_registered_estimated_blind_not_frame_verified,Estimated blind YouTube anchors; Target/Override hash matched; exact frame verification not performed.,0.38302824569211685,0.6300023203979397,0.04369770647649781,0.3456911913419683,0.3286718429400247,0.5759373392170627,0.45161405548837735,0.23187343345702705,-0.39812888694091264,106.0,-0.4604269492529701,0.04450669991765854,0.0,0.48085049236764554,-0.5975039277266435,-0.313138199221959,0.0,-0.3264506283630745,-0.370957328280733,102.0,-0.10169622505253986,0.4304854772776168,0.0,0.5533528831817737,-0.047822893385731646,0.07025877234526885,0.0,0.3153604023855868,-0.11512507489203001,102.0,0.843455194945087,0.48472447074465674,0.5854956204802811,0.19951684312032286,0.04369770647649781,0.04369770647649781,0.9999771160274381
