condition,anchor_id,residualized_CII_proxy
CONTROL_1,FOD_BLIND_A1,-3.101835355951196e-05
CONTROL_1,FOD_BLIND_A2,-0.00019777210358857294
CONTROL_1,FOD_BLIND_A3,-0.00022553640736492356
CONTROL_1,FOD_BLIND_A4,-0.0002329161037778137
CONTROL_1,FOD_BLIND_A5,-0.0002291883702356218
CONTROL_1,FOD_BLIND_A6,-4.372384168544386e-05
CONTROL_1,FOD_BLIND_A7,-3.5211456972738714e-05
TARGET_1,FOD_BLIND_A1,-0.03811323390833518
TARGET_1,FOD_BLIND_A2,-0.0223062776713184
TARGET_1,FOD_BLIND_A3,-0.026008707042105787
TARGET_1,FOD_BLIND_A4,-0.004733895042681755
TARGET_1,FOD_BLIND_A5,-0.03548803084713252
TARGET_1,FOD_BLIND_A6,0.022519650950141797
TARGET_1,FOD_BLIND_A7,0.08660162053456899
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A1,0.007303827849102245
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A2,-0.015300349591260873
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A3,-0.017028370554297265
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A4,-0.020869939028482935
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A5,-0.02097987638193149
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A6,-0.001246462118139931
CONTEXTUAL_OVERRIDE_1,FOD_BLIND_A7,0.004148953664907215
