condition,phase_time_sec,time_lsl,lz_complexity_norm
BASELINE_1,2.5,33500.9193224,0.059794705707972524
BASELINE_1,3.5,33501.9193224,0.059794705707972524
BASELINE_1,4.5,33502.9193224,0.059794705707972524
BASELINE_1,5.5,33503.9193224,0.059794705707972524
BASELINE_1,6.5,33504.9193224,0.059794705707972524
BASELINE_1,7.5,33505.9193224,0.059794705707972524
BASELINE_1,8.5,33506.9193224,0.059794705707972524
BASELINE_1,9.5,33507.9193224,0.059794705707972524
BASELINE_1,10.5,33508.9193224,0.059794705707972524
BASELINE_1,11.5,33509.9193224,0.059794705707972524
BASELINE_1,12.5,33510.9193224,0.059794705707972524
BASELINE_1,13.5,33511.9193224,0.059794705707972524
BASELINE_1,14.5,33512.9193224,0.059794705707972524
BASELINE_1,15.5,33513.9193224,0.059794705707972524
BASELINE_1,16.5,33514.9193224,0.059794705707972524
BASELINE_1,17.5,33515.9193224,0.059794705707972524
BASELINE_1,18.5,33516.9193224,0.059794705707972524
BASELINE_1,19.5,33517.9193224,0.059794705707972524
BASELINE_1,20.5,33518.9193224,0.059794705707972524
BASELINE_1,21.5,33519.9193224,0.059794705707972524
BASELINE_1,22.5,33520.9193224,0.059794705707972524
BASELINE_1,23.5,33521.9193224,0.059794705707972524
BASELINE_1,24.5,33522.9193224,0.059794705707972524
BASELINE_1,25.5,33523.9193224,0.059794705707972524
BASELINE_1,26.5,33524.9193224,0.059794705707972524
BASELINE_1,27.5,33525.9193224,0.059794705707972524
BASELINE_1,28.5,33526.9193224,0.059794705707972524
BASELINE_1,29.5,33527.9193224,0.059794705707972524
BASELINE_1,30.5,33528.9193224,0.059794705707972524
BASELINE_1,31.5,33529.9193224,0.059794705707972524
BASELINE_1,32.5,33530.9193224,0.059794705707972524
BASELINE_1,33.5,33531.9193224,0.059794705707972524
BASELINE_1,34.5,33532.9193224,0.059794705707972524
BASELINE_1,35.5,33533.9193224,0.059794705707972524
BASELINE_1,36.5,33534.9193224,0.059794705707972524
BASELINE_1,37.5,33535.9193224,0.059794705707972524
BASELINE_1,38.5,33536.9193224,0.059794705707972524
BASELINE_1,39.5,33537.9193224,0.059794705707972524
BASELINE_1,40.5,33538.9193224,0.059794705707972524
BASELINE_1,41.5,33539.9193224,0.059794705707972524
