x,y,rho,p,n
arithmetic_compute_load,WMU_theta,0.12884615384615383,0.306352099984331,65
arithmetic_compute_load,MAINT_theta,0.08588286713286714,0.49635677951089036,65
arithmetic_compute_load,compute_stall_score,0.23378496503496504,0.06088525562369373,65
arithmetic_compute_load,latent_guess_risk,0.7927564972341093,2.1591152788555458e-15,66
arithmetic_compute_load,override_minus_target_WMU,0.19943181818181818,0.11122345542590772,65
carry_required,WMU_theta,0.08224396186997113,0.5148457234848234,65
carry_required,MAINT_theta,0.059215652546379206,0.6393841409869695,65
carry_required,compute_stall_score,0.16942256145214052,0.17727222743324714,65
carry_required,latent_guess_risk,0.7163270813342503,1.359489442847279e-11,66
carry_required,override_minus_target_WMU,0.14310449365374975,0.25544478446613944,65
high_carry_load,WMU_theta,0.04371569966397658,0.7295125727716006,65
high_carry_load,MAINT_theta,-0.04286259793002766,0.7345946531195682,65
high_carry_load,compute_stall_score,0.10133465191095836,0.4218565359824605,65
high_carry_load,latent_guess_risk,0.7172149322117861,1.2487914854939141e-11,66
high_carry_load,override_minus_target_WMU,0.1179124937139115,0.34954913407095917,65
hard9_pattern,WMU_theta,0.20396682409470146,0.10316315912349458,65
hard9_pattern,MAINT_theta,-0.00849861767061256,0.9464306356826114,65
hard9_pattern,compute_stall_score,0.15297511807102612,0.22376788531584796,65
hard9_pattern,latent_guess_risk,0.4398883064579447,0.000219276085836994,66
hard9_pattern,override_minus_target_WMU,0.15014224551415525,0.23256434718939178,65
