condition,time_sec,event_type,label,severity,note
CONTROL_1,26.53,A-MRED_ANCHOR,FOD_BLIND_A1,primary,A_MRED_pass=False
TARGET_1,26.53,A-MRED_ANCHOR,FOD_BLIND_A1,primary,A_MRED_pass=False
CONTEXTUAL_OVERRIDE_1,26.53,A-MRED_ANCHOR,FOD_BLIND_A1,primary,A_MRED_pass=False
CONTROL_1,78.0,A-MRED_ANCHOR,FOD_BLIND_A2,primary,A_MRED_pass=False
TARGET_1,78.0,A-MRED_ANCHOR,FOD_BLIND_A2,primary,A_MRED_pass=False
CONTEXTUAL_OVERRIDE_1,78.0,A-MRED_ANCHOR,FOD_BLIND_A2,primary,A_MRED_pass=False
CONTROL_1,94.0,A-MRED_ANCHOR,FOD_BLIND_A3,primary,A_MRED_pass=False
TARGET_1,94.0,A-MRED_ANCHOR,FOD_BLIND_A3,primary,A_MRED_pass=False
CONTEXTUAL_OVERRIDE_1,94.0,A-MRED_ANCHOR,FOD_BLIND_A3,primary,A_MRED_pass=False
CONTROL_1,100.0,A-MRED_ANCHOR,FOD_BLIND_A4,primary,A_MRED_pass=False
TARGET_1,100.0,A-MRED_ANCHOR,FOD_BLIND_A4,primary,A_MRED_pass=False
CONTEXTUAL_OVERRIDE_1,100.0,A-MRED_ANCHOR,FOD_BLIND_A4,primary,A_MRED_pass=False
CONTROL_1,105.0,A-MRED_ANCHOR,FOD_BLIND_A5,primary,A_MRED_pass=False
TARGET_1,105.0,A-MRED_ANCHOR,FOD_BLIND_A5,primary,A_MRED_pass=False
CONTEXTUAL_OVERRIDE_1,105.0,A-MRED_ANCHOR,FOD_BLIND_A5,primary,A_MRED_pass=False
CONTROL_1,150.0,A-MRED_ANCHOR,FOD_BLIND_A6,primary,A_MRED_pass=True
TARGET_1,150.0,A-MRED_ANCHOR,FOD_BLIND_A6,primary,A_MRED_pass=True
CONTEXTUAL_OVERRIDE_1,150.0,A-MRED_ANCHOR,FOD_BLIND_A6,primary,A_MRED_pass=True
CONTROL_1,165.0,A-MRED_ANCHOR,FOD_BLIND_A7,primary,A_MRED_pass=False
TARGET_1,165.0,A-MRED_ANCHOR,FOD_BLIND_A7,primary,A_MRED_pass=False
CONTEXTUAL_OVERRIDE_1,165.0,A-MRED_ANCHOR,FOD_BLIND_A7,primary,A_MRED_pass=False
TARGET_1,26.53,TTI_ANCHOR,FOD_BLIND_A1,secondary,TTI_anchor=-0.218
TARGET_1,78.0,TTI_ANCHOR,FOD_BLIND_A2,secondary,TTI_anchor=0.054
TARGET_1,94.0,TTI_ANCHOR,FOD_BLIND_A3,secondary,TTI_anchor=0.112
TARGET_1,100.0,TTI_ANCHOR,FOD_BLIND_A4,secondary,TTI_anchor=0.236
TARGET_1,105.0,TTI_ANCHOR,FOD_BLIND_A5,secondary,TTI_anchor=0.206
TARGET_1,150.0,TTI_ANCHOR,FOD_BLIND_A6,secondary,TTI_anchor=0.641
TARGET_1,165.0,TTI_ANCHOR,FOD_BLIND_A7,secondary,TTI_anchor=0.174
