lsl_time,samples_total,effective_rate_hz,als_min,als_max
33475.5404567,52480,121.35,263.5,272.5
33480.8534539,53144,121.394,260.5,276.5
33486.6612402,53790,121.261,260.0,272.5
33491.8358529,54441,121.313,261.0,274.0
33497.1049279,55100,121.357,257.5,278.0
33502.3451829,55755,121.398,244.5,263.5
33507.4999628,56399,121.437,259.0,279.5
33512.7845809,57060,121.478,256.5,279.5
33518.0811772,57722,121.517,259.5,275.5
33523.3086027,58374,121.552,257.0,280.5
33528.4879014,59023,121.592,255.5,278.5
33533.6873197,59665,121.612,258.0,277.0
33538.9818546,60319,121.633,258.0,277.5
33544.2547255,60986,121.684,257.0,280.0
33549.4933794,61641,121.719,257.5,276.5
33554.8146355,62301,121.743,255.0,277.0
33560.0769163,62959,121.776,258.5,278.0
33565.4053176,63624,121.807,259.0,278.0
33570.589097,64273,121.84,259.5,277.5
33575.7573752,64919,121.871,253.0,274.5
33581.0375375,65579,121.902,260.5,276.5
33586.3160921,66239,121.932,254.5,278.5
33591.6606017,66907,121.962,258.5,278.5
33597.0994695,67586,121.99,257.5,279.0
33602.429041,68253,122.02,255.0,278.0
33607.7488765,68918,122.048,258.0,278.0
33613.0752854,69584,122.076,256.0,277.5
33618.3872798,70248,122.103,255.5,278.5
33623.5466476,70893,122.129,247.5,269.5
33628.8985243,71555,122.143,256.5,278.5
33634.1544556,72212,122.169,261.0,280.0
33639.3383048,72860,122.194,255.5,275.5
33644.5545574,73512,122.218,257.0,278.0
33649.8605681,74175,122.242,256.0,276.5
33655.0821877,74828,122.266,257.0,279.0
33660.3397632,75485,122.289,255.5,278.5
33665.5782595,76140,122.312,258.5,277.0
33670.8199,76795,122.334,258.5,275.5
33676.0898633,77454,122.357,259.5,277.0
33681.2677168,78101,122.378,255.0,278.5
33686.5131129,78757,122.4,254.0,278.0
33691.753304,79412,122.421,255.5,278.0
33696.9787819,80065,122.441,261.0,279.5
33702.1795985,80715,122.461,258.5,277.0
33707.4262888,81371,122.481,257.5,279.5
33712.6275837,82021,122.5,257.5,278.0
33717.8894173,82679,122.52,257.0,277.0
33723.1376221,83335,122.539,257.0,275.0
33728.4091686,83994,122.558,257.0,280.5
33733.6239714,84646,122.577,259.0,277.5
33738.8889349,85304,122.595,257.5,279.5
33744.1817306,85966,122.614,256.0,277.0
33749.4233685,86621,122.631,257.5,278.5
33754.6865113,87279,122.649,256.5,276.5
33759.8227335,87921,122.666,258.0,275.0
33765.0792671,88578,122.683,256.0,277.5
33770.3118236,89232,122.699,258.0,277.5
33775.5035813,89881,122.716,259.5,275.0
33780.6962158,90530,122.732,259.0,276.0
33785.885942,91179,122.748,255.5,278.0
33791.1340636,91835,122.764,261.0,277.5
33796.3521324,92487,122.779,257.5,273.5
33801.5027529,93131,122.794,260.0,276.0
33806.7195511,93783,122.809,262.5,275.0
33811.9565463,94438,122.825,255.0,282.0
33817.1757639,95090,122.839,257.5,275.5
33822.3983837,95743,122.853,260.0,275.5
33827.6387137,96398,122.868,259.5,279.0
33832.9193698,97058,122.882,256.0,276.5
33838.1885674,97717,122.896,262.0,275.5
33843.5201201,98383,122.91,257.5,278.0
33848.7361943,99035,122.923,260.5,275.5
33853.9844503,99691,122.937,259.0,276.0
33859.2145203,100345,122.95,257.0,281.0
33864.4569134,101000,122.963,258.5,275.5
33869.7071307,101656,122.976,258.5,277.0
33874.8902635,102304,122.988,260.0,275.0
33880.192447,102966,123.0,259.5,278.0
33885.3604152,103613,123.014,259.0,275.5
33890.6097257,104269,123.026,257.5,282.0
33895.8196514,104919,123.036,257.5,277.0
33900.9738171,105564,123.049,256.5,277.5
33906.1871907,106216,123.061,258.0,276.5
33911.3415974,106860,123.072,258.5,275.5
33916.5952164,107517,123.084,256.5,277.5
33921.8095577,108168,123.095,257.5,278.0
33926.9488667,108811,123.106,260.0,276.5
33932.1934911,109465,123.116,258.5,280.0
33937.3952073,110116,123.128,258.5,278.0
33942.5867602,110763,123.136,258.0,276.5
33947.7564692,111411,123.149,257.5,275.5
33952.9497088,112060,123.159,260.0,278.0
33958.106285,112705,123.17,258.0,278.5
33963.2794271,113352,123.181,261.5,272.5
33968.57849,114014,123.191,261.0,275.5
33973.8659267,114674,123.2,259.5,277.0
33979.1876117,115340,123.211,260.5,275.5
33984.4914018,116003,123.221,260.5,275.5
33990.8050221,116663,123.097,258.5,276.5
33996.0459829,117318,123.107,258.5,276.0
34001.2889976,117973,123.117,259.5,275.0
34006.5653927,118633,123.128,260.0,278.0
34011.8056535,119288,123.138,256.5,275.0
34017.0169822,119939,123.147,259.5,278.0
34022.2333518,120591,123.157,260.0,279.5
34027.4972758,121249,123.167,260.5,278.0
34032.7312633,121903,123.177,257.0,279.0
34037.9959611,122561,123.186,257.0,276.5
34043.2124317,123213,123.196,259.5,277.5
34048.4637388,123869,123.205,261.0,274.5
34053.7515745,124530,123.214,259.5,277.5
34058.9692649,125182,123.223,260.0,275.0
34064.2582672,125843,123.232,257.5,277.0
34069.5373263,126503,123.241,259.0,276.0
34074.7702592,127157,123.25,260.5,277.5
34080.0429921,127816,123.259,259.5,276.5
34085.3548939,128480,123.268,259.0,277.0
34090.6043788,129136,123.276,258.0,278.5
34095.9340062,129802,123.285,261.5,275.0
34101.1259799,130451,123.293,259.5,279.5
34106.3185059,131100,123.301,258.5,279.5
34111.5940483,131759,123.309,259.5,279.0
34116.8178898,132412,123.318,255.5,278.0
34122.0355629,133064,123.326,257.0,280.0
34127.3078682,133723,123.334,256.5,280.0
34132.581402,134382,123.342,256.5,282.0
34137.8442678,135040,123.35,256.0,278.5
34143.1177529,135699,123.357,259.0,281.0
34148.3366185,136351,123.365,255.5,280.5
34153.597526,137008,123.372,259.5,278.0
34158.7611656,137654,123.38,261.0,277.5
34164.0332355,138313,123.388,259.5,276.0
34169.3155505,138973,123.395,260.0,277.0
34174.5642984,139628,123.402,257.5,276.5
34179.7242836,140274,123.41,258.5,273.5
34184.9751507,140930,123.417,258.5,276.0
34190.1898439,141582,123.424,260.5,276.0
34195.4323528,142237,123.431,260.5,275.0
34200.7149605,142897,123.438,257.0,278.0
34205.9801859,143555,123.445,259.0,278.5
34211.2347858,144212,123.452,260.0,277.5
34216.4536357,144864,123.458,258.0,275.0
34221.6782898,145517,123.465,262.0,277.5
34226.8719916,146166,123.472,258.5,279.5
34232.1034888,146819,123.478,257.0,276.5
34237.2888722,147468,123.485,259.5,274.5
34242.5718112,148128,123.491,260.0,276.5
34247.8278065,148785,123.498,260.0,276.0
34253.0425829,149436,123.504,259.0,278.0
34258.2367096,150086,123.511,259.0,277.0
34263.5438792,150749,123.517,259.5,278.0
34268.7607366,151401,123.523,260.5,276.0
34273.8881775,152041,123.528,257.0,278.5
34279.1236826,152696,123.535,258.5,277.5
34284.3716174,153352,123.541,260.5,277.0
34289.6434686,154011,123.548,258.0,279.0
34294.8227355,154658,123.553,256.5,278.5
34300.1581484,155325,123.559,261.5,278.0
34305.4125745,155981,123.565,261.0,278.5
34310.7058093,156643,123.571,256.5,276.5
34315.9158697,157294,123.577,259.5,275.0
34321.1314059,157946,123.583,260.5,277.5
34326.420024,158607,123.588,260.0,274.5
34331.7270133,159270,123.594,257.5,279.5
