run,time_sec,end_sec,label,category,anchor_id,score,detail
Arrival,68.0,98.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,ARR_A1_FUTURE_TRAGEDY_ACCEPTANCE_068P0,0.7346924808234296,load=0.248; recovery=0.982
Arrival,120.0,150.0,NUPI MIXED_NEUTRAL_TILT,nupi,ARR_A2_STARDUST_CRINGE_120P0,0.2021130970485654,load=0.265; recovery=0.468
Arrival,169.0,199.0,NUPI MIXED_NEUTRAL_TILT,nupi,ARR_A3_READING_LETTERS_169P0,0.06179676272964524,load=0.400; recovery=0.461
Arrival,251.0,281.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,ARR_A4_CHILD_LIFE_MONTAGE_251P0,0.597864031609092,load=0.372; recovery=0.970
Arrival,310.0,340.0,NUPI MIXED_NEUTRAL_TILT,nupi,ARR_A5_HELD_BY_YOU_FINAL_310P0,0.21102508172798157,load=0.283; recovery=0.494
Contact,28.007354,58.007354,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,CONTACT_A1_PENSACOLA_REALIZATION,0.25923493273148135,load=0.374; recovery=0.634
Contact,166.007354,196.007354,NUPI MIXED_NEUTRAL_TILT,nupi,CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,-0.007142745095159442,load=0.796; recovery=0.789
Contact,161.007354,191.007354,NUPI MIXED_NEUTRAL_TILT,nupi,CONTACT_A2_AVATAR_FATHER_RECOGNITION,-0.06343870744131652,load=0.779; recovery=0.715
Contact,263.007354,293.007354,NUPI MIXED_NEUTRAL_TILT,nupi,CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,0.09760259380082809,load=0.474; recovery=0.571
Contact,271.007354,301.007354,NUPI MIXED_NEUTRAL_TILT,nupi,CONTACT_A4_SMALL_MOVES_TAPER_RELEASE_OR_LATE_PAYLOAD_RELEASE,0.17787150523237938,load=0.476; recovery=0.654
Field,26.53,56.53,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,FOD_BLIND_A1,0.39927479740071503,load=0.371; recovery=0.770
Field,78.0,108.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,FOD_BLIND_A2,0.3520479453924505,load=0.003; recovery=0.355
Field,94.0,124.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,FOD_BLIND_A3,0.3014213431155737,load=0.115; recovery=0.417
Field,100.0,130.0,NUPI MIXED_NEUTRAL_TILT,nupi,FOD_BLIND_A4,0.22494367577523133,load=0.199; recovery=0.424
Field,105.0,135.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,FOD_BLIND_A5,0.2917562597608136,load=0.154; recovery=0.446
Field,150.0,180.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,FOD_BLIND_A6,0.40600219946575444,load=0.498; recovery=0.904
Field,165.0,195.0,NUPI RESOLUTIVE_RECOVERY_TILT,nupi,FOD_BLIND_A7,0.36592401730938673,load=0.155; recovery=0.521
