generator,trial,seed,fold_condition,winning_model,loss
full_reciprocal_positive_control,1,920001,doublet_EY,zeta_only,0.2041645313827639
full_reciprocal_positive_control,1,920001,orthogonal_trap,full_reciprocal,0.2622851365056274
full_reciprocal_positive_control,1,920001,counterphase,eta_only,0.1842866632216626
full_reciprocal_positive_control,1,920001,lagged_E_to_Y,full_reciprocal,0.16088364326962892
full_reciprocal_positive_control,1,920001,recovery_probe,full_reciprocal,0.26669606861107514
full_reciprocal_positive_control,1,920001,lagged_Y_to_E,eta_only,0.35399932458307876
full_reciprocal_positive_control,2,920002,doublet_EY,full_reciprocal,0.15963497173756094
full_reciprocal_positive_control,2,920002,orthogonal_trap,full_reciprocal,0.2869415994011605
full_reciprocal_positive_control,2,920002,counterphase,eta_only,0.14422027954746913
full_reciprocal_positive_control,2,920002,lagged_E_to_Y,eta_only,0.17263134266195718
full_reciprocal_positive_control,2,920002,recovery_probe,full_reciprocal,0.2659543252246963
full_reciprocal_positive_control,2,920002,lagged_Y_to_E,zeta_only,0.3136414592519545
full_reciprocal_positive_control,3,920003,doublet_EY,full_reciprocal,0.15030862138335613
full_reciprocal_positive_control,3,920003,orthogonal_trap,full_reciprocal,0.25010610793997845
full_reciprocal_positive_control,3,920003,counterphase,full_reciprocal,0.2008755908465413
full_reciprocal_positive_control,3,920003,lagged_E_to_Y,full_reciprocal,0.1783837352174781
full_reciprocal_positive_control,3,920003,recovery_probe,full_reciprocal,0.26337768012818874
full_reciprocal_positive_control,3,920003,lagged_Y_to_E,zeta_only,0.33201510256618705
full_reciprocal_positive_control,4,920004,doublet_EY,full_reciprocal,0.2071782342952418
full_reciprocal_positive_control,4,920004,orthogonal_trap,full_reciprocal,0.27461849067573463
full_reciprocal_positive_control,4,920004,counterphase,zeta_only,0.18400562042481455
full_reciprocal_positive_control,4,920004,lagged_E_to_Y,full_reciprocal,0.1698443087595041
full_reciprocal_positive_control,4,920004,recovery_probe,full_reciprocal,0.28247886427645774
full_reciprocal_positive_control,4,920004,lagged_Y_to_E,eta_only,0.3926829596429686
full_reciprocal_positive_control,5,920005,doublet_EY,full_reciprocal,0.17615449378367581
full_reciprocal_positive_control,5,920005,orthogonal_trap,full_reciprocal,0.23627738800431666
full_reciprocal_positive_control,5,920005,counterphase,full_reciprocal,0.1736636577889115
full_reciprocal_positive_control,5,920005,lagged_E_to_Y,full_reciprocal,0.1611773228453008
full_reciprocal_positive_control,5,920005,recovery_probe,full_reciprocal,0.2720566720872585
full_reciprocal_positive_control,5,920005,lagged_Y_to_E,eta_only,0.2543582411121203
full_reciprocal_positive_control,6,920006,doublet_EY,full_reciprocal,0.1884800923835352
full_reciprocal_positive_control,6,920006,orthogonal_trap,full_reciprocal,0.2347045773232407
full_reciprocal_positive_control,6,920006,counterphase,eta_only,0.140303184289563
full_reciprocal_positive_control,6,920006,lagged_E_to_Y,full_reciprocal,0.0995580023444916
full_reciprocal_positive_control,6,920006,recovery_probe,full_reciprocal,0.2376645186629107
full_reciprocal_positive_control,6,920006,lagged_Y_to_E,zeta_only,0.3404368619436965
full_reciprocal_positive_control,7,920007,doublet_EY,zeta_only,0.1763858603920008
full_reciprocal_positive_control,7,920007,orthogonal_trap,full_reciprocal,0.28546925756856
full_reciprocal_positive_control,7,920007,counterphase,zeta_only,0.2086595111854152
full_reciprocal_positive_control,7,920007,lagged_E_to_Y,full_reciprocal,0.1860086392236617
full_reciprocal_positive_control,7,920007,recovery_probe,full_reciprocal,0.20535295138125906
full_reciprocal_positive_control,7,920007,lagged_Y_to_E,zeta_only,0.3218167704857035
full_reciprocal_positive_control,8,920008,doublet_EY,full_reciprocal,0.20004006477333888
full_reciprocal_positive_control,8,920008,orthogonal_trap,full_reciprocal,0.2805965992425775
full_reciprocal_positive_control,8,920008,counterphase,eta_only,0.14881666973725818
full_reciprocal_positive_control,8,920008,lagged_E_to_Y,eta_only,0.18324845721207364
full_reciprocal_positive_control,8,920008,recovery_probe,zeta_only,0.2458436184419295
full_reciprocal_positive_control,8,920008,lagged_Y_to_E,eta_only,0.3595452540830916
full_reciprocal_positive_control,9,920009,doublet_EY,full_reciprocal,0.1907359028824754
full_reciprocal_positive_control,9,920009,orthogonal_trap,full_reciprocal,0.30900638972493033
full_reciprocal_positive_control,9,920009,counterphase,zeta_only,0.1515708970927168
full_reciprocal_positive_control,9,920009,lagged_E_to_Y,full_reciprocal,0.18060481979694623
