generator,trial,seed,fold_condition,model,loss
full_reciprocal_positive_control,1,920001,doublet_EY,full_reciprocal,0.21340985388084174
full_reciprocal_positive_control,1,920001,doublet_EY,eta_only,0.2274614984328903
full_reciprocal_positive_control,1,920001,doublet_EY,zeta_only,0.2041645313827639
full_reciprocal_positive_control,1,920001,doublet_EY,null_no_coupling,0.5947510091287616
full_reciprocal_positive_control,1,920001,doublet_EY,replay_only_basis,0.30628412447019326
full_reciprocal_positive_control,1,920001,doublet_EY,standard_ping,0.2410656969386
full_reciprocal_positive_control,1,920001,doublet_EY,generic_hidden_oscillator,0.2796265170325324
full_reciprocal_positive_control,1,920001,doublet_EY,sensory_drive_only,0.4990827269230805
full_reciprocal_positive_control,1,920001,orthogonal_trap,full_reciprocal,0.2622851365056274
full_reciprocal_positive_control,1,920001,orthogonal_trap,eta_only,0.2802410877792783
full_reciprocal_positive_control,1,920001,orthogonal_trap,zeta_only,0.26750038501904816
full_reciprocal_positive_control,1,920001,orthogonal_trap,null_no_coupling,0.6360819541054795
full_reciprocal_positive_control,1,920001,orthogonal_trap,replay_only_basis,0.39236114527436344
full_reciprocal_positive_control,1,920001,orthogonal_trap,standard_ping,0.3387678773486612
full_reciprocal_positive_control,1,920001,orthogonal_trap,generic_hidden_oscillator,0.4186746060633744
full_reciprocal_positive_control,1,920001,orthogonal_trap,sensory_drive_only,0.543438821762611
full_reciprocal_positive_control,1,920001,counterphase,full_reciprocal,0.22791858046893793
full_reciprocal_positive_control,1,920001,counterphase,eta_only,0.1842866632216626
full_reciprocal_positive_control,1,920001,counterphase,zeta_only,0.22875592917882173
full_reciprocal_positive_control,1,920001,counterphase,null_no_coupling,0.5966064590947642
full_reciprocal_positive_control,1,920001,counterphase,replay_only_basis,0.26146648098455433
full_reciprocal_positive_control,1,920001,counterphase,standard_ping,0.24055456994927502
full_reciprocal_positive_control,1,920001,counterphase,generic_hidden_oscillator,0.2535825198420465
