generator,trial,seed,fold_condition,model,loss
full_reciprocal_positive_control,1,930001,doublet_EY,full_reciprocal,0.07809202723925517
full_reciprocal_positive_control,1,930001,doublet_EY,eta_only,0.07711210913973134
full_reciprocal_positive_control,1,930001,doublet_EY,zeta_only,0.07693774418878688
full_reciprocal_positive_control,1,930001,doublet_EY,null_no_coupling,0.5647874710725711
full_reciprocal_positive_control,1,930001,doublet_EY,standard_ping,0.09961987655874217
full_reciprocal_positive_control,1,930001,doublet_EY,replay_only_basis,0.11433852713503957
full_reciprocal_positive_control,1,930001,doublet_EY,sensory_drive_only,0.5046878721890251
full_reciprocal_positive_control,1,930001,doublet_EY,generic_hidden_tuned,0.11116909703587666
full_reciprocal_positive_control,1,930001,doublet_EY,colored_noise_ar,0.08048876257959214
full_reciprocal_positive_control,1,930001,orthogonal_trap,full_reciprocal,0.26003824191585584
full_reciprocal_positive_control,1,930001,orthogonal_trap,eta_only,0.32573540637107573
full_reciprocal_positive_control,1,930001,orthogonal_trap,zeta_only,0.2819764106080245
full_reciprocal_positive_control,1,930001,orthogonal_trap,null_no_coupling,0.6906092739678177
full_reciprocal_positive_control,1,930001,orthogonal_trap,standard_ping,0.4096317584835276
full_reciprocal_positive_control,1,930001,orthogonal_trap,replay_only_basis,0.4857984823194002
full_reciprocal_positive_control,1,930001,orthogonal_trap,sensory_drive_only,0.7535062776145303
full_reciprocal_positive_control,1,930001,orthogonal_trap,generic_hidden_tuned,0.4482999120119629
full_reciprocal_positive_control,1,930001,orthogonal_trap,colored_noise_ar,0.3080063485946536
full_reciprocal_positive_control,1,930001,counterphase,full_reciprocal,0.1023860628612245
full_reciprocal_positive_control,1,930001,counterphase,eta_only,0.14735268871295462
full_reciprocal_positive_control,1,930001,counterphase,zeta_only,0.14220310138504869
full_reciprocal_positive_control,1,930001,counterphase,null_no_coupling,0.7398410045021764
full_reciprocal_positive_control,1,930001,counterphase,standard_ping,0.17505233638352857
full_reciprocal_positive_control,1,930001,counterphase,replay_only_basis,0.16367476374513606
full_reciprocal_positive_control,1,930001,counterphase,sensory_drive_only,0.9138278566281668
full_reciprocal_positive_control,1,930001,counterphase,generic_hidden_tuned,0.15150453367431407
full_reciprocal_positive_control,1,930001,counterphase,colored_noise_ar,0.1479356420206439
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,full_reciprocal,0.11966695941310435
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,eta_only,0.07188523838132115
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,zeta_only,0.08398680762249994
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,null_no_coupling,0.6052616358319861
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,standard_ping,0.07143462276555139
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,replay_only_basis,0.08854414218966532
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,sensory_drive_only,0.5035278494753875
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,generic_hidden_tuned,0.07972062762648599
full_reciprocal_positive_control,1,930001,lagged_E_to_Y,colored_noise_ar,0.077795939034702
full_reciprocal_positive_control,1,930001,recovery_probe,full_reciprocal,0.16703410016662978
full_reciprocal_positive_control,1,930001,recovery_probe,eta_only,0.11357187324732149
full_reciprocal_positive_control,1,930001,recovery_probe,zeta_only,0.15506656614874578
full_reciprocal_positive_control,1,930001,recovery_probe,null_no_coupling,0.7180118865645602
full_reciprocal_positive_control,1,930001,recovery_probe,standard_ping,0.20675086499834083
full_reciprocal_positive_control,1,930001,recovery_probe,replay_only_basis,0.23920258256212235
full_reciprocal_positive_control,1,930001,recovery_probe,sensory_drive_only,0.7012731823498604
full_reciprocal_positive_control,1,930001,recovery_probe,generic_hidden_tuned,0.2544380638329334
full_reciprocal_positive_control,1,930001,recovery_probe,colored_noise_ar,0.17883037883028083
full_reciprocal_positive_control,1,930001,lagged_Y_to_E,full_reciprocal,0.238555012397545
