condition,stimulus_file,time_sec,luminance_mean,luminance_std,visual_change_mean_abs,optical_flow_proxy_p90_absdiff,histogram_delta,edge_density,cut_score_z,cut_event,flash_event,audio_rms,audio_dbfs,audio_rms_derivative,cue_on,cue_impulse,cue_value,cue_index_active,cue_phase_sin,cue_phase_cos,cue_nominal_frequency_hz,als_start_pulse_regressor,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,audio_rms_z,audio_derivative_z
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,0.0,252.358154296875,4.57763671875e-05,0.0,0.0,0.0,0.0,-4.623765486643254,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,14.037894704007751,-3.570386553259396,-3.715805263531192,-1.9218025752070396,0.0,0.0
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,0.25,252.358154296875,4.57763671875e-05,0.0,0.0,0.0,0.0,-4.623765486643254,0.0,0.0,0.0,-240.0,,0.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,0.3333333333333333,1.0,14.037894704007751,-3.570386553259396,-3.715805263531192,-1.9218025752070396,-1.2343661602939189,0.0
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,0.5,252.358154296875,4.57763671875e-05,0.0,0.0,0.0,0.0,-4.623765486643254,0.0,0.0,0.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0.3333333333333333,1.0,14.037894704007751,-3.570386553259396,-3.715805263531192,-1.9218025752070396,-1.2343661602939189,0.0440064936540114
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,0.75,64.03588165283207,1.1615753173828132e-05,188.32227264404293,188.32230680465693,0.7462499999999999,0.0,29.867463942257235,1.0,1.0,0.0,-240.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.3333333333333333,0.0,-0.6591335505694236,19.66128830894153,8.152468791527673,16.12066312843441,-1.2343661602939189,0.0440064936540114
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,1.0,0.0,0.0,1.2617907714844705,1.2617910003663155,0.0050000000000004,0.0,-4.392668472044228,0.0,0.0,0.0,-240.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.3333333333333333,0.0,-5.656615519881265,-3.414730440279813,-3.636285839376687,-1.8009150328040706,-1.2343661602939189,0.0440064936540114
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,1.25,16.322693681716917,5.0237192630767815,16.322693681716917,22.8112765789032,0.24375,0.0,1.5051574436690585,0.0,0.0,0.0010555274881167,-59.530609037438765,0.0010555274881167,0.0,0.0,0.0,0.0,0.5000000000000003,-0.8660254037844385,0.3333333333333333,0.0,-4.382761467129686,-1.5567983187668162,-2.2782141115441243,3.9714651169371527,-1.0678335949978648,0.7607634963708568
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,1.5,67.77964963912964,21.42470149517059,44.52359143733979,70.38013895988465,0.556331031061709,0.0,10.19110589210635,1.0,1.0,0.0027301193105339,-51.27636746058737,0.0016745918224171,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.3333333333333333,0.0,-0.3669627780915599,1.922100264403645,0.7196266902387212,11.528895646303676,-0.8036300804987032,1.1811397553858718
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,1.75,70.3330804347992,23.87355308294296,28.12452863931656,59.198176932334896,0.0895233486033976,0.0,0.142882122381195,0.0,0.0,0.0033548375374361,-49.48657012312815,0.0006247182269022,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.3333333333333333,0.0,-0.1676881834131272,-0.1009089613218485,0.0149274325247624,0.2426489448625608,-0.7050671059817221,0.4682220341283781
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,2.0,71.96930526733398,25.427535400390624,30.79628980636597,59.37281616210938,0.0479210075363517,0.0,-0.2827648932395991,0.0,0.0,0.003203134785478,-49.88849572068519,-0.000151702751958,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.3333333333333333,0.0,-0.0399940861777032,0.2286828913618054,0.0259333843681514,-0.7631920090984038,-0.7290015356677918,-0.0590074126833272
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,2.25,73.87667582511902,23.689961738586423,28.28286195755005,56.74794213294983,0.0953606796078384,0.0007665364583333,0.2632204672657143,0.0,0.0,0.0030659385854129,-50.26873097429743,-0.000137196200065,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210294e-16,0.3333333333333333,0.0,0.1088607390436413,-0.0813767619839269,-0.1394889963718328,0.3837810647264478,-0.7506472392642696,-0.0491567240261303
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,2.5,75.53470754623413,26.95064616203308,27.31032016277313,53.527919912338255,0.084476557560265,0.0007109375,-0.0381550415647879,0.0,0.0,0.0030292514373984,-50.37329354438975,-3.66871480145187e-05,0.0,0.0,0.0,0.0,-0.866025403784439,0.4999999999999993,0.3333333333333333,0.0,0.2382566873299779,-0.2013507536363339,-0.3424182553960345,0.1206301116174501,-0.7564354398947944,0.0190940488857264
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,2.75,77.15558177947999,24.040205724239343,29.538961687088012,60.24874555587769,0.1101132238470018,0.0008064453124999,0.6646509212069567,0.0,0.0,0.0028053072661922,-51.04039126471504,-0.0002239441712062,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,0.3333333333333333,0.0,0.3647527946075152,0.0735772968292943,0.0811353956142605,0.7404608281791235,-0.7917675347326245,-0.1080630211021544
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,3.0,78.18707481384277,23.709266548156737,26.45061513900757,54.51401084899904,0.0747613669186831,0.0009491319444444,-0.3062099517190257,0.0,0.0,0.002654977152229,-51.51878423567479,-0.0001503301139631,0.0,0.0,0.0,0.0,-2.4492935982947064e-16,1.0,0.3333333333333333,0.0,0.4452524724076221,-0.3074050578304688,-0.2802737453904336,-0.1142589925099612,-0.8154854007298472,-0.0580753214719812
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,3.25,80.17776899337768,29.18930034637452,28.832854266166684,60.94243583202362,0.1566740810312331,0.0005437934027777,1.4006812788499936,0.0,0.0,0.0026446555301788,-51.55261774403607,-1.0321622050142934e-05,0.0,0.0,0.0,0.0,0.4999999999999993,0.866025403784439,0.3333333333333333,0.0,0.600610031511359,-0.0135290118952064,0.1248525019216359,1.8661863476144875,-0.8171138625343743,0.0369975858168163
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,3.5,81.74011827468873,25.182922492027284,30.203929524421696,60.80885054588318,0.0886479587107897,0.0019326822916666,0.3639166828646956,0.0,0.0,0.002655890521407,-51.51579661691207,1.1234991228130547e-05,0.0,0.0,0.0,0.0,0.8660254037844384,0.5000000000000004,0.3333333333333333,0.0,0.7225387402538885,0.1556085742446672,0.1164338137028116,0.2214841983102096,-0.815341296749624,0.0516356257504121
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,3.75,82.77880444526673,30.370373928546904,32.84542533159256,67.22552402019501,0.0979971811175346,0.0004059244791666,0.8281055988004657,0.0,0.0,0.002581448631755,-51.7627302477642,-7.444188965199678e-05,0.0,0.0,0.0,0.0,1.0,1.1943401194869637e-15,0.3333333333333333,0.0,0.8035997840820805,0.4814668536742704,0.5208194683133057,0.4475251023362211,-0.8270861342728523,-0.0065433464062793
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,4.0,83.63725952148437,20.801989173889183,32.377539520263674,67.57776504516602,0.216089560985565,0.0,2.845298173287865,0.0,0.0,0.0024947432020381,-52.05948303883378,-8.670542971682058e-05,0.0,0.0,0.0,0.0,0.8660254037844392,-0.4999999999999992,0.3333333333333333,0.0,0.8705952505944422,0.4237478654270587,0.543018076055123,3.302704618088766,-0.8407658136733394,-0.0148709156250059
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,4.25,84.77871480941772,26.61050462007522,28.464196734428405,59.99102072238922,0.1169266129937023,0.0,0.6619254559760223,0.0,0.0,0.0025690591702936,-51.80451785651529,7.431596825543691e-05,1.0,1.0,8.0,1.0,0.5000000000000013,-0.8660254037844379,0.3333333333333333,0.0,0.9596765917579602,-0.0590070734786785,0.0648932997811401,0.9051916020550456,-0.8290408430066646,0.0944708266632853
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,4.5,85.5925643157959,25.73219202518464,26.53830969333649,54.24992355346681,0.143767974693328,0.0,0.9135741835925496,0.0,0.0,0.0026833359540521,-51.42649900059533,0.0001142767837584,1.0,0.0,8.0,1.0,3.673940397442059e-16,-1.0,0.3333333333333333,0.0,1.0231909547819351,-0.2965869461713886,-0.2969168104155818,1.554148852178372,-0.8110111790070694,0.1216062586331188
control,C:\Users\hoytb\Desktop\PRAYCGStimulus\Contact\CETPREP2\Cetfixed_Contact_MediaPrep_v1_7A_20260816_220011\stimulus_control_cued_phase_scrambled_Cetfixed_Contact_v1_7A.mp4,4.75,86.32205769538879,26.407195239067075,29.535699098110197,61.691950635910025,0.1566894399747253,0.0,1.480848427331958,0.0,0.0,0.0028175058872466,-51.00270335315899,0.0001341699331945,1.0,0.0,8.0,1.0,-0.4999999999999991,-0.8660254037844392,0.3333333333333333,0.0,1.0801220052672316,0.0731748197070846,0.1720877299293017,1.866557688601023,-0.7898429352502424,0.1351147217711365
