condition,phase_time_sec,NIP_resid
CONTROL_1,1.0,-0.00022713090923435233
CONTROL_1,2.0,-0.0005560651813692367
CONTROL_1,3.0,-0.0004511803241103669
CONTROL_1,4.0,5.651431586886407e-05
CONTROL_1,5.0,0.005813557315347351
CONTROL_1,6.0,-0.0004949501741824297
CONTROL_1,7.0,-2.4667336795534576e-05
CONTROL_1,8.0,-0.0014300596539330056
CONTROL_1,9.0,-0.00022491219401684433
CONTROL_1,10.0,-0.0003877772036850154
CONTROL_1,11.0,-0.0009558191414432901
CONTROL_1,12.0,-0.0004848500447044146
CONTROL_1,13.0,-0.00016874393679768555
CONTROL_1,14.0,0.015568276225306085
CONTROL_1,15.0,-0.0004177712472165527
CONTROL_1,16.0,-0.0002977767883917099
CONTROL_1,17.0,-0.001269149119676891
CONTROL_1,18.0,0.00027646477570835484
CONTROL_1,19.0,-5.3767252927954814e-05
CONTROL_1,20.0,-0.0011425091244033655
CONTROL_1,21.0,-0.00015649631485791372
CONTROL_1,22.0,-0.00021561204809119895
CONTROL_1,23.0,-0.0009249227780248797
CONTROL_1,24.0,-0.00014938543582380508
CONTROL_1,25.0,0.00035940303954391106
CONTROL_1,26.0,-0.00044349081942416074
CONTROL_1,27.0,2.4886262065598665e-06
CONTROL_1,28.0,5.6154065085679784e-05
CONTROL_1,29.0,-0.0011364056618072842
CONTROL_1,30.0,-0.0002912060452475946
CONTROL_1,31.0,3.0156483553661997e-05
CONTROL_1,32.0,-0.0004557181256632963
CONTROL_1,33.0,-0.00015996778919074063
CONTROL_1,34.0,0.00017002239457381983
CONTROL_1,35.0,-0.000774542509173708
CONTROL_1,36.0,-0.00024140045267377782
CONTROL_1,37.0,3.300319539357462e-05
CONTROL_1,38.0,-0.0005311158689577608
CONTROL_1,39.0,-4.889552547852156e-05
CONTROL_1,40.0,-0.00015180143336520003
CONTROL_1,41.0,-0.0011237661887222158
CONTROL_1,42.0,0.0002456159123480828
CONTROL_1,43.0,0.00015478824549613064
CONTROL_1,44.0,-0.00143734823721785
CONTROL_1,45.0,-0.0006056483569523303
CONTROL_1,46.0,-0.00041376114505365156
CONTROL_1,47.0,-0.0011703313784455444
CONTROL_1,48.0,-0.0003970553327786914
CONTROL_1,49.0,-0.000310310839123998
CONTROL_1,50.0,-0.001086765435568198
CONTROL_1,51.0,-0.0004796118404647494
CONTROL_1,52.0,0.00010703224543437819
CONTROL_1,53.0,-0.0006067139980198491
CONTROL_1,54.0,-0.00033151440253363
CONTROL_1,55.0,-0.00011246024896029688
CONTROL_1,56.0,-0.0008084153930888586
CONTROL_1,57.0,0.014876037461429388
CONTROL_1,58.0,0.003285764253803506
CONTROL_1,59.0,-0.0003851311644529451
CONTROL_1,60.0,-0.00016745004514086897
CONTROL_1,61.0,-1.2010151087984234e-05
CONTROL_1,62.0,-0.0005609012196951781
CONTROL_1,63.0,-0.00019527036132320117
CONTROL_1,64.0,-1.2990979785000144e-05
