seed,eta_true,zeta_true,K_true,eta_hat,zeta_hat,K_hat,K_loop_hat,eta_pct_error,zeta_pct_error,K_pct_error,K_lock_15_pass,K_lock_10_pass,directional_20_pass,directional_15_pass,full_cv_fold_wins,full_cv_win_rate,cv_winners_pipe,locked_spec_sha256
910001,4.0,180.0,26.832815729997478,4.0,180.0,26.832815729997478,720.0,0.0,0.0,0.0,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910002,4.0,180.0,26.832815729997478,4.0,180.0,26.832815729997478,720.0,0.0,0.0,0.0,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910003,4.0,180.0,26.832815729997478,3.75,180.0,25.98076211353316,675.0,0.0625,0.0,0.0317541634481458,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910004,4.0,180.0,26.832815729997478,4.25,170.0,26.879360111431225,722.5,0.0625,0.05555555555555555,0.0017346066809423133,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910005,4.0,180.0,26.832815729997478,3.75,180.0,25.98076211353316,675.0,0.0625,0.0,0.0317541634481458,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910006,4.0,180.0,26.832815729997478,3.75,175.0,25.617376914898998,656.25,0.0625,0.027777777777777776,0.04529673021753332,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910007,4.0,180.0,26.832815729997478,3.75,195.0,27.04163456597992,731.25,0.0625,0.08333333333333333,0.007782218537318635,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910008,4.0,180.0,26.832815729997478,4.0,170.0,26.076809620810597,680.0,0.0,0.05555555555555555,0.0281746841924499,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910009,4.0,180.0,26.832815729997478,4.0,195.0,27.92848008753788,780.0,0.0,0.08333333333333333,0.04083299973306628,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910010,4.0,180.0,26.832815729997478,4.0,170.0,26.076809620810597,680.0,0.0,0.05555555555555555,0.0281746841924499,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|zeta_only,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910011,4.0,180.0,26.832815729997478,4.25,190.0,28.416544476765644,807.5,0.0625,0.05555555555555555,0.05902208559490283,True,True,True,True,6,1.0,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910012,4.0,180.0,26.832815729997478,4.0,185.0,27.202941017470888,740.0,0.0,0.027777777777777776,0.013793755049703278,True,True,True,True,4,0.6666666666666666,full_reciprocal|full_reciprocal|zeta_only|full_reciprocal|full_reciprocal|zeta_only,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
910013,4.0,180.0,26.832815729997478,3.75,185.0,26.339134382131846,693.75,0.0625,0.027777777777777776,0.01839841755085456,True,True,True,True,5,0.8333333333333334,full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|full_reciprocal|replay_only_basis,d93f6146e4e77ffeffbdd5c133250fd6d474317d8af6c34c3354dd6b28756282
