generator,winning_model,wins,total_folds,win_rate
colored_noise_null,eta_only,53,360,0.14722222222222223
colored_noise_null,full_reciprocal,296,360,0.8222222222222222
colored_noise_null,generic_hidden_oscillator,1,360,0.002777777777777778
colored_noise_null,replay_only_basis,7,360,0.019444444444444445
colored_noise_null,standard_ping,2,360,0.005555555555555556
colored_noise_null,zeta_only,1,360,0.002777777777777778
full_reciprocal_positive_control,eta_only,50,360,0.1388888888888889
full_reciprocal_positive_control,full_reciprocal,263,360,0.7305555555555555
full_reciprocal_positive_control,standard_ping,2,360,0.005555555555555556
full_reciprocal_positive_control,zeta_only,45,360,0.125
generic_hidden_oscillator_null,full_reciprocal,314,360,0.8722222222222222
generic_hidden_oscillator_null,generic_hidden_oscillator,46,360,0.12777777777777777
replay_only_null,eta_only,62,360,0.17222222222222222
replay_only_null,full_reciprocal,30,360,0.08333333333333333
replay_only_null,generic_hidden_oscillator,1,360,0.002777777777777778
replay_only_null,replay_only_basis,166,360,0.46111111111111114
replay_only_null,standard_ping,4,360,0.011111111111111112
replay_only_null,zeta_only,97,360,0.26944444444444443
sensory_drive_only_null,eta_only,2,360,0.005555555555555556
sensory_drive_only_null,full_reciprocal,40,360,0.1111111111111111
sensory_drive_only_null,generic_hidden_oscillator,14,360,0.03888888888888889
sensory_drive_only_null,sensory_drive_only,276,360,0.7666666666666667
sensory_drive_only_null,standard_ping,18,360,0.05
sensory_drive_only_null,zeta_only,10,360,0.027777777777777776
standard_ping_null,eta_only,175,360,0.4861111111111111
standard_ping_null,full_reciprocal,144,360,0.4
standard_ping_null,sensory_drive_only,8,360,0.022222222222222223
standard_ping_null,standard_ping,26,360,0.07222222222222222
standard_ping_null,zeta_only,7,360,0.019444444444444445
