generator,winning_model,wins,total_folds,win_rate
colored_noise_null,colored_noise_ar,61,120,0.5083333333333333
colored_noise_null,eta_only,44,120,0.36666666666666664
colored_noise_null,full_reciprocal,7,120,0.058333333333333334
colored_noise_null,generic_hidden_tuned,2,120,0.016666666666666666
colored_noise_null,replay_only_basis,6,120,0.05
full_reciprocal_positive_control,colored_noise_ar,8,120,0.06666666666666667
full_reciprocal_positive_control,eta_only,36,120,0.3
full_reciprocal_positive_control,full_reciprocal,72,120,0.6
full_reciprocal_positive_control,standard_ping,1,120,0.008333333333333333
full_reciprocal_positive_control,zeta_only,3,120,0.025
generic_hidden_oscillator_null,colored_noise_ar,7,120,0.058333333333333334
generic_hidden_oscillator_null,generic_hidden_tuned,113,120,0.9416666666666667
replay_only_null,eta_only,32,120,0.26666666666666666
replay_only_null,full_reciprocal,5,120,0.041666666666666664
replay_only_null,generic_hidden_tuned,2,120,0.016666666666666666
replay_only_null,replay_only_basis,52,120,0.43333333333333335
replay_only_null,standard_ping,4,120,0.03333333333333333
replay_only_null,zeta_only,25,120,0.20833333333333334
sensory_drive_only_null,colored_noise_ar,4,120,0.03333333333333333
sensory_drive_only_null,eta_only,1,120,0.008333333333333333
sensory_drive_only_null,generic_hidden_tuned,3,120,0.025
sensory_drive_only_null,sensory_drive_only,107,120,0.8916666666666667
sensory_drive_only_null,standard_ping,4,120,0.03333333333333333
sensory_drive_only_null,zeta_only,1,120,0.008333333333333333
standard_ping_null,eta_only,79,120,0.6583333333333333
standard_ping_null,full_reciprocal,25,120,0.20833333333333334
standard_ping_null,standard_ping,13,120,0.10833333333333334
standard_ping_null,zeta_only,3,120,0.025
