channel_index,raw_name,montage_name,role,notes
1,Ch1,Fz,midline_frontal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
2,Ch2,Cz,midline_central,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
3,Ch3,F7,left_frontal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
4,Ch4,F8,right_frontal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
5,Ch5,P3,left_parietal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
6,Ch6,P4,right_parietal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
7,Ch7,P7,left_posterior,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
8,Ch8,P8,right_posterior,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
9,Ch9,CP5,left_centroparietal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
10,Ch10,CP6,right_centroparietal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
11,Ch11,T7,left_temporal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
12,Ch12,T8,right_temporal,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
13,Ch13,O1,left_occipital,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
14,Ch14,O2,right_occipital,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
15,Ch15,PO7,left_parieto_occipital,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
16,Ch16,PO8,right_parieto_occipital,EDIT_THIS_TO_MATCH_YOUR_ACTUAL_WIRING
