condition,time_sec,luminance_z,visual_change_z,optical_flow_z,histogram_delta_z,cut_event,flash_event,audio_rms_z,audio_derivative_z,cue_on,cue_impulse,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse_regressor
control,0.0,14.037894704007751,-3.570386553259396,-3.715805263531192,-1.9218025752070396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
control,0.25,14.037894704007751,-3.570386553259396,-3.715805263531192,-1.9218025752070396,0.0,0.0,-1.2343661602939189,0.0,0.0,0.0,0.0,0.4999999999999999,0.8660254037844387,1.0
control,0.5,14.037894704007751,-3.570386553259396,-3.715805263531192,-1.9218025752070396,0.0,0.0,-1.2343661602939189,0.0440064936540114,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1.0
control,0.75,-0.6591335505694236,19.66128830894153,8.152468791527673,16.12066312843441,1.0,1.0,-1.2343661602939189,0.0440064936540114,0.0,0.0,0.0,1.0,6.123233995736766e-17,0.0
control,1.0,-5.656615519881265,-3.414730440279813,-3.636285839376687,-1.8009150328040706,0.0,0.0,-1.2343661602939189,0.0440064936540114,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0.0
control,1.25,-4.382761467129686,-1.5567983187668162,-2.2782141115441243,3.9714651169371527,0.0,0.0,-1.0678335949978648,0.7607634963708568,0.0,0.0,0.0,0.5000000000000003,-0.8660254037844385,0.0
control,1.5,-0.3669627780915599,1.922100264403645,0.7196266902387212,11.528895646303676,1.0,1.0,-0.8036300804987032,1.1811397553858718,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0.0
control,1.75,-0.1676881834131272,-0.1009089613218485,0.0149274325247624,0.2426489448625608,0.0,0.0,-0.7050671059817221,0.4682220341283781,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.0
control,2.0,-0.0399940861777032,0.2286828913618054,0.0259333843681514,-0.7631920090984038,0.0,0.0,-0.7290015356677918,-0.0590074126833272,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.0
control,2.25,0.1088607390436413,-0.0813767619839269,-0.1394889963718328,0.3837810647264478,0.0,0.0,-0.7506472392642696,-0.0491567240261303,0.0,0.0,0.0,-1.0,-1.8369701987210294e-16,0.0
