anchor_id,annotation_id,scene_label,condition,condition_label,anchor_offset_sec,anchor_time_lsl,pre_start_lsl,pre_end_lsl,peak_start_lsl,peak_end_lsl,post_start_lsl,post_end_lsl,claim_level,needs_manual_rendered_time_lock
CONTACT_A1_PENSACOLA_REALIZATION,ANN_CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTROL_1,Control,28.007354,1413.5053005,1398.5053005,1413.5053005,1413.5053005,1418.5053005,1423.5053005,1443.5053005,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
CONTACT_A1_PENSACOLA_REALIZATION,ANN_CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,TARGET_1,Target,28.007354,1917.2144615,1902.2144615,1917.2144615,1917.2144615,1922.2144615,1927.2144615,1947.2144615,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
CONTACT_A1_PENSACOLA_REALIZATION,ANN_CONTACT_A1_PENSACOLA_REALIZATION,Pensacola realization,CONTEXTUAL_OVERRIDE_1,Override,28.007354,2452.2293419,2437.2293419,2452.2293419,2452.2293419,2457.2293419,2462.2293419,2482.2293419,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
CONTACT_A2_AVATAR_FATHER_RECOGNITION,ANN_CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTROL_1,Control,161.007354,1546.5053005,1531.5053005,1546.5053005,1546.5053005,1551.5053005,1556.5053005,1576.5053005,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
CONTACT_A2_AVATAR_FATHER_RECOGNITION,ANN_CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,TARGET_1,Target,161.007354,2050.2144614999997,2035.2144615,2050.2144614999997,2050.2144614999997,2055.2144614999997,2060.2144614999997,2080.2144614999997,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
CONTACT_A2_AVATAR_FATHER_RECOGNITION,ANN_CONTACT_A2_AVATAR_FATHER_RECOGNITION,Father/avatar recognition,CONTEXTUAL_OVERRIDE_1,Override,161.007354,2585.2293419,2570.2293419,2585.2293419,2585.2293419,2590.2293419,2595.2293419,2615.2293419,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,ANN_CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTROL_1,Control,166.007354,1551.5053005,1536.5053005,1551.5053005,1551.5053005,1556.5053005,1561.5053005,1581.5053005,future_freeze_candidate_not_runner_registered,True
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,ANN_CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,TARGET_1,Target,166.007354,2055.2144614999997,2040.2144615,2055.2144614999997,2055.2144614999997,2060.2144614999997,2065.2144614999997,2085.2144614999997,future_freeze_candidate_not_runner_registered,True
CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,ANN_CONTACT_A2B_AVATAR_FATHER_RECOGNITION_TSP_CLUSTER,Father/avatar recognition TSP follow-through,CONTEXTUAL_OVERRIDE_1,Override,166.007354,2590.2293419,2575.2293419,2590.2293419,2590.2293419,2595.2293419,2600.2293419,2620.2293419,future_freeze_candidate_not_runner_registered,True
CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,ANN_CONTACT_A3_EXISTENTIAL_PAYLOAD_ONSET,Existential payload onset,CONTROL_1,Control,263.007354,1648.5053005,1633.5053005,1648.5053005,1648.5053005,1653.5053005,1683.5053005,1713.5053005,conceptually_predeclared_future_freeze_candidate_not_runner_registered,True
