cue_index,value,start_sec,end_sec,duration_sec,contrast_pre_badge_0_1,pre_badge_background_luminance,badge_x1,badge_y1,badge_x2,badge_y2
1,8.0,4.251251,5.101251,0.8500000000000005,0.20902427392409773,166.8277587890625,1183,32,1235,79
2,9.0,7.251251,8.101251,0.8499999999999996,0.20802913762389963,167.1752471923828,1183,32,1235,78
3,1.0,10.251251,11.101251,0.8499999999999996,0.2015425646908002,169.45437622070312,1183,32,1235,78
4,7.0,13.251251,14.101251,0.8499999999999996,0.20107356942234825,169.6201171875,1183,32,1235,78
5,7.0,16.251251,17.101251,0.8500000000000014,0.1885906761426863,174.07958984375,1183,32,1235,78
6,3.0,19.251251,20.101251,0.8500000000000014,0.10815812472978097,205.22312927246094,1183,32,1235,79
7,8.0,22.251251,23.101251,0.8500000000000014,0.11529823094656194,202.27679443359375,1183,32,1235,79
8,4.0,25.251251,26.101251,0.8500000000000014,0.12070398054991271,200.07110595703125,1183,32,1235,78
9,9.0,28.251251,29.101251,0.8500000000000014,0.9806419268871689,2.492276668548584,1183,32,1235,78
10,5.0,31.251251,32.101251,0.8499999999999979,0.982960962936424,2.1911442279815674,1183,32,1235,79
11,1.0,34.251251,35.101251,0.8499999999999943,0.12218413203779671,199.4708709716797,1183,32,1235,78
12,4.0,37.251251,38.101251,0.8499999999999943,0.12471990801195072,198.44622802734375,1183,32,1235,78
13,10.0,40.251251,41.101251,0.8499999999999943,0.1229297683060871,199.16909790039062,1168,32,1235,79
14,10.0,43.251251,44.101251,0.8499999999999943,0.12105581948141743,199.92828369140625,1168,32,1235,79
15,6.0,46.251251,47.101251,0.8499999999999943,0.5115059951836983,82.41182708740234,1183,32,1235,79
16,6.0,49.251251,50.101251,0.8499999999999943,0.12653945729806923,197.71383666992188,1183,32,1235,79
17,4.0,52.251251,53.101251,0.8499999999999943,0.15379030998908663,187.02139282226562,1183,32,1235,78
18,6.0,55.251251,56.101251,0.8499999999999943,0.7334175347241054,39.21647644042969,1183,32,1235,79
19,3.0,58.251251,59.101251,0.8499999999999943,0.4305656349624049,101.5023422241211,1183,32,1235,79
20,4.0,61.251251,62.101251,0.8499999999999943,0.42383879863870927,103.18661499023438,1183,32,1235,78
21,7.0,64.251251,65.101251,0.8500000000000085,0.41040201417838557,106.59902954101562,1183,32,1235,78
22,5.0,67.251251,68.101251,0.8500000000000085,0.4178743217090578,104.69337463378906,1183,32,1235,79
23,9.0,70.251251,71.101251,0.8500000000000085,0.4222959963551865,103.57514953613281,1183,32,1235,78
24,3.0,73.251251,74.101251,0.8500000000000085,0.25231445937449243,152.24595642089844,1183,32,1235,79
25,5.0,76.251251,77.101251,0.8500000000000085,0.23783799160691882,157.00868225097656,1183,32,1235,79
26,3.0,79.251251,80.101251,0.8500000000000085,0.9078278741873954,12.31971263885498,1183,32,1235,79
27,2.0,82.251251,83.101251,0.8500000000000085,0.9042631616708429,12.820125579833984,1183,32,1235,78
28,9.0,85.251251,86.101251,0.8500000000000085,0.9895966435763718,1.3333631753921509,1183,32,1235,78
29,1.0,88.251251,89.101251,0.8500000000000085,0.9916927308434278,1.063594102859497,1183,32,1235,78
30,5.0,91.251251,92.101251,0.8500000000000085,0.9864903427666996,1.7341949939727783,1183,32,1235,79
31,5.0,94.251251,95.101251,0.8500000000000085,0.24585000638472984,154.35906982421875,1183,32,1235,79
32,8.0,97.251251,98.101251,0.8500000000000085,0.2473480651325578,153.867431640625,1183,32,1235,79
33,7.0,100.251251,101.101251,0.8500000000000085,0.9497025451358679,6.578362464904785,1183,32,1235,78
34,1.0,103.251251,104.101251,0.8500000000000085,0.433586053818818,100.75122833251953,1183,32,1235,78
35,2.0,106.251251,107.101251,0.8500000000000085,0.6838260760949789,47.88163757324219,1183,32,1235,78
36,6.0,109.251251,110.101251,0.8500000000000085,0.34616535106115187,123.8539047241211,1183,32,1235,79
37,9.0,112.251251,113.101251,0.8500000000000085,0.16199765174159653,183.8993377685547,1183,32,1235,78
38,7.0,115.251251,116.101251,0.8500000000000085,0.1307835945623697,196.01467895507812,1183,32,1235,78
39,10.0,118.251251,119.101251,0.8500000000000085,0.3337821384190705,127.37129211425781,1168,32,1235,79
40,2.0,121.251251,122.101251,0.8500000000000085,0.14430216176193772,190.6864776611328,1183,32,1235,78
41,2.0,124.251251,125.101251,0.8500000000000085,0.1420521533477137,191.56454467773438,1183,32,1235,78
42,5.0,127.251251,128.101251,0.8499999999999943,0.268610488979925,147.0146484375,1183,32,1235,79
43,4.0,130.251251,131.101251,0.8499999999999943,0.5547019337183534,73.03715515136719,1183,32,1235,78
44,5.0,133.251251,134.101251,0.8499999999999943,0.2600446122149277,149.74757385253906,1183,32,1235,79
45,7.0,136.251251,137.101251,0.8499999999999943,0.26639479107653313,147.718017578125,1183,32,1235,78
46,10.0,139.251251,140.101251,0.8499999999999943,0.2250819208676282,161.29869079589844,1168,32,1235,79
47,2.0,142.251251,143.101251,0.8499999999999943,0.2630035279210142,148.79934692382812,1183,32,1235,78
48,9.0,145.251251,146.101251,0.8499999999999943,0.27052806468195334,146.40789794921875,1183,32,1235,78
49,3.0,148.251251,149.101251,0.8499999999999943,0.2872346305858101,141.1981658935547,1183,32,1235,79
50,1.0,151.251251,152.101251,0.8499999999999943,0.2240118182288294,161.6626434326172,1183,32,1235,78
51,5.0,154.251251,155.101251,0.8499999999999943,0.35934098747782084,120.18180084228516,1183,32,1235,79
52,7.0,157.251251,158.101251,0.8499999999999943,0.9102297592485347,11.983590126037598,1183,32,1235,78
53,10.0,160.251251,161.101251,0.8499999999999943,0.7453289214764424,37.20853042602539,1168,32,1235,79
54,6.0,163.251251,164.101251,0.8499999999999943,0.6663986191584343,51.04922103881836,1183,32,1235,79
55,9.0,166.251251,167.101251,0.8499999999999943,0.506683442280148,83.49180603027344,1183,32,1235,78
56,9.0,169.251251,170.101251,0.8499999999999943,0.22942393209276035,159.82843017578125,1183,32,1235,78
57,2.0,172.251251,173.101251,0.8499999999999943,0.5856242440071447,66.63988494873047,1183,32,1235,78
58,9.0,175.251251,176.101251,0.8499999999999943,0.5848831178084047,66.79029083251953,1183,32,1235,78
59,1.0,178.251251,179.101251,0.8499999999999943,0.5858316608503733,66.59781646728516,1183,32,1235,78
60,10.0,181.251251,182.101251,0.8499999999999943,0.6065902011693356,62.4424934387207,1168,32,1235,79
61,6.0,184.251251,185.101251,0.8499999999999943,0.5896096569570245,65.83348083496094,1183,32,1235,79
62,3.0,187.251251,188.101251,0.8499999999999943,0.500988948414471,84.77598571777344,1183,32,1235,79
63,2.0,190.251251,191.101251,0.8499999999999943,0.5850636550666453,66.7536392211914,1183,32,1235,78
64,1.0,193.251251,194.101251,0.8499999999999943,0.5854183102782922,66.6816635131836,1183,32,1235,78
65,3.0,196.251251,197.101251,0.8499999999999943,0.698472751824116,45.26975631713867,1183,32,1235,79
66,2.0,199.251251,200.101251,0.8499999999999943,0.9999999960784314,0.0,1183,32,1235,78
