condition,phase_time_sec,NIP_resid
TARGET_1,1.0,0.08898473296369747
TARGET_1,2.0,-0.033071579724962885
TARGET_1,3.0,-0.05664554401012683
TARGET_1,4.0,-0.006076860995666025
TARGET_1,5.0,0.011883981503976196
TARGET_1,6.0,-0.024182628234843108
TARGET_1,7.0,1.0785023537050447
TARGET_1,8.0,0.07202580169556994
TARGET_1,9.0,-0.0026622482381206264
TARGET_1,10.0,-0.06493997608696164
TARGET_1,11.0,0.14835281747165513
TARGET_1,12.0,-0.0335219487183574
TARGET_1,13.0,-0.10157577712464658
TARGET_1,14.0,-0.10544618776797535
TARGET_1,15.0,-0.025946245441875654
TARGET_1,16.0,-0.17016212969965827
TARGET_1,17.0,-0.004441163691849145
TARGET_1,18.0,-0.09590066132148536
TARGET_1,19.0,-0.15837753625044892
TARGET_1,20.0,-0.029218024187949374
TARGET_1,21.0,-0.028263264709304146
TARGET_1,22.0,-0.10117117815003082
TARGET_1,23.0,0.006477908215611172
TARGET_1,24.0,-0.032852150487741705
TARGET_1,25.0,-0.07928143349087
TARGET_1,26.0,-0.0007794783410601525
TARGET_1,27.0,0.0005491294524386098
TARGET_1,28.0,-0.041203337762011176
TARGET_1,29.0,0.04397518769983323
TARGET_1,30.0,0.018315583272533062
TARGET_1,31.0,-0.06374403450328958
TARGET_1,32.0,0.05500332806992518
TARGET_1,33.0,0.0036261409265342937
TARGET_1,34.0,-0.08416339591215097
TARGET_1,35.0,-0.015525603445461215
TARGET_1,36.0,-0.1336003499050252
TARGET_1,37.0,-0.0851972048042039
TARGET_1,38.0,-0.0018137879335771157
TARGET_1,39.0,0.0010682973647350852
TARGET_1,40.0,-0.06069043849122283
TARGET_1,41.0,0.022063081073446303
TARGET_1,42.0,-0.0015289702016927503
TARGET_1,43.0,0.06819422038818877
TARGET_1,44.0,0.026875908646255123
TARGET_1,45.0,-0.004854091783939488
TARGET_1,46.0,-0.11637633607366882
TARGET_1,47.0,-0.008810246469360947
TARGET_1,48.0,-0.021184820033542093
TARGET_1,49.0,-0.10631536804001893
TARGET_1,50.0,-0.013981988492018073
TARGET_1,51.0,-0.04209696819802734
TARGET_1,52.0,-0.15148464078808754
TARGET_1,53.0,0.051669385503908455
TARGET_1,54.0,0.0009703367113892136
TARGET_1,55.0,-0.075904531807313
TARGET_1,56.0,-0.018470739172017935
TARGET_1,57.0,-0.03876789601365923
TARGET_1,58.0,-0.08908129814985925
TARGET_1,59.0,0.024298593540376556
TARGET_1,60.0,0.024737902904080025
TARGET_1,61.0,-0.058399665010269844
TARGET_1,62.0,0.01276678083410221
TARGET_1,63.0,0.02838335836174126
TARGET_1,64.0,-0.06211895984035268
TARGET_1,65.0,0.02812992740036084
TARGET_1,66.0,-0.007402844372465564
TARGET_1,67.0,-0.04791117241774055
TARGET_1,68.0,0.017458285400109824
TARGET_1,69.0,0.023187772477157545
TARGET_1,70.0,-0.05501801838777219
TARGET_1,71.0,0.039286540879197404
TARGET_1,72.0,-0.015206596222597783
TARGET_1,73.0,-0.10452569896650478
TARGET_1,74.0,-0.06317526699600384
TARGET_1,75.0,0.00013521962356946582
TARGET_1,76.0,-0.12549214573574524
TARGET_1,77.0,-0.10111486037654119
TARGET_1,78.0,0.03453999544729304
TARGET_1,79.0,-0.06856852748379666
TARGET_1,80.0,0.0247743773805284
TARGET_1,81.0,0.026283720261380636
TARGET_1,82.0,-0.02301720286319451
TARGET_1,83.0,-0.0631249723160219
