condition,roi_group,band_hz,log10_power,z_by_band_roi
BASELINE_1,artifact_jaw_temporal,25-30,0.49766277701377404,2.2398604006669225
CONTROL_1,artifact_jaw_temporal,25-30,0.030988403969856086,-0.39317670924006615
WASHOUT_1,artifact_jaw_temporal,25-30,-0.11886121213872528,-1.238647604814783
TARGET_1,artifact_jaw_temporal,25-30,-0.0017171977953428193,-0.5777059401637965
WASHOUT_2,artifact_jaw_temporal,25-30,0.1356750715325123,0.19747899530840196
CONTEXTUAL_OVERRIDE_1,artifact_jaw_temporal,25-30,0.1635058526441057,0.3545038582477425
WASHOUT_3,artifact_jaw_temporal,25-30,-0.05010628368438999,-0.8507234149166847
BASELINE_2_REFLECTION,artifact_jaw_temporal,25-30,0.14824681829908795,0.268410414912263
BASELINE_1,artifact_jaw_temporal,30-35,0.4590451707583251,2.0767940385218626
CONTROL_1,artifact_jaw_temporal,30-35,-0.02334361421686573,-0.4878112963564987
WASHOUT_1,artifact_jaw_temporal,30-35,-0.21629524645414042,-1.513632793086884
TARGET_1,artifact_jaw_temporal,30-35,0.014445882334192741,-0.28690458484952136
WASHOUT_2,artifact_jaw_temporal,30-35,0.17107899021987358,0.545830579428509
CONTEXTUAL_OVERRIDE_1,artifact_jaw_temporal,30-35,0.09788328785825245,0.15668784930380983
WASHOUT_3,artifact_jaw_temporal,30-35,-0.08354519192862114,-0.8078711571503242
BASELINE_2_REFLECTION,artifact_jaw_temporal,30-35,0.12801973656000545,0.31690736418904647
BASELINE_1,artifact_jaw_temporal,35-40,0.427046593663978,2.060590553275712
CONTROL_1,artifact_jaw_temporal,35-40,-0.08313322594269204,-0.5407147772084293
WASHOUT_1,artifact_jaw_temporal,35-40,-0.26268991147284115,-1.4562385694935582
TARGET_1,artifact_jaw_temporal,35-40,-0.010802283704383039,-0.17191370281761106
WASHOUT_2,artifact_jaw_temporal,35-40,0.1754253756132235,0.7776240567118743
CONTEXTUAL_OVERRIDE_1,artifact_jaw_temporal,35-40,0.02565351293862098,0.01396714642414202
WASHOUT_3,artifact_jaw_temporal,35-40,-0.13947659852704067,-0.8279984168359578
BASELINE_2_REFLECTION,artifact_jaw_temporal,35-40,0.051290239244665664,0.14468370994382765
BASELINE_1,artifact_jaw_temporal,40-45,0.3737383538436661,1.9989286861874442
CONTROL_1,artifact_jaw_temporal,40-45,-0.10531768985940203,-0.3447444416087139
WASHOUT_1,artifact_jaw_temporal,40-45,-0.3564652147250429,-1.573426790734769
TARGET_1,artifact_jaw_temporal,40-45,-0.06137635897651973,-0.12977143846329697
WASHOUT_2,artifact_jaw_temporal,40-45,0.09837916929323202,0.6517962790181445
CONTEXTUAL_OVERRIDE_1,artifact_jaw_temporal,40-45,-0.0768367459246143,-0.20540787789842613
WASHOUT_3,artifact_jaw_temporal,40-45,-0.2084779235980025,-0.8494325064986467
BASELINE_2_REFLECTION,artifact_jaw_temporal,40-45,0.05755189458779713,0.45205808999826397
BASELINE_1,artifact_jaw_temporal,45-50,0.2930869428495355,1.9125879289163283
CONTROL_1,artifact_jaw_temporal,45-50,-0.17597394848122186,-0.42332126385605057
WASHOUT_1,artifact_jaw_temporal,45-50,-0.4164429596641349,-1.6208497386888825
TARGET_1,artifact_jaw_temporal,45-50,-0.12013108144835741,-0.14522545825018213
WASHOUT_2,artifact_jaw_temporal,45-50,0.059761463923465055,0.750634030809097
CONTEXTUAL_OVERRIDE_1,artifact_jaw_temporal,45-50,-0.10475612424140324,-0.06865863176350932
WASHOUT_3,artifact_jaw_temporal,45-50,-0.2636551331436404,-0.8599709378568849
BASELINE_2_REFLECTION,artifact_jaw_temporal,45-50,0.0003575002740577633,0.45480407069008383
BASELINE_1,artifact_jaw_temporal,50-55,0.21749908892757971,1.927312497085294
CONTROL_1,artifact_jaw_temporal,50-55,-0.2131523505535927,-0.3899300029456111
WASHOUT_1,artifact_jaw_temporal,50-55,-0.43057719691438157,-1.559846200501794
TARGET_1,artifact_jaw_temporal,50-55,-0.16751415641941766,-0.1443607249239711
WASHOUT_2,artifact_jaw_temporal,50-55,0.008896074477372411,0.8048646740826858
CONTEXTUAL_OVERRIDE_1,artifact_jaw_temporal,50-55,-0.17800533818084557,-0.20081151092951205
WASHOUT_3,artifact_jaw_temporal,50-55,-0.3056884480290587,-0.887846782500523
BASELINE_2_REFLECTION,artifact_jaw_temporal,50-55,-0.056939425397039216,0.4506180506334321
BASELINE_1,fp1_ocular,25-30,0.7593221081424938,2.3996347951701993
CONTROL_1,fp1_ocular,25-30,-0.12465544828099985,-0.7255699270597411
WASHOUT_1,fp1_ocular,25-30,-0.1719513083891029,-0.8927792009578198
TARGET_1,fp1_ocular,25-30,-0.10113744695892368,-0.6424246387488793
