condition,time_sec,event_type,label,severity,note
TARGET_1,26.53,A_MRED,FOD_BLIND_A1,anchor,A_MRED=False; MR=0.043; ENC=0.666; CII=0.003
CONTROL_1,26.53,ANCHOR_CONTROL,FOD_BLIND_A1,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,26.53,ANCHOR_OVERRIDE,FOD_BLIND_A1,reference,override matched-time anchor
TARGET_1,78.0,A_MRED,FOD_BLIND_A2,anchor,A_MRED=False; MR=-0.143; ENC=-0.317; CII=0.012
CONTROL_1,78.0,ANCHOR_CONTROL,FOD_BLIND_A2,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,78.0,ANCHOR_OVERRIDE,FOD_BLIND_A2,reference,override matched-time anchor
TARGET_1,94.0,A_MRED,FOD_BLIND_A3,anchor,A_MRED=False; MR=0.409; ENC=0.161; CII=0.013
CONTROL_1,94.0,ANCHOR_CONTROL,FOD_BLIND_A3,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,94.0,ANCHOR_OVERRIDE,FOD_BLIND_A3,reference,override matched-time anchor
TARGET_1,100.0,A_MRED,FOD_BLIND_A4,anchor,A_MRED=False; MR=0.372; ENC=0.666; CII=0.044
CONTROL_1,100.0,ANCHOR_CONTROL,FOD_BLIND_A4,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,100.0,ANCHOR_OVERRIDE,FOD_BLIND_A4,reference,override matched-time anchor
TARGET_1,105.0,A_MRED,FOD_BLIND_A5,anchor,A_MRED=False; MR=0.367; ENC=0.409; CII=0.040
CONTROL_1,105.0,ANCHOR_CONTROL,FOD_BLIND_A5,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,105.0,ANCHOR_OVERRIDE,FOD_BLIND_A5,reference,override matched-time anchor
TARGET_1,150.0,A_MRED,FOD_BLIND_A6,primary,A_MRED=True; MR=1.197; ENC=0.373; CII=0.150
CONTROL_1,150.0,ANCHOR_CONTROL,FOD_BLIND_A6,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,150.0,ANCHOR_OVERRIDE,FOD_BLIND_A6,reference,override matched-time anchor
TARGET_1,165.0,A_MRED,FOD_BLIND_A7,anchor,A_MRED=False; MR=0.528; ENC=-0.491; CII=0.181
CONTROL_1,165.0,ANCHOR_CONTROL,FOD_BLIND_A7,reference,control matched-time anchor
CONTEXTUAL_OVERRIDE_1,165.0,ANCHOR_OVERRIDE,FOD_BLIND_A7,reference,override matched-time anchor
TARGET_1,26.53,TTI_ANCHOR,FOD_BLIND_A1,secondary,TTI=-0.218; IAQ=-18.901
TARGET_1,78.0,TTI_ANCHOR,FOD_BLIND_A2,secondary,TTI=0.054; IAQ=1.000
TARGET_1,94.0,TTI_ANCHOR,FOD_BLIND_A3,secondary,TTI=0.112; IAQ=1.000
TARGET_1,100.0,TTI_ANCHOR,FOD_BLIND_A4,secondary,TTI=0.236; IAQ=1.000
TARGET_1,105.0,TTI_ANCHOR,FOD_BLIND_A5,secondary,TTI=0.206; IAQ=1.000
TARGET_1,150.0,TTI_ANCHOR,FOD_BLIND_A6,secondary,TTI=0.641; IAQ=0.987
TARGET_1,165.0,TTI_ANCHOR,FOD_BLIND_A7,secondary,TTI=0.174; IAQ=1.000
TARGET_1,26.53,MRED_ITP,FOD_BLIND_A1,exploratory,ACG=True; OCU=False; CSI=0.296; ORI=0.120
TARGET_1,150.0,MRED_ITP,FOD_BLIND_A6,exploratory,ACG=True; OCU=False; CSI=0.134; ORI=0.000
